COMPANY NAME,INDRAPRASTHA GAS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,440,,,,,,,,,
Market Capitalization,30762.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3680.99,3685.79,3814.78,4535.47,5764.84,6485.27,4940.8,7709.96,14145.85,14000.02
Raw Material Cost,2340.98,2275.37,2083.98,2491.81,3397.89,3678.77,2229.77,4396.09,10440.87,9813.71
Change in Inventory,0.17,-0.74,0.26,0.4,0.57,-0.59,0.23,3.76,4.85,0.63
Power and Fuel,136.16,147.1,149.09,173.69,209.58,231.87,224.05,358.65,493.02,
Other Mfr. Exp,238.84,275.33,326.29,390.57,456.51,536.32,525.74,525.69,581.37,
Employee Cost,66.01,78.36,91.71,106.05,142.55,151.7,134.39,175.95,188.18,226.63
Selling and admin,95.87,95.13,167.94,199.26,232.61,303.59,293.35,290.28,331.33,
Other Expenses,9.54,38.34,32.04,49.46,67.25,46.11,39.13,72.81,58.02,1593.46
Other Income,34.44,29.21,64.98,90.44,144.11,151.89,149.3,213.45,260.03,363.21
Depreciation,148.72,156.25,167.07,181.29,201.07,252.25,290.39,317.06,363.36,413.75
Interest,30.44,9.92,1.21,1.69,2.05,20.31,22.02,24.76,26.84,9.15
Profit before tax,649.04,638.46,860.69,1032.49,1200.01,1415.65,1331.49,1765.88,1927.74,2307.16
Tax,211.31,219.41,289.62,361.72,413.34,279.11,325.84,450.93,482.72,559.08
Net profit,437.73,419.05,571.07,670.77,786.67,1136.54,1005.65,1314.95,1445.02,1748.08
Dividend Amount,84,84,119,140,168,196,252,385,910,630
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2215.46,2405.92,3193.85,3554.01,3710.81,3681.99,3406.99,3458.51,3550.41,3596.79
Expenses,1745.85,1905.46,2576.34,3026.49,3282.34,3221.16,2764.61,2801.57,2992.26,3074.24
Other Income,30.37,77.39,30.74,109.99,55.74,70.89,45.66,133.97,60.97,109.44
Depreciation,83.5,75.27,85.67,91.43,92.49,93.77,98.93,102.23,101.82,110.77
Interest,2.83,4.88,2.35,3.08,2.61,2.55,2.37,2.46,1.77,2.55
Profit before tax,413.65,497.7,560.23,543,389.11,435.4,586.74,686.22,515.53,518.67
Tax,105.13,136.1,139.37,126.85,110.85,105.65,148.34,151.41,123.46,135.87
Net profit,308.52,361.6,420.86,416.15,278.26,329.75,438.4,534.81,392.07,382.8
Operating Profit,469.61,500.46,617.51,527.52,428.47,460.83,642.38,656.94,558.15,522.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,140,140,140,140,140,140,140,140,140,140
Reserves,1958.13,2376.43,2786.56,3372.9,3989.85,4922.36,5731.85,6796.15,6946.56,8411.74
Borrowings,145.31,,,,,96.19,113.04,107.64,82.77,81.17
Other Liabilities,832.63,867.83,1164.39,1418.93,1823.14,2017.08,2606.45,3412.92,4611.26,4487.66
Total,3076.07,3384.26,4090.95,4931.83,5952.99,7175.63,8591.34,10456.71,11780.59,13120.57
Net Block,1955.81,2019.19,2117.15,2432.03,2876.85,3556.9,4320.87,5001.74,5733.54,6598.91
Capital Work in Progress,254.1,266.92,351.79,386.02,478.08,776.69,846.94,1378.6,1433.74,1396.44
Investments,290.86,259.17,677.04,1147.69,1543.99,258.12,1825.82,1975.8,677.25,1157.61
Other Assets,575.3,838.98,944.97,966.09,1054.07,2583.92,1597.71,2100.57,3936.06,3967.61
Total,3076.07,3384.26,4090.95,4931.83,5952.99,7175.63,8591.34,10456.71,11780.59,13120.57
Receivables,235.19,251.14,201.39,226.14,221.48,170.39,260.71,520.56,903.35,1018.52
Inventory,43.47,60.59,56.54,56.04,54.59,54.49,49.49,49.91,53.84,52.23
Cash & Bank,231.2,453.76,608.59,558.03,607.09,2179.94,1132.29,1361.64,2633.23,2149.26
No. of Equity Shares,140000160,140000160,140000160,700000800,700000800,700000800,700000800,700000800,700000800,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,663.77,653.49,946.34,879.33,1157.15,1360.75,1545.97,1897.9,2230.59,1535.66
Cash from Investing Activity,-363.71,-174.56,-1113.96,-716.99,-1120.84,-520.72,-1826.38,-1584.76,-841.36,-1094.82
Cash from Financing Activity,-327.2,-256.35,-160.08,-84.23,-168.83,-243.48,-296.98,-328.46,-1358.62,-333.66
Net Cash Flow,-27.14,222.58,-327.7,78.11,-132.52,596.55,-577.39,-15.32,30.61,107.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
