COMPANY NAME,INDUSIND BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1401.45,,,,,,,,,
Market Capitalization,108984.72,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9691.96,11871.74,14405.67,17280.75,22261.15,28782.83,28999.8,30822.44,36367.91,45748.21
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,164.77,201.67,255.15,341.83,335.63,360.28,329.26,332.1,352.29,
Employee Cost,981.6,1237.4,1523.74,1783.48,1857.19,2212.26,2217.19,2492.78,3036.87,3895.28
Selling and admin,756.62,602.35,1138.09,843.25,927.35,1088.4,1008.05,1226.05,1384.45,
Other Expenses,1229.72,2146.32,2766.73,3586.67,6163.31,8950.53,12442.46,11789.25,10751.78,14166.95
Other Income,2548,3296.95,4171.49,4750.1,5646.72,6951.31,6558.61,7334.2,8166.37,9387.85
Depreciation,126.85,156.52,190.7,211.64,228.85,277.97,305.41,321.21,373.44,
Interest,6271.69,7355.17,8343.07,9783.3,13414.97,16724.09,15471.9,15821.6,18775.8,25132.3
Profit before tax,2708.71,3469.26,4359.68,5480.68,4980.57,6120.61,3784.14,6173.65,9859.65,11941.53
Tax,915,1182.81,1491.79,1874.69,1679.47,1702.7,947.75,1562.53,2469.93,2991.75
Net profit,1793.72,2286.45,2867.89,3605.99,3301.1,4417.91,2836.39,4611.12,7389.71,8949.78
Dividend Amount,211.78,267.75,358.89,450.16,452.02,,386.68,658.46,1086.26,1284.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,7737.49,7859.89,8181.77,8708.03,9457.4,10020.71,10729.65,11247.78,11572.25,12198.53
Expenses,4119.48,4020.27,3911.28,3934.27,3956.03,4097.25,4238.39,4451.42,4623.49,4748.93
Other Income,1876.93,1900.1,1928.7,2010.82,2076.34,2150.51,2209.77,2281.75,2395.85,2500.48
Depreciation,,,,,,,,,,
Interest,3943.92,3874.73,4056.51,4405.98,4962.06,5351.25,5862.54,6171.05,6276.62,6822.09
Profit before tax,1551.02,1864.99,2142.68,2378.6,2615.65,2722.72,2838.49,2907.06,3067.99,3127.99
Tax,389.75,503.62,539.39,591.88,656.45,682.21,714.87,725.59,770.14,781.15
Net profit,1161.27,1361.37,1603.29,1786.72,1959.2,2040.51,2123.62,2181.47,2297.85,2346.84
Operating Profit,3618.01,3839.62,4270.49,4773.76,5501.37,5923.46,6491.26,6796.36,6948.76,7449.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,529.45,594.99,598.15,600.22,602.69,693.54,773.37,774.66,775.9,
Reserves,10115.08,17100.99,20047.97,23241.42,26083.29,34012.95,42592.04,46922.56,53845.77,
Borrowings,94752.42,117996.21,149025.91,189928.25,242189.03,262793.36,307527.77,341004.57,385449.37,
Other Liabilities,6390.42,7204.81,8976.39,7856.28,8944.41,9557.7,12079.57,13272.8,17733.01,
Total,111787.37,142897,178648.42,221626.17,277819.42,307057.55,362972.75,401974.59,457804.05,
Net Block,1119.56,1217.85,1306.8,1313.31,1688.06,1742.11,1734.14,1754.17,1857.19,
Capital Work in Progress,38.02,37.48,28.44,25.44,21.95,78.01,75.23,94.51,135.43,
Investments,22878.34,34054.31,36702.14,50076.72,59266.16,59979.94,69694.71,70970.78,83116.2,
Other Assets,87751.45,107587.36,140611.04,170210.7,216843.25,245257.49,291468.67,329155.13,372695.23,
Total,111787.37,142897,178648.42,221626.17,277819.42,307057.55,362972.75,401974.59,457804.05,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,10779.14,10111.87,18628.25,13215.88,14783.4,16003.65,56327.19,68274.49,56511.14,
No. of Equity Shares,529450209,594986335,598148705,600223187,602686868,693535738,773372299,774663163,775895198,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-1421.06,-2926.93,11569.3,-20700.44,-6388.95,-12038.66,44645.59,16600.07,-12437.62,-16843.41
Cash from Investing Activity,-276.16,-257.51,-284.67,-217.04,-633.18,526.22,-226.26,-350.61,-440.57,-632.76
Cash from Financing Activity,5706.92,2517.17,-2768.25,15505.11,8589.65,12732.7,-4095.79,-4302.15,1114.83,-2241.55
Net Cash Flow,4009.7,-667.27,8516.38,-5412.38,1567.52,1220.25,40323.54,11947.3,-11763.35,-19717.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,886,967.6,1425.15,1796.75,1780,351.3,954.45,935.4,1067.95,1553
,,,,,,,,,,
DERIVED:,,,,,,,,,,
