COMPANY NAME,INFO EDGE (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,5952.05,,,,,,,,,
Market Capitalization,76999.17,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,567.22,732.49,747.51,887.63,988.24,1150.93,1311.93,1128,1589.03,2345.69
Raw Material Cost,,,,11.76,12.16,8.83,2.11,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,6.65,7.95,8.51,10.13,9.39,9.19,8.92,3.23,4.11,7.41
Other Mfr. Exp,26.71,43.39,33.62,28.79,25.6,34.28,37.73,36.41,42.65,75.16
Employee Cost,265.34,414.09,382.32,456.55,458.64,509.94,584.6,567.35,746.31,1097.31
Selling and admin,151.69,213.45,203.48,167.46,189.44,242.03,253.93,216.28,324.5,542.23
Other Expenses,20.19,32.45,28.57,221.59,74,337.92,774.67,230.27,25.44,275.21
Other Income,47.59,89.12,111.36,50.46,401.21,736.89,286.08,1583.51,13810.43,-116.4
Depreciation,21.16,46.94,23.82,32.76,29.63,22.14,47.74,44.8,44.91,73.02
Interest,2.99,3.79,3.35,3.94,5.14,7.01,14.07,10.87,11.43,18.34
Profit before tax,120.08,59.55,175.2,5.11,585.45,716.48,-125.76,1602.3,14200.11,140.61
Tax,59.1,74,57.35,47.8,84.5,124.28,119.98,184.27,1317.89,211.07
Net profit,89.67,24.06,135.58,-23.66,511.98,603.65,-237.62,1416.31,12759.57,-107.41
Dividend Amount,27.3,36.07,36.22,54.49,66.87,73.21,73.36,102.82,167.32,245.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,364.07,421.42,472.95,547.27,604.13,589.52,604.78,625.95,625.85,627.12
Expenses,329.11,304.5,401.66,518.61,557.6,434.66,497.47,445.42,495.5,444.14
Other Income,8314.93,4800.7,701.49,327.33,122.69,-33.84,-532.58,63.6,212.26,37.98
Depreciation,12.79,11.29,11.5,15.2,17.34,20.27,20.2,23.75,25.95,25.82
Interest,1.25,1.11,0.97,1.34,3.2,1.3,1.49,3.68,8.21,4.71
Profit before tax,8335.85,4905.22,760.31,339.45,148.68,99.45,-446.96,216.7,308.45,190.43
Tax,966.5,272.53,40.69,47.02,54.78,53.06,56.23,69.3,68.7,70.99
Net profit,7371.23,4601.87,628.89,178.94,103.01,-116.53,-272.83,158.6,205.13,151.09
Operating Profit,34.96,116.92,71.29,28.66,46.53,154.86,107.31,180.53,130.35,182.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,109.18,120.22,120.72,121.08,121.59,122.01,122.27,128.52,128.71,129.01
Reserves,562.81,1294.9,1421.89,1471.37,1923.44,2420.58,2073.29,5267.48,17112.66,13269.01
Borrowings,1.02,0.7,0.81,0.97,0.76,0.83,77.28,65.09,64.07,107.65
Other Liabilities,386.98,801.07,382.05,459.12,550.49,645.58,620.57,831.27,3177.44,3152.73
Total,1059.99,2216.89,1925.47,2052.54,2596.28,3189,2893.41,6292.36,20482.88,16658.4
Net Block,148.55,575.57,82.07,157.31,87.88,88.07,242.3,134.06,1032.54,800.76
Capital Work in Progress,10.28,12.27,0.34,1,,2.14,,,,4.2
Investments,538.01,1174.51,567.52,550.93,1564.98,1204.18,1132.99,2324.44,15614.19,12403.35
Other Assets,363.15,454.54,1275.54,1343.3,943.42,1894.61,1518.12,3833.86,3836.15,3450.09
Total,1059.99,2216.89,1925.47,2052.54,2596.28,3189,2893.41,6292.36,20482.88,16658.4
Receivables,9.17,23.73,12.57,8.52,5.82,6.75,9.12,6.37,30.02,12.62
Inventory,,,,0.86,0.75,0.04,,,,
Cash & Bank,307.17,358.23,154.13,303.22,159.92,260.34,529.17,642.27,368.29,571.46
No. of Equity Shares,109180000,120216159,120916159,121081579,121589095,122007940,122270000,128523377,128700000,129010000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,80.79,51.03,78.17,213.45,253.45,275.69,350.17,275.7,706.75,520.79
Cash from Investing Activity,-203.5,-1050.94,-1.52,-164.98,-149.42,-59.12,96.97,-2042.89,-1176.53,-366.62
Cash from Financing Activity,129.7,1024.98,-66.11,-41.95,-74.78,-78.11,-143.35,1880.38,34.64,1.97
Net Cash Flow,6.99,25.08,10.53,6.52,29.26,138.46,303.79,113.19,-435.15,156.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,619.6,839.9,766.9,801.2,1175.4,1842.55,2035.05,4280.55,4509.45,3723.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
