COMPANY NAME,INFOSYS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1439.55,,,,,,,,,
Market Capitalization,597517.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,53319,62441,68484,70522,82675,90791,100472,121641,146767,153670
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,219,217,228,207,221,229,143,132,176,199
Other Mfr. Exp,3979,5860,6712,7286,9902,11086,12800,20690,26330,27195
Employee Cost,29811,34415,37669,38902,45323,50895,55547,63997,78374,82636
Selling and admin,3385,4441,4584,4585,5553,5375,3194,4305,5300,5705
Other Expenses,1042,429,687,720,1506,939,899,1026,1457,1510
Other Income,3430,3120,3050,3311,2882,2803,2201,2295,2701,4711
Depreciation,1017,1459,1703,1863,2011,2893,3267,3476,4225,4678
Interest,12,,,,,170,195,200,284,470
Profit before tax,17284,18740,19951,20270,21041,22007,26628,30110,33322,35988
Tax,4911,5251,5598,4241,5631,5368,7205,7964,9214,9740
Net profit,12372,13489,14353,16029,15404,16594,19351,22110,24095,26233
Dividend Amount,6806.8,5548.4,5891.6,9465.6,9222.5,7427,11469.6,13007.6,14069.2,19053.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,31867,32276,34470,36538,38318,37441,37933,38994,38821,37923
Expenses,23484,24430,26606,27636,28951,28443,28869,29554,29684,29139
Other Income,512,637,676,584,769,671,561,632,789,2729
Depreciation,899,890,950,1029,1125,1121,1173,1166,1176,1163
Interest,53,50,56,66,80,82,90,138,131,110
Profit before tax,7943,7543,7534,8391,8931,8466,8362,8768,8619,10240
Tax,2121,1848,2172,2365,2345,2332,2417,2553,2506,2265
Net profit,5809,5686,5360,6021,6586,6128,5945,6212,6106,7969
Operating Profit,8383,7846,7864,8902,9367,8998,9064,9440,9137,8784
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,572,1144,1144,1088,2170,2122,2124,2098,2069,2071
Reserves,50164,60600,67838,63835,62778,63328,74227,73252,73338,86045
Borrowings,,,,,,4633,5325,5474,8299,8359
Other Liabilities,15553,13354,14166,14426,19118,21717,25835,35905,40890,39545
Total,66289,75098,83148,79349,84066,91800,107511,116729,124596,136020
Net Block,11346,13386,14179,12574,15710,23789,25505,25800,29225,27622
Capital Work in Progress,776,960,1365,1606,1388,954,922,416,288,293
Investments,2270,1892,16423,12163,11261,8792,14205,20324,19478,24623
Other Assets,51897,58860,51181,53006,55707,58265,66879,70189,75605,83482
Total,66289,75098,83148,79349,84066,91800,107511,116729,124596,136020
Receivables,9713,11330,12322,13142,14827,18487,19294,22698,25424,30193
Inventory,,,,,,,,,,
Cash & Bank,30367,32697,22625,19818,19568,18649,24714,17472,12173,14786
No. of Equity Shares,1142805132,2285621088,2285655150,2173312301,4335954462,4240753210,4245146114,4193012929,4136387925,4139950635
New Bonus Shares,574236166,1148472332,,,2184191490,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,8353,10028,11531,13218,14841,17003,23224,23885,22467,25210
Cash from Investing Activity,999,-885,-14664,4533,-632,-331,-7373,-6485,-1071,-5093
Cash from Financing Activity,-4935,-6813,-6939,-20505,-14512,-17591,-9786,-24642,-26695,-17504
Net Cash Flow,4417,2330,-10072,-2754,-303,-919,6065,-7242,-5299,2613
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,554.59,609.15,511.13,565.9,743.85,641.5,1368.05,1906.85,1427.95,1498.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,459.38,459.39,459.39,436.82,436.89,425.9,426.07,420.67,414.86,415.09
