COMPANY NAME,INOX INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1312.0,,,,,,,,,
Market Capitalization,11908.61,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,650.07,649.06,593.8,782.71,965.9
Raw Material Cost,,,,,,269.61,250.55,239.13,429.2,489.45
Change in Inventory,,,,,,29.35,-32.82,-8.62,91.49,56.74
Power and Fuel,,,,,,7.59,7.86,6.99,8.74,9.58
Other Mfr. Exp,,,,,,64.25,53.43,74.03,109.93,123.37
Employee Cost,,,,,,56.82,64.78,61.99,75.96,87.4
Selling and admin,,,,,,37.52,27.85,50.18,64.5,84.91
Other Expenses,,,,,,99.9,78.96,18.29,18.12,21.91
Other Income,,,,,,27.61,48.34,15.13,20.88,16.64
Depreciation,,,,,,9.38,11.96,11.78,12.1,13.92
Interest,,,,,,27.44,25.5,6.86,2.32,3.69
Profit before tax,,,,,,134.52,143.69,131.06,174.21,205.05
Tax,,,,,,-58.84,46.37,34.96,43.71,52.34
Net profit,,,,,,193.37,97.33,96.11,130.5,152.71
Dividend Amount,,,,,,0.09,,,13.61,113.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,243.8,256.83,290.44
Expenses,,,,,,,,191.59,198,223.74
Other Income,,,,,,,,5.86,6.91,4.73
Depreciation,,,,,,,,3.64,4.08,5.24
Interest,,,,,,,,0.58,1.21,2.29
Profit before tax,,,,,,,,53.85,60.45,63.9
Tax,,,,,,,,13.16,14.19,15.3
Net profit,,,,,,,,40.69,46.26,48.6
Operating Profit,,,,,,,,52.21,58.83,66.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,9.08,9.08,9.08,18.15,18.15
Reserves,,,,,,200.53,270.35,362.44,484.13,531.32
Borrowings,,,,,,284.4,144.92,67.5,54.54,8.99
Other Liabilities,,,,,,230.63,204.71,248.18,339.94,589.91
Total,,,,,,724.64,629.06,687.2,896.76,1148.37
Net Block,,,,,,94.01,109.52,101.98,133.74,164.49
Capital Work in Progress,,,,,,0.3,0.41,2.39,1.86,0.22
Investments,,,,,,80.92,80.16,25.06,311.73,248.93
Other Assets,,,,,,549.41,438.97,557.77,449.43,734.73
Total,,,,,,724.64,629.06,687.2,896.76,1148.37
Receivables,,,,,,148.25,146.95,112.72,78.11,142.9
Inventory,,,,,,221.7,161.19,145.83,322.52,412.78
Cash & Bank,,,,,,65.54,58.34,201.86,8.82,61.68
No. of Equity Shares,,,,,,9076350,9076350,9076350,90763500,90763500
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,84.97,188.02,230.69,97.04,178.38
Cash from Investing Activity,,,,,,136.48,-27.85,-151.88,-71.97,-12.27
Cash from Financing Activity,,,,,,-185.67,-167.9,-95.71,-26.13,-153.62
Net Cash Flow,,,,,,35.78,-7.73,-16.9,-1.06,12.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.91,0.91,0.91,9.08,9.08
