COMPANY NAME,INTELLECT DESIGN ARENA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1024.8,,,,,,,,,
Market Capitalization,14020.39,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,608.75,810.66,913.58,1087.29,1449.57,1346.88,1497.46,1878.19,2231.25,2506.44
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.19,7.4,5.84,7.79,8.36,9.26,3.97,4.86,6.47,
Other Mfr. Exp,26.7,44.12,31.64,58.42,220,244.86,190.19,293.87,403.83,
Employee Cost,531.34,642.79,718.12,767.41,839.31,812.68,808.66,921.76,1144.88,1340.38
Selling and admin,110.91,129.05,161.99,152.77,205.05,175.07,80.33,137.9,192.84,
Other Expenses,12.46,23.58,19.4,25.79,44.72,29.55,54.56,44.74,44.52,639.22
Other Income,17.76,26.58,40.69,31.72,65.67,38.22,20.03,42.95,52.65,61.68
Depreciation,19.01,20.65,24.14,26.53,41.56,68.96,76.71,97.56,121.51,137.22
Interest,1.26,2.16,12.69,16.56,16.03,21.99,12.98,7.26,6.5,2.62
Profit before tax,-82.36,-32.51,-19.55,63.74,140.21,22.73,290.09,413.19,363.35,448.68
Tax,1.76,-9.06,2.84,7.03,8.95,5.09,25.45,62.74,94.75,125.97
Net profit,-82.99,-23.45,-22.39,46.73,131.35,15.99,262.77,349.08,267.23,321.19
Dividend Amount,,,,,,,,33.64,33.93,68.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,508.29,509.41,541.3,527.54,546.92,615.5,639.38,619.05,634.35,613.67
Expenses,378.37,388.79,428.62,446.01,450.75,478.89,491.74,500.66,503.57,489.73
Other Income,10.8,26.37,9.76,10.89,20.18,20.23,13.38,12.64,19.83,21.94
Depreciation,24.69,26.5,28.08,29.45,31.05,32.93,33.97,33.74,34.25,35.27
Interest,0.96,0.95,1.28,0.8,0.9,0.21,0.51,0.77,0.65,0.7
Profit before tax,115.07,119.54,93.08,62.17,84.4,123.7,126.54,96.52,115.71,109.91
Tax,13.76,24.14,24.21,16.15,21.8,32.59,32.9,25.68,30.83,36.56
Net profit,100.85,95.26,68.77,45.77,62.03,90.66,93.47,70.44,84.31,72.97
Operating Profit,129.92,120.62,112.68,81.53,96.17,136.61,147.64,118.39,130.78,123.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,50.1,50.39,50.87,62.76,65.89,66.17,66.49,67.28,67.86,68.41
Reserves,569.11,560.93,547.48,739.15,953.85,978.84,1326.35,1741.47,1989.84,2370.44
Borrowings,7.71,22.91,232.36,159.37,133.27,299.76,82.47,20.42,27.13,44.3
Other Liabilities,303.82,378.22,353.47,399.79,478.2,524.68,566.7,764.02,801.87,921.78
Total,930.74,1012.45,1184.18,1361.07,1631.21,1869.45,2042.01,2593.19,2886.7,3404.93
Net Block,212.7,258.42,277.76,273.99,334.09,368.07,396.51,435.04,494.42,930.68
Capital Work in Progress,54.09,65.53,138.29,196.26,227.65,311.52,349.16,344.1,370.17,0.98
Investments,179.42,77.28,65.54,69.28,68.06,76.84,146.24,416.23,365.37,449.29
Other Assets,484.53,611.22,702.59,821.54,1001.41,1113.02,1150.1,1397.82,1656.74,2023.98
Total,930.74,1012.45,1184.18,1361.07,1631.21,1869.45,2042.01,2593.19,2886.7,3404.93
Receivables,167.08,151.08,204.84,241.17,202.73,284.71,186.76,257.19,415.75,554.29
Inventory,,,,,,,,,,
Cash & Bank,106.22,53.92,116.08,140.23,81.87,106.29,152.75,158.75,97.1,204.32
No. of Equity Shares,100198474,100778624,101733872,125529084,131774715,132338530,132974363,134553614,135722575,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-17.55,-100.61,-64.95,49.46,-50.34,43.57,463.32,452.94,174.39,
Cash from Investing Activity,132.26,30.62,-102.82,-153.53,1.19,-99.24,-192.97,-399.4,-177.14,
Cash from Financing Activity,-8.49,16.43,145.97,142.51,62.97,80.1,-225.34,-52.1,-49.54,
Net Cash Flow,106.22,-53.56,-21.8,38.45,13.82,24.43,45.02,1.44,-52.3,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,100.42,211.57,107.73,165.3,203.35,54.4,740,945.75,410.6,1096.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,12.3,12.37,12.49,12.55,13.18,13.23,13.3,13.46,13.57,13.68
