COMPANY NAME,IPCA LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1284.25,,,,,,,,,
Market Capitalization,32552.29,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3281.77,3144.4,2867.11,3156.19,3257.76,3745.69,4619.03,5394.94,5796.74,6204.26
Raw Material Cost,1197.94,1222.59,1032.55,1115.71,1101.28,1355.15,1820.25,1923.09,2144.5,2205.84
Change in Inventory,61.36,67.94,-25.85,5.52,-23.51,115.42,176.12,194.79,129.65,-100.67
Power and Fuel,127.91,135.94,141.67,151,161.92,176.5,201.22,207.1,242.12,283.74
Other Mfr. Exp,132.51,161.02,140.35,142.25,145.39,177.47,216.4,242.6,293.02,330.57
Employee Cost,497.99,566.7,625.58,695.98,735.88,787.4,921.23,1013.57,1177.39,1287.64
Selling and admin,540.54,568.42,532.58,596.75,598.72,524.85,545.44,575.16,641.87,862.27
Other Expenses,103.67,16.89,74.69,8.92,36.38,144.73,186.39,76.5,102.42,201.27
Other Income,21.38,31.98,20.62,10.82,41.15,56.11,64.94,58.71,54.27,122.78
Depreciation,103.13,179.55,163.26,172.95,177.73,182.42,210.5,209.17,232.42,261.56
Interest,30.23,32.13,34.56,26.91,27.57,22.24,19.77,12.27,11.2,48.19
Profit before tax,630.59,361.08,116.64,262.06,290.53,546.46,738.89,1388.98,1135.72,745.29
Tax,152.39,101.93,20.44,67.52,51.11,104.24,135.33,240.14,224.77,253.36
Net profit,478.54,254.23,93.14,194.54,239.42,444.83,606.32,1140.01,884.08,471.32
Dividend Amount,63.1,12.62,,12.62,12.62,37.9,63.18,101.48,101.48,101.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1544.43,1430.47,1289.1,1585.74,1600.95,1546,1511.63,1585.21,2033.96,2052.86
Expenses,1184.18,1122.66,1069.77,1316.51,1341.24,1330.14,1330.59,1277.59,1712.69,1721.53
Other Income,18.08,12.3,14.54,22.11,36.23,30.89,36.39,44.85,38.55,90.46
Depreciation,56.96,58.65,60.94,61.71,63.74,66.57,69.54,69.27,90.34,99.5
Interest,1.06,1.43,3.38,6.94,9.31,10.84,18.45,31.38,44.12,33.4
Profit before tax,320.31,260.03,169.55,222.69,222.89,169.34,129.44,251.82,225.36,288.89
Tax,67.91,57.33,28.76,74.26,77,53.73,48.37,85.61,87.92,66.24
Net profit,250.23,196.33,130.23,143.06,143.9,107.84,76.52,162.82,145.06,179.88
Operating Profit,360.25,307.81,219.33,269.23,259.71,215.86,181.04,307.62,321.27,331.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.24,25.24,25.24,25.24,25.24,25.27,25.27,25.37,25.37,25.37
Reserves,1934.42,2183.19,2233.95,2430.02,2663.33,3097.12,3590.27,4676.28,5439.47,5816.65
Borrowings,602.56,934.99,867.18,715.75,627.56,464.95,500.72,265.39,807.22,1481.27
Other Liabilities,648.34,668.94,765.34,788.5,799.43,961.49,1141.56,1099.37,1349.45,1299.57
Total,3210.56,3812.36,3891.71,3959.51,4115.56,4548.83,5257.82,6066.41,7621.51,8622.86
Net Block,1353.59,1800.43,2014.18,1983.27,1952.96,1940.38,2058.73,2072.43,2402.19,2751.38
Capital Work in Progress,164.9,267.22,128.74,94.64,73,66.33,133.28,234.82,306.43,140.43
Investments,9.15,16.19,25.82,135.81,86.87,120.43,309.56,505.26,989.19,625.98
Other Assets,1682.92,1728.52,1722.97,1745.79,2002.73,2421.69,2756.25,3253.9,3923.7,5105.07
Total,3210.56,3812.36,3891.71,3959.51,4115.56,4548.83,5257.82,6066.41,7621.51,8622.86
Receivables,449.79,353,445.87,500.16,602.27,681.51,895.2,811.75,910.78,989.02
Inventory,847.58,926.56,837.42,882.22,880.59,1072.5,1323.12,1594.81,1857.97,1743.37
Cash & Bank,76.01,124.79,175.54,35.85,150.57,282.3,180.92,365.07,640.66,1853.24
No. of Equity Shares,127500000,127480204,126199109,126199109,126199109,126352109,126352109,126852109,253704218,253704218
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,522.29,468.22,708.65,281.91,341.13,501.03,570.35,1090.13,856.07,805.81
Cash from Investing Activity,-368.6,-689.33,-218.33,-148.82,-135.4,-165.06,-509.34,-520.69,-850.93,-725
Cash from Financing Activity,-136.13,250.54,-461.51,-159.13,-130.41,-183.2,-136.54,-305.82,426.78,507.24
Net Cash Flow,17.56,29.43,28.81,-26.04,75.32,152.77,-75.53,263.62,431.92,588.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
