COMPANY NAME,JAMMU AND KASHMIR BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,128.3,,,,,,,,,
Market Capitalization,14122.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7061.13,6843.57,6685.8,6621.4,7675.56,8446.29,8111.09,8012.98,9355.23,11213.2
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,11.41,13.34,15.32,17.43,23.45,19.8,20.01,34.01,30.83,
Employee Cost,898.27,1026.1,1127.33,1292.28,1653.1,1891.09,2063.72,2677.18,2711.3,2578.98
Selling and admin,164.45,179.31,199.66,225.94,247.75,243.2,260.6,276.46,300.53,
Other Expenses,1262.37,1247.56,3089.15,1618.79,1514.64,3079.91,1457.34,786.67,524.69,1075.89
Other Income,599.04,508.71,497.27,500.84,817.48,508.6,701.49,753.48,765.24,837.67
Depreciation,94.98,64.28,85.28,96.68,104.27,125.67,134.28,144.09,157.66,
Interest,4408.59,4132.2,4173.01,3750.19,4291.13,4739.24,4339.88,4101.34,4609.44,6007.93
Profit before tax,820.1,689.49,-1506.68,120.93,658.7,-1144.02,536.75,746.71,1786.02,2388.07
Tax,311.62,275.65,126.32,-81.76,194.85,39.36,101.95,242.28,587.44,618.17
Net profit,508.48,413.84,-1632.99,202.69,463.85,-1183.39,428.45,494.85,1180.52,1771.22
Dividend Amount,101.83,84.86,,,,,,,51.58,236.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2019.77,2012.45,2103.16,2298.9,2440.87,2512.3,2657.21,2764.44,2881.2,2910.35
Expenses,858.02,799.51,1002.79,945.47,983.82,792.91,1062.31,981.97,905.82,704.77
Other Income,172.77,-56.4,205.06,147.95,243.85,168.38,230.31,192.9,185.77,228.69
Depreciation,,,,,,,,,,
Interest,1026.37,1036.83,1069.08,1094.74,1183.22,1262.4,1373.61,1430.17,1600.29,1603.86
Profit before tax,308.15,119.71,236.35,406.64,517.68,625.37,451.6,545.2,560.86,830.41
Tax,133.34,6.63,70.17,163,205.64,148.64,124.93,163.56,139.07,190.61
Net profit,168.97,118.83,161.02,239.72,307.16,472.62,331.24,383.77,422.77,633.44
Operating Profit,1161.75,1212.94,1100.37,1353.43,1457.05,1719.39,1594.9,1782.47,1975.38,2205.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,48.49,48.49,52.15,55.7,55.7,71.36,71.36,93.3,103.16,
Reserves,6059.95,6372.36,5620.74,6101.89,6566.05,6274.49,6730.91,7983.81,9793.16,
Borrowings,68075.83,71618.81,73735.02,81632.87,92260.79,99805.41,110062.5,117073.59,124919.49,
Other Liabilities,1725.52,2213.87,2604.22,1893.98,2522.28,2677.89,3408.1,5425.33,11096.78,
Total,75909.79,80253.53,82012.13,89684.44,101404.82,108829.15,120272.87,130576.03,145912.59,
Net Block,655.4,705.66,1479.35,1598.33,1646.36,2036.32,1971.42,1907.51,2224.43,
Capital Work in Progress,34.16,58.6,64.34,16.55,28.96,34.82,41.42,46.43,47.32,
Investments,22739.59,20333.62,21270.89,18860.03,23140.5,22990.47,30774.1,33785.25,34780.4,
Other Assets,52480.64,59155.65,59197.55,69209.53,76589,83767.54,87485.93,94836.84,108860.44,
Total,75909.79,80253.53,82012.13,89684.44,101404.82,108829.15,120272.87,130576.03,145912.59,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,3735.15,3204.2,5392.8,8260.04,5872.31,9792.6,9503.7,8791.91,8898.86,
No. of Equity Shares,484996020,484996020,521551071,557076392,557076392,713668938,713668938,933104594,1031697861,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,118.06,-218.95,2457.1,2362.68,-2991.71,4373.94,-14.17,-1568.05,-407.13,-852.55
Cash from Investing Activity,-260.93,-135.84,-861.35,-163.87,-164.64,-114.69,-75.98,-85.18,-123.51,-257.26
Cash from Financing Activity,-337.58,-176.15,592.85,668.43,768.61,-338.95,-198.75,941.43,637.59,407.43
Net Cash Flow,-480.45,-530.94,2188.6,2867.24,-2387.74,3920.29,-288.9,-711.8,106.95,-702.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,95.05,60.5,75,60.35,53.7,12.45,25.65,32.3,49.05,134.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,48.48,48.48,52.13,55.69,55.69,71.35,71.35,93.29,103.15,110.12
