COMPANY NAME,J B CHEMICALS & PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1765.45,,,,,,,,,
Market Capitalization,27471.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1021.87,1144.21,1210.36,1344.29,1408.38,1643.2,1774.73,2042.52,2424.24,3149.28
Raw Material Cost,428.88,465.8,483.71,519.54,544.41,615.76,634.79,742.76,860.38,1179.2
Change in Inventory,18.85,16.31,13.51,-8.43,6.59,19.3,3.99,41.26,17.45,11
Power and Fuel,46.61,53.02,55.28,54.89,58.28,63.29,61.54,62.6,71.47,91.54
Other Mfr. Exp,44.01,48.94,71.91,77.7,75.92,82.54,77.08,84.7,97.36,106.14
Employee Cost,143.78,159.86,175.94,217.83,251.55,288.66,323.41,341.93,440.64,545.75
Selling and admin,167.53,175.88,156.79,173.79,204.86,234.03,228.23,232.23,357.5,446.51
Other Expenses,61.71,76.77,74.17,59.73,62.4,72.38,76.1,59.15,70.89,95.39
Other Income,-26.8,10.76,58.03,50.16,36.86,41.44,40.67,112.38,39.23,9.94
Depreciation,28.02,38.64,41.22,47.22,56.97,55.64,66.32,68.67,72.66,114.41
Interest,5.93,6.82,10.65,5.37,3.49,4.65,3.03,7.24,5.12,36.05
Profit before tax,87.45,145.55,212.23,229.95,193.95,286.99,348.89,596.88,504.9,555.23
Tax,25.95,45.15,49.58,45.54,55.23,93.02,76.5,148.36,118.86,145.23
Net profit,61.5,100.41,162.55,184.06,138.34,193.47,272.05,447.96,385.36,409.84
Dividend Amount,25.42,118.72,42.4,8.48,16.71,40.12,85.03,127.54,127.54,137.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,593.01,600.66,624.59,784.81,809.44,792.71,762.32,896.2,881.74,844.51
Expenses,466.27,472.56,499.67,612.05,624.86,617.94,598.68,664.09,638.2,621.39
Other Income,19.64,4.53,2.08,0.89,1.34,3.13,4.58,5.63,7.66,7.35
Depreciation,15.73,16.97,22.11,26.08,28.13,28.4,31.8,31.38,32.17,34.03
Interest,1.22,1.34,1.61,5.83,7.96,8.3,13.96,12.06,10.37,12.49
Profit before tax,129.43,114.32,103.28,141.74,149.83,141.2,122.46,194.3,208.66,183.95
Tax,31.54,30.2,18.31,36.54,38.75,35.1,34.83,51.98,58.07,50.38
Net profit,97.75,83.89,84.84,105.03,111.08,106.1,87.63,142.32,150.59,133.57
Operating Profit,126.74,128.1,124.92,172.76,184.58,174.77,163.64,232.11,243.54,223.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,16.95,16.96,16.96,16.96,16.71,16.05,15.46,15.46,15.46,15.48
Reserves,1025.87,977.91,1166.87,1346.71,1424.84,1464.08,1420.03,1794.27,2118.67,2464.88
Borrowings,93.2,127.37,193.42,48.86,29.29,25.8,29.49,44.98,54.56,572.45
Other Liabilities,214.99,365.01,270.41,261.51,294.27,286.02,349,376.46,412.28,494.55
Total,1351.01,1487.25,1647.66,1674.04,1765.11,1791.95,1813.98,2231.17,2600.97,3547.36
Net Block,310.55,328.56,440.22,679.44,639.5,620.93,651.26,633.65,1276.99,1901.01
Capital Work in Progress,46.36,55.17,134.89,3.76,17.4,15.09,16.17,25.57,18.68,55.15
Investments,500.01,551.61,478.7,410.8,433.72,456.53,403.27,677.88,12.72,205.97
Other Assets,494.09,551.91,593.85,580.04,674.49,699.4,743.28,894.07,1292.58,1385.23
Total,1351.01,1487.25,1647.66,1674.04,1765.11,1791.95,1813.98,2231.17,2600.97,3547.36
Receivables,235.51,262.35,272.64,265.97,300.73,308.22,345.43,389.02,555.69,575.8
Inventory,134.4,150.27,187.98,200.17,213.73,243.76,274.67,347.45,409.96,430.48
Cash & Bank,11.81,25.19,12.9,13.39,29.92,36.8,30.95,30.85,58.53,78.81
No. of Equity Shares,84731625,84808225,84819975,84819975,83569975,80236642,77282097,77282097,77282097,77377584
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-13.98,126.66,140.41,201.13,122.92,194.33,275.75,314.78,170.13,625.61
Cash from Investing Activity,-142.5,-111.89,-25.91,-45.31,-20.68,-27.69,23.91,-230.64,2.32,-961.76
Cash from Financing Activity,12.04,-1.39,-99.62,-183.84,-59.52,-155.74,-306.05,-87.42,-138.39,356.54
Net Cash Flow,-144.44,13.38,14.88,-28.02,42.72,10.9,-6.39,-3.28,34.07,20.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,64.05,99.73,124.73,173.08,155.05,181.2,254.5,627.73,787.45,988.18
,,,,,,,,,,
