COMPANY NAME,JM FINANCIAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,79.25,,,,,,,,,
Market Capitalization,7584.25,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1006.67,1342.25,1684.66,2359.26,3061.74,3493.77,3445.91,3211.15,3724.39,3292.11
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.02,3.59,4.21,4.18,4.35,4.27,4.5,3.37,3.39,4.71
Other Mfr. Exp,3.59,19.01,15.06,3.82,18.61,22.15,22.78,22.44,23.64,28.31
Employee Cost,204.29,236.48,265.51,401.1,396.23,425.09,397.98,443.45,550.75,625.02
Selling and admin,159.93,162.75,145.42,107.29,214.08,217.22,204.23,237.14,321.11,363.94
Other Expenses,30.28,25.81,29.16,65.57,133.24,74.45,303.63,302.65,396.69,148.1
Other Income,-1.33,60.55,-0.07,-0.29,34.77,5.52,7.63,15.37,38.74,50.96
Depreciation,15.24,18.05,20.29,23.32,26.17,27.11,41.04,39.75,37.78,41.87
Interest,307.83,420.2,512.09,781.96,1138.99,1446.21,1385.86,1110.87,1081.73,1178.51
Profit before tax,280.16,516.91,692.85,971.73,1164.84,1282.79,1093.52,1066.85,1348.04,952.61
Tax,79.98,156.39,222.44,334.84,381.77,446.31,315.98,260.79,355.67,243.85
Net profit,209.53,330.52,400.46,470.2,600.86,572.18,544.98,590.14,773.16,597.29
Dividend Amount,75.53,105.8,114.4,119.18,150.82,83.99,16.82,47.64,157.43,257.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,962.24,951.93,809.64,791.25,859.29,927.57,845.6,1066.65,1197.38,1235.99
Expenses,355.38,323.05,258.04,276.25,279.45,312.58,458.87,472.77,534.77,429.87
Other Income,7.25,12.55,29.58,14.47,17.84,18.56,25.56,14.47,16.58,24.97
Depreciation,9.41,9.29,9.64,9.56,10.07,10.46,11.78,12.03,13.16,13.68
Interest,287.39,283.4,249.95,260.74,269.79,301.45,346.53,365.88,388.1,400.29
Profit before tax,317.31,348.74,321.59,259.17,317.82,321.64,53.98,230.44,277.93,417.12
Tax,89.29,87.97,92.48,60.91,80.14,81.37,21.43,55.14,72.39,95.56
Net profit,174.43,216.8,178.79,170.01,180.01,190.16,57.11,165.9,194.94,277.68
Operating Profit,606.86,628.88,551.6,515,579.84,614.99,386.73,593.88,662.61,806.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,75.53,78.37,78.9,79.45,83.79,83.99,84.12,95.27,95.41,95.48
Reserves,2110.52,2464.6,2830.57,3239.86,4470.85,5047.7,5554.65,6904.63,7590.8,8040.78
Borrowings,2988.48,4722.65,6671.88,9443.75,14987.57,13991.11,11755.67,12405.19,13498.04,15939.46
Other Liabilities,755.52,1239.24,1479.58,3781.93,2664.08,3517.29,3351.08,3973.08,4477.15,5136.87
Total,5930.05,8504.86,11060.93,16544.99,22206.29,22640.09,20745.52,23378.17,25661.4,29212.59
Net Block,227.83,445.35,444.45,473.71,427.07,423.55,449.98,422.86,413.71,504.85
Capital Work in Progress,0.68,1.69,1.09,2.03,2.9,1.35,0.69,0.86,3.05,7.01
Investments,494.82,639.68,771.73,2155.98,2388.45,2933.34,4014.45,5801.65,3639.29,3584.49
Other Assets,5206.72,7418.14,9843.66,13913.27,19387.87,19281.85,16280.4,17152.8,21605.35,25116.24
Total,5930.05,8504.86,11060.93,16544.99,22206.29,22640.09,20745.52,23378.17,25661.4,29212.59
Receivables,194.74,226.68,354.91,1178.91,854.68,685.05,324.25,508.62,499.09,1215.31
Inventory,534.21,359.01,256.89,,,,,,,102.1
Cash & Bank,974.18,832.87,1265.05,869.06,1526.95,1282.24,1329.4,2074.95,2559.87,2391.66
No. of Equity Shares,755343500,783723700,788985636,794525114,837880258,839931463,841224647,952722711,954055533,954055533
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1057.79,-1717.09,-918.14,-2545.6,-3584.18,773.27,3164.13,969.28,-3458.08,-2448.73
Cash from Investing Activity,584.54,-280.95,264.03,-326.06,-708.04,-148.41,-901.47,-2248.75,2613.92,-443.45
Cash from Financing Activity,-1594,1783.07,1304.88,2424.13,4539.69,-522.17,-2204.53,1295.95,1280.72,2153.26
Net Cash Flow,48.33,-214.97,650.77,-447.53,247.47,102.69,58.13,16.48,436.56,-738.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,25,47.7,38.05,88.6,128.8,94.1,64.75,84.55,67.6,59.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
