COMPANY NAME,JAIPRAKASH POWER VENTURES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,17.85,,,,,,,,,
Market Capitalization,12253.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4139.6,4113.27,4657.65,4876.87,3891.62,3283.65,3301.71,4624.55,5786.67,6762.78
Raw Material Cost,,,,,,,,,,3994.61
Change in Inventory,,1.01,-0.97,1.83,-1.84,,0.28,279.1,-35.18,-244.27
Power and Fuel,936.12,1123.96,2678.4,2830.59,2185.82,2005.9,1713.49,2329.74,3093.54,
Other Mfr. Exp,255.16,236.62,42.34,131.46,164.75,169.6,215.66,1264.49,1259.52,
Employee Cost,88.35,93.94,122.4,136.17,105.38,111.24,101.66,112.08,125.53,133.23
Selling and admin,73.27,74.46,78.04,48.18,36.36,66.82,54.96,50.44,67.34,
Other Expenses,7.67,33.18,22.28,207.42,129.24,42.68,58.82,34.13,85.01,154.51
Other Income,89.84,75.32,87.07,40.94,218.54,-1073.95,292.72,235.08,128.8,-72.62
Depreciation,518.07,634.89,771.21,818.89,528.07,479.1,479.95,481.28,464.2,465.11
Interest,2189.11,2477.83,2776.59,2613.75,1474.15,652.15,578.58,556.11,559.73,449.24
Profit before tax,161.69,-485.28,-1747.51,-1866.82,-515.45,-1317.79,391.59,310.46,225.42,1249.19
Tax,-7.16,-241.83,-452.82,-176.48,-147.98,829.43,110.16,202.98,170,227.24
Net profit,151.09,-255.02,-1232.89,-1595.83,-381.15,-2162.11,267.12,107.48,55.42,1021.95
Dividend Amount,2.35,293.8,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1401.44,1406.21,1820.37,1385.37,1201.05,1379.88,1707.82,1349.81,2190.32,1514.83
Expenses,1036.93,1131.7,1192.12,1129.57,1191.24,1153.19,1186.5,939,1613.06,788.06
Other Income,51.4,125.69,8.98,115.96,5.01,-1.15,6.93,-69.94,-56,46.39
Depreciation,121.29,118.77,115.55,116.84,117.14,114.67,115.07,116.44,117.23,116.37
Interest,136.2,142.56,149.53,137.96,135.33,136.91,119.13,116.58,104.91,108.62
Profit before tax,158.42,138.87,372.15,116.96,-237.65,-26.04,294.05,107.85,299.12,548.17
Tax,51.59,141.14,130.19,41.54,-19.68,17.95,102.4,39.19,126.27,-40.62
Net profit,106.83,-2.27,241.96,75.42,-217.97,-43.99,191.65,68.66,172.85,588.79
Operating Profit,364.51,274.51,628.25,255.8,9.81,226.69,521.32,410.81,577.26,726.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,2938,2938,5996,5996,5996,6840.45,6853.46,6853.46,6853.46,6853.46
Reserves,3472.65,4676.34,3391.01,1783.31,1380.62,3158.25,3428.6,3535.88,3592.07,4614.17
Borrowings,32065.15,25075.55,23994.33,23416.21,23193.69,5990.54,5196.36,5050.36,4734.99,4246.04
Other Liabilities,4085.61,3583.3,4454.46,5906.8,6689.59,1854.72,1515.27,1906.83,2126.62,1589.6
Total,42561.41,36273.19,37835.8,37102.32,37259.9,17843.96,16993.69,17346.53,17307.14,17303.27
Net Block,24156,23529.71,27436.65,31093.46,30649.9,15250.98,14271.86,13802.62,13385.1,13052.03
Capital Work in Progress,12695.67,8028.55,4848.05,561.49,534.05,477.48,410.98,394.95,418.96,194.3
Investments,1985.94,1985.94,1985.94,1985.94,1985.94,20.65,111.83,233.98,190.97,524.73
Other Assets,3723.8,2728.99,3565.16,3461.43,4090.01,2094.85,2199.02,2914.98,3312.11,3532.21
Total,42561.41,36273.19,37835.8,37102.32,37259.9,17843.96,16993.69,17346.53,17307.14,17303.27
Receivables,754.11,544.48,1026.57,980.21,1183,401.2,790.91,930.21,1167.26,1186.39
Inventory,328.15,367.94,314.61,228.36,233.61,342.3,199.94,518.7,712.19,523.55
Cash & Bank,692.59,159.64,82.99,121.54,225.13,307.97,305.92,393.3,180.29,957.24
No. of Equity Shares,2938003084,2938003084,5996003084,5996003084,5996003084,6840451092,6853458827,6853458827,6853458827,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2676.38,2816.15,1412.83,1782.44,1178.01,1027.85,812.93,845.07,767.44,1927.2
Cash from Investing Activity,-4885.65,6415.64,-801.97,-230.26,-191.15,-144.99,279.87,-112.55,108.89,-990.95
Cash from Financing Activity,2057.67,-9493.68,-671.53,-1543.2,-1020.03,-822.08,-1135.71,-710.77,-879.66,-963.82
Net Cash Flow,-151.6,-261.89,-60.67,8.98,-33.17,60.78,-42.91,21.75,-3.33,-27.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
