COMPANY NAME,JSL INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1120.05,,,,,,,,,
Market Capitalization,131.48,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,52.67,54.97,47.73,44.48,47.34,54.78,48.45,49.13,54.92,48.87
Raw Material Cost,34.31,36.71,28.64,28.23,30.97,34,27.81,29.83,34.53,28.33
Change in Inventory,1.1,0.96,-0.86,1.06,1.22,-2.42,-1.83,2.01,-1.03,0.41
Power and Fuel,0.69,0.74,1.16,1.64,1.68,1.73,0.97,0.77,1.02,0.84
Other Mfr. Exp,1.59,1.37,1.15,0.73,0.68,1.11,1.8,2.68,2.01,3.37
Employee Cost,9.18,9.53,9.34,9.21,9.48,9.07,8.19,9.66,8.45,8.06
Selling and admin,2.76,2.74,2.8,2.79,2.8,2.84,4.5,3.38,3.38,3.37
Other Expenses,0.85,0.47,0.63,0.15,0.29,0.57,0.8,0.13,0.15,0.18
Other Income,0.38,0.82,0.19,0.32,0.24,0.26,0.61,0.53,0.98,2.04
Depreciation,1.34,1.74,1.6,1.61,1.62,1.68,1.61,1.21,1,1.06
Interest,1.12,1.35,1.01,0.8,0.93,0.91,0.78,0.57,0.59,0.58
Profit before tax,2.31,2.1,0.73,0.7,0.35,0.71,0.77,3.44,3.74,5.53
Tax,0.89,0.51,0.24,0.2,0.15,0.39,0.46,1.03,0.98,2.09
Net profit,1.42,1.59,0.5,0.51,0.2,0.32,0.31,2.4,2.76,3.44
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,14.93,16.59,11.98,11.48,10.26,13.56,13.95,12.5,11.76,14.44
Expenses,13.57,14.9,11.16,10.74,9.32,12.12,11.94,11.92,10.43,13.04
Other Income,0.2,0.19,0.22,0.16,1.4,0.56,-0.07,2.57,3.15,-1.42
Depreciation,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0.26,0.27,0.27
Interest,0.24,0.11,0.1,0.14,0.21,0.17,0.06,0.08,0.15,0.08
Profit before tax,1.07,1.52,0.69,0.51,1.86,1.56,1.61,2.81,4.06,-0.37
Tax,0.31,0.41,0.19,0.18,0.19,0.22,1.3,0.86,1.21,-0.08
Net profit,0.76,1.11,0.5,0.33,1.67,1.34,0.31,1.95,2.85,-0.29
Operating Profit,1.36,1.69,0.82,0.74,0.94,1.44,2.01,0.58,1.33,1.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1.12,1.12,1.12,1.12,1.17,1.17,1.17,1.17,1.17,1.17
Reserves,22.65,24.16,26.01,25.33,27.17,23.41,23.62,25.95,28.71,32.19
Borrowings,7.05,5.71,4.89,6.96,6.81,1.69,2.82,1.87,0.94,2.55
Other Liabilities,21.38,17.63,14.04,15.32,16.22,16.4,15.75,14.16,13.54,12.39
Total,52.2,48.62,46.06,48.73,51.37,42.67,43.36,43.15,44.36,48.3
Net Block,18.12,16.91,17.68,17.48,17.61,16.67,15.36,14.77,15.59,15.71
Capital Work in Progress,2.14,0.61,,,,,,,,
Investments,7.17,7.17,7.17,7.17,7.14,6.67,5.77,5.77,0.27,1.66
Other Assets,24.77,23.93,21.21,24.08,26.62,19.33,22.23,22.61,28.5,30.93
Total,52.2,48.62,46.06,48.73,51.37,42.67,43.36,43.15,44.36,48.3
Receivables,8.69,7.06,4.82,5.66,7.31,4.98,4.72,2.86,4.32,3.25
Inventory,7.14,8.76,7.59,9.69,11.01,8.73,6.85,9.9,9.27,10.45
Cash & Bank,1.76,3.3,3.71,0.63,0.79,0.64,0.7,0.93,0.05,0.08
No. of Equity Shares,1116368,1116368,1116368,1116368,1173868,1173868,1173868,1173868,1173868,1173868
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3.62,0.98,-0.11,0.9,-1.72,4.99,-2.27,1.24,-4.72,-1.21
Cash from Investing Activity,-5.68,1.71,-1.72,-1.17,-1.48,-0.02,1.2,-0.1,4.65,-0.54
Cash from Financing Activity,0.17,-1.34,2.13,0.29,3.19,-4.88,0.97,-0.61,-0.46,1.75
Net Cash Flow,-1.89,1.36,0.3,0.01,-0.01,0.09,-0.1,0.54,-0.53,0.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,44.8,277.9,146,130,115,90.1,78.55,106.9,215,339
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12
