COMPANY NAME,JTEKT INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,163.55,,,,,,,,,
Market Capitalization,4172.15,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1042.99,1078.64,1077.39,1164.6,1525.34,1773.09,1530.9,1350.2,1610.5,2073.24
Raw Material Cost,733.67,719.2,717.63,776.23,1015.61,1212.9,1071.87,973.78,1174.03,1525.23
Change in Inventory,12.43,0.17,3.8,3.78,-2.17,-1.49,-2.94,7.47,7.64,3.86
Power and Fuel,21.23,21.54,21.24,21.29,24.19,25.27,19.76,17.15,19.52,23.05
Other Mfr. Exp,35.19,37.79,39.31,49.06,56.15,66.45,55.17,47.79,64.32,76.43
Employee Cost,110.83,120.71,131.65,136.07,168.07,185.16,202.38,181.05,190.25,202.48
Selling and admin,49.66,51.78,51.28,43.71,53.85,75.33,53.98,42.22,56.37,76.61
Other Expenses,5.61,5.27,3.68,11.6,10.22,5.64,6.66,3.19,2.43,7.41
Other Income,40.06,4.18,15.98,4.2,6.83,12.57,10.9,7.78,3.57,9.29
Depreciation,49.1,78,71.9,74.77,91.95,90.6,86.51,77.93,65.91,67.62
Interest,31.89,24.93,28.23,24.26,21.33,15.52,9.89,4.66,3.67,4.72
Profit before tax,58.3,23.77,32.25,35.59,88.63,107.3,32.64,17.68,45.21,102.84
Tax,6.64,5.79,7.25,10.5,31.14,38.74,5.13,5.37,12.07,23.05
Net profit,51.66,17.98,25,25.09,57.5,68.56,27.51,12.32,33.14,79.79
Dividend Amount,15.9,12.92,9.94,9.94,9.94,19.56,8.56,3.67,9.78,12.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,390.73,418.2,476.79,479,579.68,471.03,537.17,485.36,583.88,552
Expenses,364.74,385.99,439.6,443.99,529.34,432.71,491.01,456.73,523.71,501.01
Other Income,3.88,2.3,-3.07,-0.69,6.55,1.79,1.67,10.76,2.19,1.46
Depreciation,17.07,16.01,15.44,15.78,16.4,19.09,17.75,17.54,19.58,19.89
Interest,0.88,0.82,1.17,1.21,1.24,1.06,1.21,1.29,1.21,1.47
Profit before tax,11.92,17.68,17.51,17.33,39.25,19.96,28.87,20.56,41.57,31.09
Tax,3.03,4.62,4.77,4.56,9.52,4.67,4.97,5.16,11.41,7.35
Net profit,8.88,13.06,12.74,12.77,29.73,15.29,23.89,15.39,30.16,23.75
Operating Profit,25.99,32.21,37.19,35.01,50.34,38.32,46.16,28.63,60.17,50.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19.87,19.87,19.87,19.87,19.87,24.45,24.45,24.45,24.45,24.45
Reserves,246.56,242.28,255.32,278.72,508.76,548.79,549.35,552.79,582.24,651.62
Borrowings,275.72,256.65,279.38,245.49,232.19,188.38,78.13,48.51,70.99,61.76
Other Liabilities,237.83,217.83,218.77,220.66,251.9,272.38,185.03,260.93,269.18,284.38
Total,779.98,736.63,773.34,764.74,1012.72,1034,836.96,886.68,946.86,1022.21
Net Block,421.47,405.68,437.81,443.46,515.75,494.7,449.74,390.65,367.1,447.16
Capital Work in Progress,67.43,62.15,38.12,21.29,23.21,9.32,1.51,5.92,93.35,23.8
Investments,34.63,35.48,35.28,33.73,5.1,5.1,5.1,5.1,5.1,5.1
Other Assets,256.45,233.32,262.13,266.26,468.66,524.88,380.61,485.01,481.31,546.15
Total,779.98,736.63,773.34,764.74,1012.72,1034,836.96,886.68,946.86,1022.21
Receivables,139.09,116.65,138.36,149.53,261.59,270.93,196.39,259.19,245.15,283.67
Inventory,71.08,71.62,71.48,78.09,96.31,104.91,108.24,125.07,138.5,182.68
Cash & Bank,2.06,2.35,4.54,2.58,80.59,113.78,46.86,64.87,61.52,36.72
No. of Equity Shares,198741832,198741832,198741832,198741832,198741832,244480469,244480469,244480469,244480469,244480469
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,96.26,129.46,89.2,149.9,164.24,169.76,107.54,83.28,95.77,82.68
Cash from Investing Activity,-14.85,-63.47,-64.75,-61.08,-113.07,21.88,-25,-22.03,-114.18,-83.73
Cash from Financing Activity,-81.16,-66.04,-22.52,-90.79,-49.96,-83.22,-149.18,-41.95,15.06,-23.74
Net Cash Flow,0.25,-0.06,1.93,-1.96,1.22,108.42,-66.64,19.3,-3.35,-24.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,21.15,50.25,46.1,81.65,99,109.7,39.45,84.15,73.8,103.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
