COMPANY NAME,JTL INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,228.65,,,,,,,,,
Market Capitalization,3925.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,97.15,119.07,94.64,112.66,169.59,321.64,229.68,435.44,1354.73,1547.33
Raw Material Cost,83.71,102.86,85.48,109.11,147.24,286.57,209.53,392.04,1237.23,1363.81
Change in Inventory,0.38,-1.67,-0.51,3.24,0.24,2.9,6.2,-0.29,34.16,5.53
Power and Fuel,1.85,2.19,1.93,0.02,0.02,,,,,
Other Mfr. Exp,6.02,6.89,1.28,0.35,0.44,1.31,1.37,1.06,28.8,26.99
Employee Cost,1.1,1.15,1.14,1.16,1.48,1.95,3.21,2.99,17.6,19.82
Selling and admin,1.75,2.59,2.72,2.92,6.04,11.12,5.54,5.99,15.28,13.44
Other Expenses,-0.09,-0.25,-0.21,-0.08,-0.11,-0.09,-0.19,0.28,0.56,-0.56
Other Income,-0.04,0.99,1.4,1.31,0.24,0.82,2.75,4.61,3.79,3.86
Depreciation,0.53,0.2,0.43,0.42,0.5,0.74,1.48,1.71,3.15,4.26
Interest,1.81,1.5,1.18,1.14,1.76,3.17,4.05,8.66,7.72,6.35
Profit before tax,0.81,1.26,1.58,2.17,12.7,20.59,13.64,27.03,82.34,122.61
Tax,0.28,0.42,0.37,0.79,4.66,6.09,3.56,6.96,21.28,32.48
Net profit,0.54,0.83,1.21,1.38,8.04,14.5,10.08,20.06,61.06,90.12
Dividend Amount,,,,,,,,2.12,,1.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,263.09,232.45,416.39,368.04,365.93,343.33,471.11,504.8,502.1,567.39
Expenses,243.66,213.35,388.73,352.66,333.79,314.28,418.32,469.27,464.69,524.88
Other Income,0.14,0.31,1.26,2.3,-0.01,1.1,0.47,0.77,3.03,0.94
Depreciation,0.54,0.54,0.81,0.96,1.04,1.09,1.17,1.15,1.35,1.5
Interest,1.09,1.47,3.4,0.85,2.43,1.33,1.74,1.24,1.28,1.62
Profit before tax,17.94,17.4,24.71,15.87,28.66,27.73,50.35,33.91,37.81,40.33
Tax,4.98,4.38,5.76,3.8,7.77,7.23,13.7,8.53,9.9,10.16
Net profit,12.95,13.02,18.95,12.07,20.9,20.5,36.65,25.37,27.92,30.18
Operating Profit,19.43,19.1,27.66,15.38,32.14,29.05,52.79,35.53,37.41,42.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10.01,10.01,10.01,10.01,10.01,10.01,10.61,10.61,13.44,16.87
Reserves,5.37,3,4.22,5.59,13.53,28.03,50.62,70.68,184.23,390.24
Borrowings,17.24,14.77,5.8,11.09,21.43,35.22,58.16,63.11,94.31,52.92
Other Liabilities,19.04,8.25,10.52,21.76,27.41,34.63,21.65,64.99,47.2,101.62
Total,51.66,36.03,30.55,48.45,72.38,107.89,141.04,209.39,339.18,561.65
Net Block,5.03,3.1,3.43,4.37,6.01,19.48,23.68,28.48,48.58,65.36
Capital Work in Progress,,,,,1.86,,,,3.4,4.25
Investments,,,,0.01,0.02,0.02,0.02,0.01,12.47,16.22
Other Assets,46.63,32.93,27.12,44.07,64.49,88.39,117.34,180.9,274.73,475.82
Total,51.66,36.03,30.55,48.45,72.38,107.89,141.04,209.39,339.18,561.65
Receivables,19.08,15.71,7.19,16.54,31.51,55.68,50.72,95.11,109.57,139.46
Inventory,13.57,7.65,9.8,16.32,18.89,22.07,42.01,53.09,119.27,167.74
Cash & Bank,2.46,0.92,1.82,0.73,1.39,2.13,2.87,4.17,1.76,53.09
No. of Equity Shares,10007430,10007430,10007430,10007430,10007430,10007430,10607430,10607430,67223500,84342092
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1.83,3.64,10.12,-4.23,-4.93,-4.63,-20.49,-4.96,17.09,4.71
Cash from Investing Activity,-0.1,-1.4,0.61,-0.9,-4.4,-12.98,-5.7,-7.57,-34.33,-20.67
Cash from Financing Activity,0.01,-3.79,-9.82,4.12,9.4,17.62,26.56,12.2,17.04,65.79
Net Cash Flow,1.74,-1.55,0.91,-1.01,0.06,0.01,0.36,-0.33,-0.2,49.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,5.31,5.59,5.05,4.15,15.91,14.93,7.98,53.21,115.4,159.93
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10,10,10,10,10,10,10.6,10.6,11.84,16.87
