COMPANY NAME,JAMNA AUTO INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,127,,,,,,,,,
Market Capitalization,5068.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,833.3,1095.08,1255.8,1292.44,1738.12,2134.81,1128.95,1079.48,1717.88,2325.32
Raw Material Cost,547.05,745.2,793.13,781.15,1089.13,1430,642.63,699.85,1168.99,1588.08
Change in Inventory,-16.11,9.99,0.51,9.93,-1.96,70.69,-69.62,41.81,45.41,38.08
Power and Fuel,67.9,80.26,62.39,64.02,89.29,131.87,69.17,67.95,110.38,170.1
Other Mfr. Exp,39.33,56.74,68.59,73.08,90.13,99.01,44.05,47.4,63.72,89.43
Employee Cost,59.86,69.18,94.1,107.61,127.56,158.08,113.04,111.92,124.72,145.26
Selling and admin,47.66,55.74,65.21,70.4,91.36,99.21,60.4,48.42,58.92,96.75
Other Expenses,6.63,3.4,9.17,4.81,9.47,8.82,14.19,11.48,9.29,11.71
Other Income,17.93,1.95,6.84,6.09,8.66,10.97,15.38,9.52,4.91,11.77
Depreciation,25.91,31.1,45.23,47.73,41.37,46.45,41.37,35.58,36.73,41.01
Interest,24.07,18.02,20.34,14.38,20.42,27.53,18.22,7.33,4.17,3.45
Profit before tax,16.71,47.38,104.99,145.28,186.09,215.5,71.64,100.88,191.28,229.38
Tax,2.86,18,33.48,40.32,60.78,78.05,23.76,27.92,50.47,61.01
Net profit,13.84,29.38,71.5,104.96,125.31,137.45,47.88,72.96,140.8,168.37
Dividend Amount,3.95,8.72,21.85,27.88,33.86,37.84,15.93,29.87,59.78,75.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,351.9,444.75,625.89,547.69,552.74,590.99,633.89,575.26,607.36,604.01
Expenses,307.48,385.04,539.01,487.62,496.6,525.28,554.4,502.14,528.24,517.69
Other Income,2.18,0.6,1.26,1.5,6.61,0.88,2.49,1.06,1.37,1.02
Depreciation,9.14,8.76,10.55,10.29,10.16,10.01,10.56,11.03,10.94,12.2
Interest,0.61,0.45,0.95,0.56,0.63,0.61,0.7,0.39,0.82,1.34
Profit before tax,36.85,51.1,76.64,50.72,51.96,55.97,70.72,62.76,68.73,73.8
Tax,9.78,13.7,19.8,13.3,14.63,14.85,18.23,17.17,18.62,18.86
Net profit,27.07,37.4,56.84,37.43,37.33,41.12,52.49,45.59,50.11,54.94
Operating Profit,44.42,59.71,86.88,60.07,56.14,65.71,79.49,73.12,79.12,86.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,39.5,39.62,39.72,39.83,39.83,39.83,39.83,39.83,39.85,39.87
Reserves,140.35,156.8,202.82,292.87,384.06,469.72,476.87,540.17,644.83,744.4
Borrowings,125.28,64.27,15.76,72.99,62.6,3.62,152.27,125.47,191.22,30.2
Other Liabilities,233.9,233.85,225.33,155.26,302.9,554.27,121.13,292.05,317.29,245.86
Total,539.03,494.54,483.63,560.95,789.39,1067.44,790.1,997.52,1193.19,1060.33
Net Block,259.35,241.95,210.66,281.3,301.41,372.76,368.69,350.92,436.07,433.99
Capital Work in Progress,2.23,7.77,65.49,19.93,30.85,39.65,132.17,133.76,53.43,56.14
Investments,,,,0.47,0.47,0.47,0.47,0.47,0.47,0.01
Other Assets,277.45,244.82,207.48,259.25,456.66,654.56,288.77,512.37,703.22,570.19
Total,539.03,494.54,483.63,560.95,789.39,1067.44,790.1,997.52,1193.19,1060.33
Receivables,108.36,56.37,37.61,34.19,191.22,304.1,80.08,170.5,288.57,78.55
Inventory,100.74,109.12,107.45,112.75,158.47,228.92,129.98,209.56,313.24,325.17
Cash & Bank,13.71,10.73,8.02,14.54,12.31,24.6,3.61,41.18,26.59,56.56
No. of Equity Shares,39516614,39639040,79477962,79682776,398463450,398463885,398463885,398463885,398622885,398831885
New Bonus Shares,,,,,,,,,,
Face value,10,10,5,5,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,44.73,98.06,137.92,80.76,126.21,281.35,-1.38,100.05,1.09,344.26
Cash from Investing Activity,24.22,-22.07,-75.11,-82.68,-71.55,-130.19,-96.86,-17.94,-36.16,-88.12
Cash from Financing Activity,-66.41,-78.43,-65.5,6.14,-56.65,-139,79.59,-44.81,19.59,-227.66
Net Cash Flow,2.54,-2.45,-2.68,4.22,-1.98,12.16,-18.64,37.31,-15.49,28.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,7.29,24.21,27.84,42.53,78.5,62.8,23.8,67.85,99.5,99.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
