COMPANY NAME,JINDAL SAW LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,522.15,,,,,,,,,
Market Capitalization,16706.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,8207.83,7702.58,7070.12,8506.62,12117,11627.04,10663.64,13298.42,17867.8,20957.69
Raw Material Cost,4601.28,4279.51,3818.01,5158.08,7574.09,6728.44,6023.59,8192.76,11232.59,12681.34
Change in Inventory,353.36,-13.42,6.91,257.88,108.12,-206.2,-3.92,290.52,40.25,530.14
Power and Fuel,400.86,365.74,386.09,436.44,513.85,499.24,487.16,604,758.42,
Other Mfr. Exp,1263.64,843.67,792.16,632.01,749.17,675.21,948.27,1247.23,1717.88,
Employee Cost,665.27,789.8,785,758.01,914.9,966.43,897.4,1015.5,1179.83,1492.44
Selling and admin,613.92,596.05,500.76,595.26,893.6,933.98,998.59,1025.64,1222.34,
Other Expenses,62.27,91.21,118.07,143.98,107.63,106.74,62.59,104.37,119.74,3993.91
Other Income,75.87,135.69,330.35,24.05,514.97,-2.67,208.82,155.14,141.12,168.21
Depreciation,335.48,327.94,337.41,363.48,396.28,421.67,458.87,472.99,470.78,567.99
Interest,605.64,678.85,568.63,579.15,615.23,619.85,492.79,460.12,637.59,704.69
Profit before tax,88.7,-147.92,101.25,122.14,975.34,466.61,499.28,621.47,710,2215.67
Tax,116.11,-67.72,62.74,133.12,211.62,5.34,171.54,245.59,267.24,622.8
Net profit,-14.47,-40.16,113.77,178.5,850.16,554.75,318.83,411.75,632.4,1677.03
Dividend Amount,29,30.46,31.98,38.37,63.95,63.95,63.95,63.95,95.92,127.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3471.04,3969.9,3478.28,4043.54,5157.94,5188.04,4410.03,5466.13,5656.09,5425.16
Expenses,3266.43,3569.29,3240,3712.22,4662.83,4588.3,3802.1,4662.49,4668.21,4504.85
Other Income,37.76,41.76,32.18,-1.7,44.24,78.97,38.01,22.75,40.3,69.23
Depreciation,122.2,118.45,109.77,117.27,118.1,125.54,133.19,142.54,146.8,148.61
Interest,107.92,119.38,159.97,147.94,168.84,161.53,159.5,188.74,181.61,174.42
Profit before tax,12.25,204.54,0.72,64.41,252.41,391.64,353.25,495.11,699.77,666.51
Tax,11.57,82.7,16.38,43.41,109.18,94.14,109.77,139.56,187.34,186.14
Net profit,12.64,126.93,4.85,59.42,214.44,357.16,263.15,375.73,533.21,502.18
Operating Profit,204.61,400.61,238.28,331.32,495.11,599.74,607.93,803.64,987.88,920.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,58.01,60.91,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95
Reserves,5332.09,5061.46,5322.19,5432.45,6218.41,6699.55,6919.08,7300.23,7858.81,10029.38
Borrowings,8102.2,7547.13,6221.9,6311.27,5692.29,5648.8,5334.79,6031.2,4921.93,5761.24
Other Liabilities,2507.17,1676.4,1247.84,1388.84,2806.82,2669.32,3497.36,3047.84,5016.4,5167.02
Total,15999.47,14345.9,12855.88,13196.51,14781.47,15081.62,15815.18,16443.22,17861.09,21021.59
Net Block,8238.68,7977.31,7454.66,7120.19,7162.78,7491.23,7315.58,7356.76,7371.62,8852.9
Capital Work in Progress,530.89,254.44,101.93,126.38,259.79,422.63,403.7,293.09,299.87,632.2
Investments,308.57,153.62,119.05,110.24,190.39,128.8,198.13,223.54,250.53,177.75
Other Assets,6921.33,5960.53,5180.24,5839.7,7168.51,7038.96,7897.77,8569.83,9939.07,11358.74
Total,15999.47,14345.9,12855.88,13196.51,14781.47,15081.62,15815.18,16443.22,17861.09,21021.59
Receivables,2042.48,1745.67,1370.43,1929.79,2212.61,1863.87,2125.19,1805.77,3562.86,3469.5
Inventory,2988.1,2465.62,2309.84,2463.11,3187.49,2687.25,2918.58,3755.51,4104.82,4895.28
Cash & Bank,333.14,208.38,132.41,143.69,231.51,342.12,723.58,672.5,213.21,894.62
No. of Equity Shares,290039185,304537881,319761367,319761367,319761367,319761367,319761367,319761367,319761367,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-182.59,917.29,1162.76,565.11,1567.32,1664.63,1569.71,73.47,1617.42,2592.91
Cash from Investing Activity,-866.92,-517.4,-427.72,-120.76,-518.15,-468.13,-359.47,-189.76,-68.01,-1917.38
Cash from Financing Activity,1252.51,-512.13,-815.93,-469.56,-976.91,-1168.05,-831.16,61,-1968.47,-12.39
Net Cash Flow,203,-112.23,-80.9,-25.2,72.26,28.45,379.08,-55.29,-419.06,663.14
,,,,,,,,,,
,,,,,,,,,,
