COMPANY NAME,JINDAL STEEL & POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,921.3,,,,,,,,,
Market Capitalization,93866.32,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,19286.31,19400.67,19468.74,21603.33,33286.38,46965.74,37923.19,34578.9,51165.64,53211.52
Raw Material Cost,5803.3,5792.58,6096.85,6800.85,9702.57,16460.83,11368.48,10854.6,21278.96,24842.26
Change in Inventory,-474.87,157.18,-448.19,-282.62,241.85,225.97,155.5,-197.68,776.52,144.61
Power and Fuel,1662,2330.97,4368.31,4349.16,5640.31,6704.26,6039.44,4035.07,5831.13,7609.49
Other Mfr. Exp,3406.07,3297.07,2794.7,2868.6,3811.18,5011.8,3473.43,3142.59,4660.9,6664.7
Employee Cost,787.78,1090.55,947.3,913.86,956.15,1072.1,913.52,821.33,871.77,1135.73
Selling and admin,1434.19,1106.19,702.54,1104.2,1456.31,1409.97,1451.69,1975.45,3170.92,2731.03
Other Expenses,-81.02,476.47,673.98,574.86,5492.6,8120.27,8001.08,2619.45,613.28,430.98
Other Income,348.78,-1399,-79.14,-362.32,-584.43,-1469.63,74.45,312.59,-1840.45,-538.73
Depreciation,1829.2,2732.83,4067.88,3949.02,3883.03,5480.35,3428.87,2414.13,2096.78,2690.95
Interest,1806.69,2874.94,3253.56,3440.74,3865.7,4264.19,3767.88,2753.34,1887.71,1445.89
Profit before tax,2512.01,-1542.75,-3963.71,-3042.9,-1864.05,-2801.69,-291.25,6077.85,9690.26,5266.37
Tax,618.21,-88.16,-877.46,-502.68,-239.81,-390.17,108.45,1810.81,2924.53,1292.28
Net profit,1910.36,-1278.12,-2966.24,-2281.28,-1409.11,-1645.34,-109.17,3633.56,5753.05,3173.94
Dividend Amount,137.24,,,,,,,,303.21,201
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,13611.71,12524.86,14339.49,13045.41,13521.4,12452.44,13691.93,12588.34,12250.16,11701.32
Expenses,9017.59,9214.7,11269.5,9606.71,11590.05,10075.01,11504.68,9960.47,9964.73,8858.76
Other Income,98.31,254.91,276.11,865.54,-898.01,-361.33,-137.71,55.29,31.88,35.2
Depreciation,609.61,613.39,271.54,596.17,614.26,607.65,872.88,587.5,603.68,635.67
Interest,481.69,471.78,373.48,363.8,364.81,346.12,371.17,329.11,329.36,315.14
Profit before tax,3601.13,2479.9,2701.08,3344.27,54.27,1062.33,805.49,1766.55,1384.27,1926.95
Tax,922.69,613.82,494.11,573.39,-165,544.06,339.83,74.75,-5.83,-1.04
Net profit,2584.22,1616.67,1510.9,1992.99,199.71,518.67,462.56,1686.94,1387.82,1928.32
Operating Profit,4594.12,3310.16,3069.99,3438.7,1931.35,2377.43,2187.25,2627.87,2285.43,2842.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,91.49,91.49,91.49,91.5,96.79,96.79,102,102,101.07,100.5
Reserves,22519.05,20950.58,32344.61,29959.03,30283.02,31983.1,32035.14,31712.67,35523.59,38606.09
Borrowings,36368.19,45500.74,46796.77,45850.5,42962.05,39559.02,36824.37,29909.69,13501.64,13046.31
Other Liabilities,9934.71,8993.8,13165.52,14673.93,15888.56,17361.98,20780.44,16116.07,27517.24,17674.33
Total,68913.44,75536.61,92398.39,90574.96,89230.42,89000.89,89741.95,77840.43,76643.54,69427.23
Net Block,34988.95,46643.35,65038.1,65931.63,68449.51,69039.13,69381.17,54349.23,45487.75,43542.15
Capital Work in Progress,17811.17,9072.77,11826.8,9716.17,4977.5,4027.2,3125.52,1711.54,2538.43,7869.59
Investments,341.87,1785.19,391.8,368.04,145.97,150.18,180.59,1155.54,469.92,907.4
Other Assets,15771.45,18035.3,15141.69,14559.12,15657.44,15784.38,17054.67,20624.12,28147.44,17108.09
Total,68913.44,75536.61,92398.39,90574.96,89230.42,89000.89,89741.95,77840.43,76643.54,69427.23
Receivables,1772.41,1690.7,1429.18,1716.62,1826.09,3028.54,3549.26,2794.4,1264.07,974.47
Inventory,4881.24,4848.69,3254.1,3599.26,4959.56,6509.53,6368.71,5942.57,7281.36,5886.78
Cash & Bank,1015.28,1139.07,620.38,477.22,467.88,421.62,906.23,6152.22,3668.51,4716.83
No. of Equity Shares,914886000,914903800,914903800,915024234,967946379,967946379,1020015971,1020015971,1020088097,1020088097
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,4580.11,1182.48,4332.71,6849.83,7724.28,9026.89,8814.32,11960.93,16047.77,7275.51
