COMPANY NAME,JINDAL WORLDWIDE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,324.05,,,,,,,,,
Market Capitalization,6513.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,778.97,836.79,1008.38,1157.43,1649.77,2211.98,2198.95,1699.62,2559.16,2070.02
Raw Material Cost,581.34,496.04,589.06,723.59,1068.79,1538.2,1704.23,1269.3,1840.59,1452.08
Change in Inventory,59.15,-21.11,8.77,1.78,109.4,-13.22,-29.78,21.58,-29.1,80.07
Power and Fuel,39.64,59.14,70.79,69.58,96.35,124.49,72.72,68.5,99.68,160.99
Other Mfr. Exp,135.74,158.86,195.75,208.23,388.15,287.28,218.65,126.29,220.6,165.85
Employee Cost,4.57,6.36,8.15,9.45,11.54,29.45,12.46,49.46,58.76,62.04
Selling and admin,6.42,8.18,10.08,7.67,7.71,15.58,12.34,34.82,84.65,55.63
Other Expenses,1.39,1.98,3.17,2.89,2.3,4.47,9.74,56.49,9.47,15.18
Other Income,4.26,7.14,0.66,27.58,8.09,6.63,6.63,24.67,5.38,1.46
Depreciation,17.78,32.35,47.3,48.76,53.12,88.17,45.49,29.27,30.38,33.93
Interest,23.22,24.71,42.79,35.85,53.97,73.74,60.96,49.33,44.93,51.8
Profit before tax,32.28,35.2,50.72,80.77,85.33,44.01,39.21,62.41,146.38,154.05
Tax,6.86,8.57,10.45,14.35,26.65,13.34,10.79,18.21,36.64,38.33
Net profit,25.42,26.66,40.29,66.42,58.6,30.03,28.48,44.21,109.2,115.72
Dividend Amount,1,1,1,1,1,1,1,3.01,2,4.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,630.51,675.72,728.51,639.26,477.52,403.78,549.46,410.7,391.83,437.77
Expenses,581.99,616.92,662.96,565.33,416.16,360.79,492.01,368.49,356.99,387.13
Other Income,3.53,0.86,0.31,0.99,0.77,2.06,0.4,0.46,0.45,0.54
Depreciation,7.59,7.61,7.6,7.2,8.19,9.39,9.15,8.37,8.35,8.39
Interest,11.3,10.89,11.92,11.88,13.01,13.97,13.11,15,10.68,14.8
Profit before tax,33.16,41.16,46.34,55.84,40.93,21.69,35.59,19.3,16.26,27.99
Tax,8.15,10.39,11.81,14.14,8.21,6.93,9.07,5.62,3.5,6.97
Net profit,25.01,30.77,34.52,41.71,32.72,14.76,26.53,13.69,12.76,21.03
Operating Profit,48.52,58.8,65.55,73.93,61.36,42.99,57.45,42.21,34.84,50.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05
Reserves,119.25,152.65,192.38,251.39,300.36,329.61,356.18,400.39,515.63,629.93
Borrowings,310.04,355.77,342.09,372.45,564.99,645.79,528.55,443.65,598.6,837.37
Other Liabilities,157.39,138.89,165.64,167.08,366.91,409.63,207.55,148.88,109.28,189.76
Total,606.73,667.36,720.16,810.97,1252.31,1405.08,1112.33,1012.97,1243.56,1677.11
Net Block,296.51,350.21,337.79,299.47,395.04,567.56,295.65,224.49,204.72,369.63
Capital Work in Progress,3.95,12.42,,24.96,27.38,,,6.43,,8.98
Investments,6.15,5.41,4.81,4.94,3.4,3.94,19.89,10.67,18.77,23.91
Other Assets,300.12,299.32,377.56,481.6,826.49,833.58,796.79,771.38,1020.07,1274.59
Total,606.73,667.36,720.16,810.97,1252.31,1405.08,1112.33,1012.97,1243.56,1677.11
Receivables,89.03,85.74,177.6,211.89,396.76,364.83,427.98,381.45,477.93,498.78
Inventory,128.16,107.51,111.37,114.57,245.58,275.04,244.95,280.4,256.51,322.87
Cash & Bank,11.85,34.3,13.56,11.53,25.08,34.32,21.15,34.21,33.95,311.91
No. of Equity Shares,20052040,20052040,20052040,20052040,40104080,200520400,200520000,200520000,200520000,200520400
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,5,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,16.34,96.62,98.73,7.72,38.95,270.95,21.63,83.29,-103.66,306.16
Cash from Investing Activity,-156.98,-91.41,-19.81,-9.55,-166,-118.38,214.98,65.25,-1.96,-212.2
Cash from Financing Activity,125.26,17.24,-99.66,-0.2,140.46,-143.33,-249.77,-135.48,105.37,184
Net Cash Flow,-15.38,22.45,-20.74,-2.03,13.41,9.24,-13.17,13.06,-0.25,277.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,9.85,9,13.96,25.95,125.32,71,31,48.05,280.6,320.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
