COMPANY NAME,JIO FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,345.4,,,,,,,,,
Market Capitalization,219411.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,,,,44.84,1853.88
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,,,
Employee Cost,,,,,,,,,,116.04
Selling and admin,,,,,,,,,2.15,
Other Expenses,,,,,,,,,3.41,179.48
Other Income,,,,,,,,,10.06,429.32
Depreciation,,,,,,,,,,21.52
Interest,,,,,,,,,,10.27
Profit before tax,,,,,,,,,49.34,1955.89
Tax,,,,,,,,,18.09,351.34
Net profit,,,,,,,,,31.25,1604.55
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,,414.13,608.04,413.61,418.1
Expenses,,,,,,,38.19,66.03,93.54,97.76
Other Income,,,,,,,66.98,217.82,66.83,77.69
Depreciation,,,,,,,5.35,5.4,5.41,5.36
Interest,,,,,,,10.27,,,
Profit before tax,,,,,,,427.3,754.43,381.49,392.67
Tax,,,,,,,95.38,86.25,87.67,82.04
Net profit,,,,,,,331.92,668.18,293.82,310.63
Operating Profit,,,,,,,375.94,542.01,320.07,320.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,,,,,2.02,6353.28
Reserves,,,,,,,,,114118.31,132794.38
Borrowings,,,,,,,,,742.77,
Other Liabilities,,,,,,,,,66.46,5715.33
Total,,,,,,,,,114929.56,144862.99
Net Block,,,,,,,,,158.21,175.1
Capital Work in Progress,,,,,,,,,37.88,
Investments,,,,,,,,,108140.93,133292.17
Other Assets,,,,,,,,,6592.54,11395.72
Total,,,,,,,,,114929.56,144862.99
Receivables,,,,,,,,,13.83,13.97
Inventory,,,,,,,,,,
Cash & Bank,,,,,,,,,6043.9,10959.77
No. of Equity Shares,,,,,,,,,2020200,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,2054.9,-677.57
Cash from Investing Activity,,,,,,,,,-1103.26,1441.22
Cash from Financing Activity,,,,,,,,,-888.92,-753.04
Net Cash Flow,,,,,,,,,62.72,10.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,353.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,635.33
