COMPANY NAME,JUPITER LIFE LINE HOSPITALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1221.5,,,,,,,,,
Market Capitalization,8017.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,320.24,398.5,462.95,461.1,657.28,787.32
Raw Material Cost,,,,,64.21,81.57,83.64,91.86,128.42,137.13
Change in Inventory,,,,,3.74,0.26,3.77,-2.43,1.77,2.23
Power and Fuel,,,,,13.95,15.27,16.04,14.21,13.77,16.45
Other Mfr. Exp,,,,,9.15,9.41,8.37,3.08,64.8,76.04
Employee Cost,,,,,66.64,81.93,92.75,100.4,116.9,133.62
Selling and admin,,,,,79.53,104.54,124.24,121.74,165.16,204.66
Other Expenses,,,,,36.01,41.01,59.08,58.31,11.15,17.63
Other Income,,,,,5.48,2.28,1.89,4.03,3.75,11.18
Depreciation,,,,,19.9,23.87,25.91,27.38,27.66,28.61
Interest,,,,,16.14,23.69,25.69,28.17,29.23,27.71
Profit before tax,,,,,23.93,19.75,32.89,17.55,105.71,158.88
Tax,,,,,-5.98,1.61,3.26,0.96,21.04,51.66
Net profit,,,,,29.91,18.14,29.63,16.59,84.67,107.21
Dividend Amount,,,,,2.54,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,178.92,197.76,200.17,210.47,207.87,227.07,230.38
Expenses,,,,130.06,140.91,153.87,158.44,156.73,168.27,173.33
Other Income,,,,1.93,2.43,2.37,4.43,5.43,5.4,7.77
Depreciation,,,,7.03,7.12,7.2,7.25,7.75,7.65,7.65
Interest,,,,6.51,6.59,7.22,7.39,8.21,8.51,1.01
Profit before tax,,,,37.25,45.57,34.25,41.82,40.61,48.04,56.16
Tax,,,,0.09,9.47,27.04,15.07,10.17,11.91,13.93
Net profit,,,,37.16,36.09,7.22,26.75,30.44,36.13,42.24
Operating Profit,,,,48.86,56.85,46.3,52.03,51.14,58.8,57.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,50.87,50.87,50.87,50.87,50.87,56.52
Reserves,,,,,147.3,162.38,185.88,202.47,276.22,408.51
Borrowings,,,,,209.6,252.13,262.55,261.67,322.14,297.74
Other Liabilities,,,,,62.56,71.17,94.26,99.55,105.51,122.57
Total,,,,,470.33,536.55,593.56,614.56,754.74,885.34
Net Block,,,,,378.6,430.87,434.56,426.42,464.58,476.47
Capital Work in Progress,,,,,27.57,11.51,10.5,13.33,13.86,16.24
Investments,,,,,1.41,1.74,2.33,65.34,70.86,95.44
Other Assets,,,,,62.75,92.43,146.17,109.47,205.44,297.19
Total,,,,,470.33,536.55,593.56,614.56,754.74,885.34
Receivables,,,,,17.57,25.93,44.61,20.43,27.65,40.03
Inventory,,,,,9.95,10.21,13.97,11.53,13.3,15.49
Cash & Bank,,,,,4.45,7.89,6.96,18.46,102.16,133.31
No. of Equity Shares,,,,,50866551,50866551,50866551,50866551,50866551,56518390
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,43.47,45.55,74.6,113.15,142.35,182.95
Cash from Investing Activity,,,,,-42.8,-58.3,-43.39,-78.22,-68.31,-58.7
Cash from Financing Activity,,,,,0.69,16.18,-32.14,-23.43,9.66,-93.1
Net Cash Flow,,,,,1.36,3.44,-0.93,11.5,83.7,31.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,5.09,5.09,5.09,5.09,5.09,5.65
