COMPANY NAME,JYOTI CNC AUTOMATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,809.65,,,,,,,,,
Market Capitalization,18379.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,965.26,686.77,580.06,746.49,929.26
Raw Material Cost,,,,,,403.12,390.59,463.86,418.78,679.53
Change in Inventory,,,,,,-145.55,2.11,144.9,-0.91,146.92
Power and Fuel,,,,,,17.51,13.76,10.8,13.6,16.73
Other Mfr. Exp,,,,,,37.6,25.94,33.41,46.04,45.01
Employee Cost,,,,,,157.3,153.47,131.39,141.84,166.24
Selling and admin,,,,,,55.64,47.07,30.04,34.72,46.84
Other Expenses,,,,,,56.9,51.08,23.77,17.93,24.45
Other Income,,,,,,54.75,43.5,10.03,3.57,53.79
Depreciation,,,,,,35.55,37.29,37.78,35.79,33.62
Interest,,,,,,72.64,70.71,75.51,82.2,89.7
Profit before tax,,,,,,38.2,-57.53,-71.57,-41.75,27.85
Tax,,,,,,19.71,-7.21,-1.54,6.55,12.79
Net profit,,,,,,18.48,-50.31,-70.03,-48.3,15.06
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,238.84,302.28,377.92
Expenses,,,,,,,,236.29,247.75,281.65
Other Income,,,,,,,,2.64,1.32,3.1
Depreciation,,,,,,,,8.56,7.96,8.65
Interest,,,,,,,,22.51,24.86,23.55
Profit before tax,,,,,,,,-25.88,23.03,67.17
Tax,,,,,,,,-0.8,6.27,19.13
Net profit,,,,,,,,-25.08,16.76,48.04
Operating Profit,,,,,,,,2.55,54.53,96.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,29.48,29.48,29.48,29.48,32.93
Reserves,,,,,,216,160.21,83.11,11.68,49.13
Borrowings,,,,,,578.66,648.12,725.12,792.16,834.98
Other Liabilities,,,,,,423.33,468.86,550.49,452.92,598.35
Total,,,,,,1247.47,1306.67,1388.2,1286.24,1515.39
Net Block,,,,,,344.44,343.86,321.22,292.5,283.07
Capital Work in Progress,,,,,,33.94,56.38,53.73,5.48,15.38
Investments,,,,,,1.3,0.23,1.86,1.96,3.39
Other Assets,,,,,,867.79,906.2,1011.39,986.3,1213.55
Total,,,,,,1247.47,1306.67,1388.2,1286.24,1515.39
Receivables,,,,,,175.06,197.59,216.64,200.19,145.88
Inventory,,,,,,591.46,624.55,644.71,634.04,819.92
Cash & Bank,,,,,,23.61,20.85,22.46,22.57,28.29
No. of Equity Shares,,,,,,29479366,29479366,29479366,29479366,32929366
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,144.49,24.57,28.05,38.55,11.67
Cash from Investing Activity,,,,,,54.48,-35.5,-17.98,-31.06,-31.61
Cash from Financing Activity,,,,,,-191.33,-1.81,-3.11,-15.16,33.59
Net Cash Flow,,,,,,7.64,-12.75,6.96,-7.67,13.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,2.95,2.95,2.95,2.95,3.29
