COMPANY NAME,K E C INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,736,,,,,,,,,
Market Capitalization,18907.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,8467.8,8517.8,8584.4,10052.63,11000.53,11965.37,13114.2,13742.26,17281.71,19914.17
Raw Material Cost,4527.35,4133.31,4173.7,5245.3,5344.45,5669.62,5696.99,6090.81,6969.83,8413.69
Change in Inventory,-39.06,-18.77,9.07,104.86,-65.23,78.03,-3.61,141.79,-98.77,5.7
Power and Fuel,94.8,75.29,63.87,74.83,92.9,91.66,79.63,110.98,151.98,
Other Mfr. Exp,1890.69,2042.58,1815.56,2153.19,2744.77,2854.58,3929.03,4515.9,6542,
Employee Cost,586.88,639.65,733.31,798.99,832.87,1104.85,1115.7,1259.37,1356.94,1440.63
Selling and admin,491.42,526.8,546.99,550.18,643.62,854.72,779.23,717.61,944.3,
Other Expenses,258.7,296.12,348.92,239.59,39.91,138.02,270.15,188.69,270.05,8850.98
Other Income,146.23,6.4,13.58,21.64,31.33,10.6,29.06,-30.88,30.37,52.41
Depreciation,88.11,131.78,129.69,109.74,117.13,147.2,152.53,157.86,161.48,185.36
Interest,375.96,368.48,331.57,317.88,398.14,403.08,360.48,412.52,655.75,655.13
Profit before tax,261.06,291.42,463.44,689.43,752.84,790.27,755.91,399.43,160.98,426.49
Tax,100.07,143.57,158.66,229.01,257.07,224.75,203.19,67.35,-15.05,79.71
Net profit,160.99,147.87,304.78,460.42,495.77,565.52,552.72,332.08,176.03,346.78
Dividend Amount,23.14,25.71,41.14,61.7,69.42,87.41,102.84,102.84,77.13,102.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3340.02,4274.78,3318.08,4064,4374.62,5525.01,4243.59,4499.03,5006.72,6164.83
Expenses,3101.04,4023.1,3149.65,3886.05,4174.74,5241.54,3999.23,4224.71,4698.83,5776.83
Other Income,5.04,3.39,7.95,16.14,1.72,5.52,2.83,15.82,25.98,7.79
Depreciation,39.27,41.9,39.29,39.86,40.83,41.5,41.79,46.52,48.8,48.25
Interest,82.43,95.38,99.98,127.66,149.34,161.61,158.7,177.84,164.35,154.25
Profit before tax,122.32,117.79,37.11,26.57,11.43,85.88,46.7,65.78,120.72,193.29
Tax,28.71,5.75,6.09,-28.67,-6.17,13.71,4.37,9.95,23.85,41.54
Net profit,93.61,112.04,31.02,55.24,17.6,72.17,42.33,55.83,96.87,151.75
Operating Profit,238.98,251.68,168.43,177.95,199.88,283.47,244.36,274.32,307.89,388
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42
Reserves,1278.38,1238.97,1534.94,1946.04,2383.68,2746.16,3308.27,3568.51,3720,4044.28
Borrowings,2214.1,3221.22,2105.73,1766.35,1839.44,2518.94,2065.69,3064.61,3383.37,3985.03
Other Liabilities,4183.29,4362.38,5022.72,6748.68,7388.59,7538.06,8566.3,9613.43,11506.55,10950.74
Total,7727.19,8873.99,8714.81,10512.49,11663.13,12854.58,13991.68,16297.97,18661.34,19031.47
Net Block,1258.9,1197.69,1148.75,1112.2,1182.39,1351.78,1397.51,1537.65,1582.81,1628.27
Capital Work in Progress,16.44,8.39,5.1,78.07,7.32,83.96,17.9,2.46,11.45,13.92
Investments,0.01,25.38,130.4,39.29,13.21,22.5,1.06,12.64,,
Other Assets,6451.84,7642.53,7430.56,9282.93,10460.21,11396.34,12575.21,14745.22,17067.08,17389.28
Total,7727.19,8873.99,8714.81,10512.49,11663.13,12854.58,13991.68,16297.97,18661.34,19031.47
Receivables,3852.93,4657.6,4200.35,5038.93,4875.26,5425.88,5384.69,5106.1,6896.06,4136.62
Inventory,476.39,360.16,394.67,627.41,641.01,775.82,842.2,1066.48,1137.16,1213.31
Cash & Bank,206.32,85.31,207.97,231.31,276.17,163.67,249.17,261.94,344.16,273.28
No. of Equity Shares,257088370,257088370,257088370,257088370,257088370,257088370,257088370,257088370,257088370,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,152.85,-75.31,1661.59,659.62,198.74,87.45,839.57,-283.71,606.73,311.13
Cash from Investing Activity,124.84,-7.11,-181.63,-4,-66.6,-112.52,-133.54,-204.31,-132.39,-223.06
Cash from Financing Activity,-215.71,-27.59,-1378.99,-638.15,-149.91,2.52,-658.92,495.86,-400.81,-144.67
Net Cash Flow,61.98,-110.01,100.96,17.47,-17.77,-22.55,47.11,7.84,73.53,-56.6
,,,,,,,,,,
,,,,,,,,,,
