COMPANY NAME,K P R MILL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,787.5,,,,,,,,,
Market Capitalization,26924.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2565.75,2600.52,2816.6,3024.59,3384.01,3352.63,3527.42,4822.48,6185.88,6059.68
Raw Material Cost,1697.28,1606.52,1724.64,1918.6,2124.4,2113,1761.7,2981.82,4117.16,3557.04
Change in Inventory,12.72,13.62,22.42,77.59,96.81,125.81,-201.23,296.08,364.28,-50.17
Power and Fuel,107.74,128.61,98.95,110.18,131.62,126.24,124.67,175,223.98,
Other Mfr. Exp,95.07,117.74,95.1,110.2,135.52,113.01,122.01,173.33,221.02,
Employee Cost,182.67,217.67,278.3,300.22,380.73,394.4,393.68,445.45,548.64,600.58
Selling and admin,51.42,67.26,65.87,74.24,75.47,81.19,82.4,104.28,125.01,
Other Expenses,6.65,6.62,12.91,14.42,21.33,28.65,12.17,19.97,39.96,615.2
Other Income,23.7,23.74,27.49,15.11,36.9,36.46,38.84,87.22,62.32,67.26
Depreciation,154.02,152.05,149.39,139.85,131.13,137.09,146.7,141.12,173.69,189.19
Interest,83.94,57.63,64.45,51.56,48.94,49.65,32.84,23.29,78.86,74.37
Profit before tax,223.38,283.78,376.9,398.02,468.58,471.67,688.86,1141.52,1084.16,1040.39
Tax,49.81,73.07,90.08,107.64,133.71,94.99,173.6,299.68,270.06,235.04
Net profit,173.57,210.71,286.82,290.38,334.87,376.68,515.26,841.84,814.1,805.35
Dividend Amount,33.91,37.68,5.54,5.54,5.44,30.97,30.97,5.16,73.49,85.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1259.11,1449.89,1584.82,1219.96,1431.44,1949.66,1610.73,1510.92,1241.31,1696.72
Expenses,953.08,1113.82,1216.75,902.6,1162.78,1629.36,1278.66,1212.93,969.75,1361.65
Other Income,24.56,11.44,20.15,20.55,13.25,8.37,5.26,22.12,27.99,11.89
Depreciation,41.76,36.36,48.59,49.64,29.36,46.1,45.22,45.99,48.62,49.36
Interest,5.6,5.68,16.8,21.01,19.74,21.31,21.66,18.1,14.92,19.69
Profit before tax,283.23,305.47,322.83,267.26,232.81,261.26,270.45,256.02,236.01,277.91
Tax,71.46,85.69,96.14,63.97,58.24,51.71,67.61,54.18,48.95,64.3
Net profit,211.77,219.78,226.69,203.29,174.57,209.55,202.84,201.84,187.06,213.61
Operating Profit,306.03,336.07,368.07,317.36,268.66,320.3,332.07,297.99,271.56,335.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,37.68,37.68,36.95,36.95,36.28,34.41,34.41,34.41,34.18,34.18
Reserves,892.53,1062.92,1249.01,1533.03,1753.89,1831.46,2315.76,3152.44,3672.51,4324.05
Borrowings,824.29,882.73,779.02,647.74,856.33,787.64,657.4,1185.3,1348.09,1158.42
Other Liabilities,477.24,398.25,326.37,334.43,327.24,228.91,243.81,485.8,542.85,347.34
Total,2231.74,2381.58,2391.35,2552.15,2973.74,2882.42,3251.38,4857.95,5597.63,5863.99
Net Block,1206.37,1153.56,1307.37,1223.5,1136.72,1321.32,1255.56,1940.34,2306.41,2429.31
Capital Work in Progress,2.36,34.77,2.08,0.15,12.43,6.44,28.62,115.32,86.65,117.51
Investments,61.47,1.65,11.88,14.12,2.1,9.11,234.94,310.71,128.66,33.54
Other Assets,961.54,1191.6,1070.02,1314.38,1822.49,1545.55,1732.26,2491.58,3075.91,3283.63
Total,2231.74,2381.58,2391.35,2552.15,2973.74,2882.42,3251.38,4857.95,5597.63,5863.99
Receivables,281.78,419.41,340.73,419.64,528,409.24,320.98,480.24,625.44,669.28
Inventory,516.43,505.7,532.99,640.41,1006.41,715.73,913.26,1288.8,1898.46,1905.25
Cash & Bank,40.38,45.7,47.64,31.81,74.84,154.22,77.26,127.89,112.66,179
No. of Equity Shares,37682892,37682892,73895784,73895784,72560784,68810000,68810000,344050000,341814000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,5,5,5,5,5,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,310.14,204.78,477.05,226,65.94,788.28,658.92,494.23,298.67,677.94
Cash from Investing Activity,-102.29,-206.93,-197.66,-54.24,-69.09,-282.79,-548.34,-942.06,-105.07,-294.11
Cash from Financing Activity,-251.68,-65.09,-269.6,-190.34,46.72,-417.77,-194.44,501.19,-206.33,-417.28
Net Cash Flow,-43.83,-67.24,9.79,-18.58,43.57,87.72,-83.86,53.36,-12.73,-33.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
