COMPANY NAME,KPI GREEN ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1860.7,,,,,,,,,
Market Capitalization,11214.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,34.29,59.12,102.28,229.94,643.79,1023.9
Raw Material Cost,,,,,,,,,,536.35
Change in Inventory,,,,,3.85,0.97,0.82,0.7,2.18,0.3
Power and Fuel,,,,,10.4,15.35,22.82,91.75,380.44,
Other Mfr. Exp,,,,,6.16,7.84,10.61,16.7,32.62,
Employee Cost,,,,,1.05,2.14,2.59,5.15,9.02,14.44
Selling and admin,,,,,5.29,7.71,9.32,6.92,11.63,
Other Expenses,,,,,-0.08,0.02,-0.64,1.24,3.78,136.57
Other Income,,,,,5.85,0.21,0.33,1.47,2.77,6.61
Depreciation,,,,,4.47,7.48,12.52,14.06,22.62,40.37
Interest,,,,,3.87,7.84,16.16,36.93,46.76,86.06
Profit before tax,,,,,12.83,11.92,30.05,59.36,141.87,217.02
Tax,,,,,3.92,5.48,8.13,16.12,32.24,55.36
Net profit,,,,,8.9,6.44,21.92,43.25,109.63,161.66
Dividend Amount,,,,,,,,1.81,10.3,4.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,62.2,74.89,122.33,159.84,179.21,182.4,189.36,215.07,330.12,289.36
Expenses,33.22,39.23,80.45,107.07,119.6,128.16,120.11,143.91,226.55,196.49
Other Income,0.2,0.72,0.48,0.3,0.46,1.52,1.21,0.88,1.21,3.3
Depreciation,3.45,4.47,5.26,5.64,5.8,5.92,9.44,9.7,9.95,11.29
Interest,8.8,13.6,10.88,11.08,11.72,13.09,19.72,18.46,23.05,24.83
Profit before tax,16.93,18.31,26.22,36.35,42.55,36.75,41.3,43.88,71.78,60.05
Tax,3.79,8.44,3.99,15.2,8.09,4.97,8.04,9.14,21.16,17.02
Net profit,13.14,9.86,22.23,21.16,34.46,31.78,33.26,34.75,50.61,43.04
Operating Profit,28.98,35.66,41.88,52.77,59.61,54.24,69.25,71.16,103.57,92.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,18.07,18.07,18.07,18.07,36.13,60.28
Reserves,,,,,80.97,79.93,101.85,135.67,221.78,775.4
Borrowings,,,,,39.95,138.96,240.07,446.48,675.51,1036.39
Other Liabilities,,,,,22.24,61.42,49.32,177.12,321.56,563.86
Total,,,,,161.23,298.38,409.31,777.34,1254.98,2435.93
Net Block,,,,,84.12,212.99,243.84,481.58,800.62,979.36
Capital Work in Progress,,,,,18.44,0.86,21.02,31.33,0.28,101.39
Investments,,,,,,,,,1.5,
Other Assets,,,,,58.67,84.53,144.45,264.43,452.58,1355.18
Total,,,,,161.23,298.38,409.31,777.34,1254.98,2435.93
Receivables,,,,,13.48,28.38,49.87,36.78,146.73,427.13
Inventory,,,,,15.4,34.73,40.27,106.66,164.98,333.86
Cash & Bank,,,,,1.99,10.37,21.68,25.64,52.4,170.01
No. of Equity Shares,,,,,18067000,18067000,18067000,18067000,36134000,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,-17.06,39.87,-26.7,102.38,159.38,-57.41
Cash from Investing Activity,,,,,-15.14,-118.78,-63.11,-189.4,-309.43,-386.79
Cash from Financing Activity,,,,,33.07,87.3,101.13,90.98,176.8,561.81
Net Cash Flow,,,,,0.87,8.39,11.31,3.96,26.76,117.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,23.49,7.95,16.34,185.34,278.4,1523
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,5.42,5.42,5.42,5.42,5.42,6.03
