COMPANY NAME,KRBL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,281.55,,,,,,,,,
Market Capitalization,6441.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2881.86,3142.82,3359.55,3145.09,3245.69,4120.49,4499.02,3991.88,4210.56,5363.23
Raw Material Cost,2192.61,2504.27,2747.96,2488.88,2266.75,3179.26,3048.04,3151.96,2962.35,4398.6
Change in Inventory,-69.57,103.19,106.29,259.38,98.41,285.58,-173.95,393,-99.42,613.7
Power and Fuel,10.04,8.12,6.48,10.22,9.63,17.71,22.13,18.19,18,18.16
Other Mfr. Exp,33.32,42.83,55.52,61.95,56.27,59.25,163.54,177.77,226.83,272.78
Employee Cost,45.65,54.34,63.02,71.54,69.18,77.02,85.62,92.21,104.44,120.83
Selling and admin,116.85,161.4,145.28,126.09,161.05,197.28,126.01,100.89,114.02,188.9
Other Expenses,-26.73,-50.78,0.75,2.25,7.29,25.67,9.37,21.64,23.46,38.41
Other Income,19.56,1.85,61.22,10.28,17.81,15.15,22.51,22.68,42.71,92.32
Depreciation,57.66,52.69,49.78,61.42,67.78,64.46,72.88,71.95,74.22,75.65
Interest,76.02,80.89,67.48,54.84,68.95,67.58,62.44,23.59,13.4,14.74
Profit before tax,326.43,394.1,390.79,537.56,655.01,732.99,757.55,749.36,617.13,941.18
Tax,71.32,72.38,97.66,138.16,220.57,229.97,199.36,190.45,157.73,240.2
Net profit,255.11,321.72,293.14,399.4,434.44,503.02,558.18,558.91,459.4,700.98
Dividend Amount,28.3,40.02,44.73,49.43,54.14,58.85,65.91,82.39,82.39,23.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1053.69,1153.56,987.4,1228.23,1319.28,1535.99,1279.73,1413.65,1213.39,1437.03
Expenses,855.46,1045.3,824.86,996.8,1034.57,1257.2,1135.87,1162.15,1018.87,1259.18
Other Income,5.53,15.12,7.09,11.03,20.61,17.94,43.2,26.9,33.1,28.24
Depreciation,18.61,18.77,18.54,18.65,18.93,18.74,19.33,19.57,19.94,19.97
Interest,1.69,4.25,3.85,2.01,1.46,3.45,7.82,1.47,0.83,7.48
Profit before tax,183.46,100.36,147.24,221.8,284.93,274.54,159.91,257.36,206.85,178.64
Tax,47.24,27,38.18,57.35,71.83,69.09,41.93,62.71,53.56,44.8
Net profit,136.22,73.36,109.06,164.45,213.1,205.45,117.98,194.65,153.29,133.84
Operating Profit,198.23,108.26,162.54,231.43,284.71,278.79,143.86,251.5,194.52,177.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.58,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54
Reserves,1020.39,1301.23,1474.8,1883.78,2264.36,2703.16,3104.1,3668.97,4046.7,4669.08
Borrowings,1379.5,1351.03,1167.45,1090.07,1245.25,1428.19,571.51,369.32,145.18,250
Other Liabilities,291.25,390.25,314.99,424.85,324.39,481.25,723.76,566,532.6,648.28
Total,2714.72,3066.05,2980.78,3422.24,3857.54,4636.14,4422.91,4627.83,4748.02,5590.9
Net Block,562.62,639.57,764.57,1013.18,981.94,941.22,979.45,946.74,923.59,899.06
Capital Work in Progress,14.4,113.74,100.26,1.71,2.25,0.59,12.14,9.07,2.35,15.98
Investments,6.3,6.59,12.69,10.11,8.99,7.65,5.84,18.89,20.79,30.88
Other Assets,2131.4,2306.15,2103.26,2397.24,2864.36,3686.68,3425.48,3653.13,3801.29,4644.98
Total,2714.72,3066.05,2980.78,3422.24,3857.54,4636.14,4422.91,4627.83,4748.02,5590.9
Receivables,287.26,339.98,154.46,230.02,246.68,397.29,230.2,201.29,289.34,285.06
Inventory,1690.02,1859.67,1795.66,2019.96,2462.72,3129.39,2852.42,2964.21,2816.1,4186.27
Cash & Bank,66.19,24.34,28.3,4.76,69.82,5.27,52.55,161.86,391,47.52
No. of Equity Shares,236244892,235389892,235389892,235389892,235389892,235389892,235389892,235389892,235389892,235389892
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-488.51,336.54,510.31,258.33,60.76,-114.86,1211.88,383.73,560.82,-360.1
Cash from Investing Activity,0.93,-231.46,-173.9,-207.91,-48.68,20.2,-53.53,-11.67,-206.32,206.36
Cash from Financing Activity,391.26,-146.92,-332.45,-73.68,24.68,59.49,-1148.17,-227.07,-322.24,4.78
Net Cash Flow,-96.32,-41.85,3.96,-23.26,36.76,-35.17,10.18,144.99,32.26,-148.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
