COMPANY NAME,KARNATAKA BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,214.85,,,,,,,,,
Market Capitalization,8108.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4188.83,4698.42,4992.21,5185.4,5423.75,5905.96,6474.77,6232.41,6221.66,7220.23
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,17.65,22.46,24.36,28.81,35.25,42.79,45.34,51.31,57.89,71.07
Employee Cost,526.39,525.62,444.15,602.61,527.23,607.88,899.37,915.04,1017.71,1073.96
Selling and admin,143.87,171.7,202.15,221.85,245.19,259.02,267.62,288.59,302.78,325.1
Other Expenses,439.56,410.84,604.83,928.99,1644.11,1335.44,1493.87,1646.99,1298.3,1180.1
Other Income,505.58,507,542.86,809.34,954.34,1001.96,1261.63,1404.2,953.88,992.58
Depreciation,25.53,-14.17,42.23,49.75,50.06,54.14,63.76,73.52,73.67,86.41
Interest,3132.76,3529.57,3689.34,3694.78,3566.1,4000.84,4444.41,4049.23,3730.63,4035.13
Profit before tax,408.65,559.4,528.01,467.95,310.15,607.81,522.03,611.93,694.56,1441.04
Tax,97.62,107.95,112.71,15.69,-15.45,130.57,90.25,129.36,185.94,260.8
Net profit,311.03,451.45,415.29,452.26,325.61,477.24,431.78,482.57,508.62,1180.24
Dividend Amount,75.37,94.23,94.24,113.05,84.79,98.92,,55.96,124.47,156.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1554.28,1565.1,1578.78,1629.08,1771.05,1850.8,1969.3,1958.74,2026.59,2112.61
Expenses,765.59,601.28,629.18,770.47,471.11,672.27,822.79,688.92,669.72,757.89
Other Income,274.88,196.45,256.9,132.79,260.04,204.51,395.24,323.84,249.59,326.08
Depreciation,,,,,,,,,,
Interest,917.18,942.45,922.29,941.52,968.32,1016.04,1109.25,1144.06,1204.18,1285.01
Profit before tax,146.39,217.82,284.21,49.88,591.66,367,432.5,449.6,402.28,395.79
Tax,20.78,71.25,153.86,-64.3,180.03,66.32,78.75,78.9,72.02,64.71
Net profit,125.61,146.57,130.35,114.18,411.63,300.68,353.75,370.7,330.26,331.08
Operating Profit,788.69,963.82,949.6,858.61,1299.94,1178.53,1146.51,1269.82,1356.87,1354.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,188.42,188.46,188.47,282.62,282.62,282.62,310.88,310.88,311.17,312.35
Reserves,2863.78,3200.6,3502.12,4859.97,5127.53,5502.57,5659.56,6331.48,6783.56,7901.01
Borrowings,42498.02,47046.37,51539.69,57565.73,63687.26,71777.63,75850.27,77419.74,82700.69,88930.73
Other Liabilities,1478.58,1401.16,1270.05,1330.28,1276.27,1482.94,1492.78,1553.33,1788.58,1914.24
Total,47028.8,51836.59,56500.33,64038.6,70373.68,79045.76,83313.49,85615.43,91584,99058.33
Net Block,197.48,291.85,306.64,720.57,761.6,775,826.42,837.85,805,846.08
Capital Work in Progress,,,,,,,,0.51,13.16,29.14
Investments,15226.78,14031.67,16256.65,20219.73,15444.45,16184.99,17545.34,21635.19,22041,23326.37
Other Assets,31604.54,37513.07,39937.04,43098.3,54167.63,62085.77,64941.73,63141.88,68724.84,74856.74
Total,47028.8,51836.59,56500.33,64038.6,70373.68,79045.76,83313.49,85615.43,91584,99058.33
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,2337.4,2614.15,3044.92,3274.03,3601.01,3609.75,2919.49,5315.57,4436.76,6159.47
No. of Equity Shares,188428922,188456555,188465821,282615747,282617486,282617598,310879489,310879489,311173660,312352421
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,403.93,648.1,635.93,-184.11,720.88,-2231.06,-89.6,3368.76,-467.03,1830.08
Cash from Investing Activity,-54.33,-80.5,-57.92,-39.86,-91.34,-67.54,-56.05,-87.4,-56.36,-87.42
Cash from Financing Activity,34,-290.85,-147.25,453.08,-302.56,2307.33,-544.61,-885.28,-355.42,-19.95
Net Cash Flow,383.6,276.75,430.77,229.11,326.98,8.74,-690.26,2396.08,-878.81,1722.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,86.82,92.3,76.01,127.91,104.45,121.5,42.05,61.1,55.45,135.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,31.08,31.1,31.1,31.09,31.09,31.09,31.09,31.09,31.12,31.23
