COMPANY NAME,KIRLOSKAR BROTHERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1333.65,,,,,,,,,
Market Capitalization,10581.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2675.16,2712.95,2641.92,2526.3,2775.43,3348.98,3135.43,2716.54,3057.63,3730.22
Raw Material Cost,1425.98,1507.62,1380.9,1328.82,1495.86,1926.41,1643.55,1445.31,1681.62,1972.51
Change in Inventory,-95.12,64.58,42.34,35.51,39.05,97.47,1.62,-4.21,1.32,17.89
Power and Fuel,34.08,38.2,40.65,41.67,42.07,48.9,44.79,39.72,47.95,58.09
Other Mfr. Exp,159.49,188.31,346.81,226.78,274.43,292.47,275.55,206.95,295.58,354.15
Employee Cost,362.04,416.69,431.19,469.73,479.21,585.44,532.64,490.56,503.69,567.4
Selling and admin,296.5,353.84,332.84,291.04,298.77,356.49,325.94,208.96,232.18,275.31
Other Expenses,93.71,80.03,76.82,108.43,73.35,108.79,107.39,79.4,91.82,120.29
Other Income,3.3,14.85,26.8,30.55,21.01,23.45,37.38,52.79,32.36,21.67
Depreciation,54.84,94.71,66.17,64.94,58.59,63.82,71.19,67.99,69.51,68.56
Interest,51.38,50.46,50.76,44.53,39.92,46.99,52.05,44.15,33.47,35.39
Profit before tax,105.32,62.52,-15.08,16.42,73.29,40.59,121.33,182.08,135.49,318.08
Tax,39.92,17.28,-3.77,18.17,26.79,45.84,53.05,28.17,53.95,93.01
Net profit,64.07,41.1,-24.12,3.83,49.42,3.48,71.9,161.09,94.34,234.94
Dividend Amount,19.84,3.97,3.97,7.94,19.85,19.85,19.85,23.82,23.82,35.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,751.3,725.3,954.4,784.1,864,957.5,1124.6,899.5,913.1,964.8
Expenses,715.4,682.1,859.6,743.3,801.4,808.2,979.5,789.5,818.3,841.2
Other Income,2.8,15.9,3.5,7.3,4,-0.1,13.1,10.5,2.3,16.4
Depreciation,15.4,20.3,17.4,16.3,16.6,17.6,18.1,18.1,18.9,20.7
Interest,7.3,9.9,8.1,7.3,8,12.2,7.9,7.5,5.7,5
Profit before tax,16,28.9,72.8,24.5,42,119.4,132.2,94.9,72.5,114.3
Tax,12.2,8.9,25.8,9.3,12,30.2,41.5,28.9,24.8,31.1
Net profit,6,21.7,54.5,15.4,30.7,88.7,100.2,63.7,50.4,81.9
Operating Profit,35.9,43.2,94.8,40.8,62.6,149.3,145.1,110,94.8,123.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.87,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88
Reserves,979.86,995.76,906.51,882.19,926.6,893.43,927.18,1088.81,1161.54,1388
Borrowings,296.63,355.45,361.62,358.7,346.24,379.71,578.08,331,396.13,285.91
Other Liabilities,1283.32,1257.66,1166.4,1194.13,1265.86,1376.86,1326.74,1278.89,1288.78,1326
Total,2575.68,2624.75,2450.41,2450.9,2554.58,2665.88,2847.88,2714.58,2862.33,3015.79
Net Block,542.63,570.96,500.51,480.34,460.84,456.65,501.37,480.64,532.29,531.84
Capital Work in Progress,10.41,12.08,6.36,3.94,13.07,24.76,50.79,72.88,26.73,81.97
Investments,11.59,0.03,42.82,45.6,49.46,57.4,104.37,194.87,333.07,317.22
Other Assets,2011.05,2041.68,1900.72,1921.02,2031.21,2127.07,2191.35,1966.19,1970.24,2084.76
Total,2575.68,2624.75,2450.41,2450.9,2554.58,2665.88,2847.88,2714.58,2862.33,3015.79
Receivables,679.46,787.71,568.11,531.58,542.72,609.71,489.66,463.69,515.21,488.47
Inventory,274.05,338.7,362.04,430.66,520.23,616.67,615.68,602.84,643.52,713.96
Cash & Bank,71.66,63.74,60.93,73.06,91.5,73.53,320.82,175.39,164.08,252.86
No. of Equity Shares,79358451,79388176,79408926,79408926,79408926,79408926,79408926,79408926,79408926,79408926
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,189.06,127.38,96.77,100.37,109.58,61.74,305.23,316.58,114.33,329.24
Cash from Investing Activity,-73.99,-133.74,-46.85,-34.66,-43.85,-56.93,-171.69,-144.56,-183.44,-72.84
Cash from Financing Activity,-112.13,-2.17,-50.02,-57.94,-52.14,-23.42,125.03,-315.39,29.79,-169.38
Net Cash Flow,2.94,-8.52,-0.1,7.77,13.59,-18.61,258.57,-143.38,-39.31,87.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,165,190.15,115.4,254.55,310.7,163.65,86.8,239.3,283.05,410.25
,,,,,,,,,,
