COMPANY NAME,L&T FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,157.05,,,,,,,,,
Market Capitalization,39088.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6456.09,7439.86,8531.58,10214.55,13364.93,14104.12,13352.85,11929.7,12774.95,13580.58
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.87,8.44,5.87,7.76,8.61,8.08,6.29,6.49,6.13,
Other Mfr. Exp,35.37,45.34,59.24,510.99,1243.16,429.58,736.46,1454.35,1047.06,
Employee Cost,354.95,490.86,499.18,413.57,829.1,1066.44,941.12,1099.1,1409.89,1806.37
Selling and admin,502.79,474.73,400.93,368.85,570.03,606.01,714.18,945.62,1197.63,
Other Expenses,724.19,959.39,1810.73,2006.64,726.42,2050.06,3003.12,1727.46,1587.43,3727.76
Other Income,16.15,7.8,25.93,48.7,-3.73,369.96,836.12,593.83,104.95,474.54
Depreciation,95.5,82.81,67.3,51.93,49.62,81.59,85.66,102.64,111.24,114.77
Interest,3576.74,4133.42,4635.36,5457.75,6882.28,7552.24,7230.15,5765.01,5811.67,5377.19
Profit before tax,1174.83,1252.67,1078.9,1445.76,3051.98,2680.08,1471.99,1422.86,1708.85,3029.03
Tax,324.1,398.98,36.44,168.24,819.95,979.82,523.11,373.62,172.37,711.9
Net profit,854.68,856.69,1042.19,1254.68,2226.3,1700.17,970.94,1070.11,1623.25,2320.1
Dividend Amount,137.62,140.27,140.46,199.57,199.88,180.43,,123.7,495.93,622.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2970.75,2946.78,2988.4,3138.1,3432.49,3242.86,3223.32,3213.84,3533.96,3671.77
Expenses,1299.15,1228.01,1388.47,1236.26,1356.17,1308.57,1269.85,1331.44,1374.6,1620.55
Other Income,179.75,171.55,186.92,164.52,-448.06,201.57,153.46,268.23,47.3,5.55
Depreciation,24.28,27.78,27.35,27.09,28.27,28.53,29.59,28.33,29.19,27.66
Interest,1406.59,1392.26,1413.2,1438.46,1500.69,1444.89,1363.76,1324.91,1353.43,1335.09
Profit before tax,420.48,470.28,346.3,600.81,99.3,662.44,713.58,797.39,824.04,694.02
Tax,112.6,128.93,85.13,195.24,-353.51,245.51,183.06,203.17,184.67,141
Net profit,325.99,342.24,262.1,406.43,453.64,501.08,530.93,595.11,640.18,553.88
Operating Profit,1671.6,1718.77,1599.93,1901.84,2076.32,1934.29,1953.47,1882.4,2159.36,2051.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1720.29,1753.4,1755.72,1995.68,1998.81,2004.83,2469.45,2474.04,2479.67,2488.94
Reserves,4656.19,5323.68,6020.15,9411.06,11449.79,12687.59,16303.75,17473.66,19048.7,20949.5
Borrowings,42090.63,51615.66,59811.05,75248.28,91506.98,93934.07,88591.57,85236.76,83104.9,76603.45
Other Liabilities,4275.06,5106.61,4924.28,1117.4,1094.33,902.07,1581.99,1695.92,1705.53,2675.66
Total,52742.17,63799.35,72511.2,87772.42,106049.91,109528.56,108946.76,106880.38,106338.8,102717.55
Net Block,1183.83,1312.67,1229.87,1150.72,1127.3,1100.07,1138.29,508.81,552.52,554.97
Capital Work in Progress,173.55,22.42,27.89,19.34,38.65,62.04,23.84,21.81,4.81,
Investments,2649.22,3563.27,6011.53,5301.49,8640.81,5979.27,8872.13,11916.94,14366.2,12384.89
Other Assets,48735.57,58900.99,65241.91,81300.87,96243.15,102387.18,98912.5,94432.82,91415.27,89777.69
Total,52742.17,63799.35,72511.2,87772.42,106049.91,109528.56,108946.76,106880.38,106338.8,102717.55
Receivables,21.37,26.69,78.85,126.44,106.37,64.74,47.31,15.92,5.88,247.28
Inventory,,,,,,,,,,
Cash & Bank,862.33,401.53,594.38,1108.53,1874.15,7804.4,8426.97,7970.42,12748.91,4676.02
No. of Equity Shares,1720285900,1753398551,1755721861,1995676960,1998812360,2004833610,2469445704,2474035488,2479671117,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-6473.63,-9212.65,-5779.41,-15639.71,-11643.45,2161.76,5464.3,6078.06,7490.47,673.47
Cash from Investing Activity,2.37,-674.62,-2117.54,1548.8,-3587.48,159.75,-2024.52,-5086.86,-1633.96,848.62
Cash from Financing Activity,6552.35,9426.4,7952.1,14677.8,16008.19,1450.53,-2090.68,-3023.01,-1663.81,-7037.42
Net Cash Flow,81.09,-460.87,55.15,586.89,777.26,3772.04,1349.1,-2031.81,4192.7,-5515.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
