COMPANY NAME,L&T TECHNOLOGY SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,4401.9,,,,,,,,,
Market Capitalization,46553.33,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2560.59,2893.7,3112.5,3506.6,4712,5181.3,4964,5873.7,7108.1,8678.9
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,12.26,10,11.1,12,14.3,16.1,17.9,18.7,25.5,
Other Mfr. Exp,254.05,266.7,280.4,388.9,561.7,673.4,475,607,677,
Employee Cost,1440.21,1830.9,1973.8,2283.8,2767.8,2927.5,3001.2,3192.7,3951.6,4350.3
Selling and admin,437.39,228,192.99,225,434.72,439.3,504.53,683.01,781.63,
Other Expenses,12.39,24.7,50.01,45.9,69.08,93.8,27.37,53.19,78.97,2499.2
Other Income,25.04,81.7,53.7,188.1,151.2,212.3,174.3,153.7,205.7,203.1
Depreciation,47.09,54.1,57.5,57.6,73.1,153.4,173.7,182.6,202.4,245.7
Interest,3.14,1.6,0.8,0.4,1.1,35.1,43.5,39.4,39.2,47.7
Profit before tax,379.1,559.4,599.6,681.1,941.4,1055,895.1,1250.8,1557.5,1739.1
Tax,63.92,123.1,150.6,191.7,241.3,265,222,332.3,447.1,480.6
Net profit,315.18,436.3,449,489.4,700.1,790,673.1,918.5,1110.4,1258.5
Dividend Amount,156.81,107.37,121.29,164,218.4,219.45,231,369.25,474.75,530
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1505.6,1548.1,1782.2,2052.7,1922.5,2152.6,2043.7,2136.1,2147.9,2351.2
Expenses,1157.1,1203.2,1401.7,1645.2,1517.9,1701.6,1615.2,1680.2,1693,1861
Other Income,37.2,41.9,40.8,38.3,73,49.3,48,41.7,63.6,49.6
Depreciation,45.7,45.4,51.1,50.7,52.3,50.5,51.2,61.5,65,68
Interest,9.9,9.6,9.8,9.3,10.6,10.4,11,11.4,12.6,12.8
Profit before tax,330.1,331.8,360.4,385.8,414.7,439.4,414.3,424.7,440.9,459
Tax,87.2,89.9,96.7,100,133.8,116.7,114.7,116.3,119.9,129.7
Net profit,242.9,241.9,263.7,285.8,280.9,322.7,299.6,308.4,321,329.3
Operating Profit,348.5,344.9,380.5,407.5,404.6,451,428.5,455.9,454.9,490.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,300,300,20.3,20.5,20.8,20.9,21,21.1,21.1,21.2
Reserves,6.74,789.4,1511.2,1944.8,2415.1,2599.1,3319.1,3960.5,4667,5029.9
Borrowings,155.38,112.7,,,42.6,23.9,471.6,448.3,423.9,627.3
Other Liabilities,1252.36,647.9,619,627.6,747.3,1437.8,1008.4,1278.4,1347.1,2326.2
Total,1714.48,1850,2150.5,2592.9,3225.8,4081.7,4820.1,5708.3,6459.1,8004.6
Net Block,523.77,560.3,558.9,553,565.4,959.5,1019.6,1014.4,1019.5,1389.5
Capital Work in Progress,0.25,14.3,2.3,0.1,,8.7,11.9,9.9,6.5,13.1
Investments,6.1,61.6,198.8,322.5,752.4,765.2,1700.6,1647.3,2446.5,1645.5
Other Assets,1184.36,1213.8,1390.5,1717.3,1908,2348.3,2088,3036.7,2986.6,4956.5
Total,1714.48,1850,2150.5,2592.9,3225.8,4081.7,4820.1,5708.3,6459.1,8004.6
Receivables,667.33,711.7,711,951.3,1017.3,1321.2,1175.1,1583.4,1546.7,2054
Inventory,,,,,,,,,,3.3
Cash & Bank,112.2,80.9,62.2,143.7,191.6,227.1,200.2,616.7,615.2,1177.9
No. of Equity Shares,300000000,75000000,101690392,102456047,104013325,104511558,105045823,105532167,105532167,
New Bonus Shares,,,,,,,,,,
Face value,10,40,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,288.63,524.6,401.6,339.6,739.7,664.3,1267.1,899.3,1258.8,1341.3
Cash from Investing Activity,-606.72,-154,-176.7,-165.6,-489.1,-280.5,-964.6,-388.6,-553.8,-231.4
Cash from Financing Activity,400.8,-401.9,-239.9,-98.5,-202.2,-377.2,-353.8,-476,-432.4,-646.6
Net Cash Flow,82.7,-31.3,-15,75.5,48.4,6.6,-51.3,34.7,272.6,463.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,778.6,1235.6,1572.25,1161.25,2653.9,5105.3,3378.55,5482.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,30,7.5,10.17,10.25,10.4,10.45,10.5,10.55,10.56,10.58
