COMPANY NAME,LA OPALA RG LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,319.55,,,,,,,,,
Market Capitalization,3551.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,175.91,221.69,247.85,235.25,259.29,278.1,270.01,211.28,322.69,452.32
Raw Material Cost,25.16,27.62,49.08,29.92,29.01,37.39,34.41,17.31,41.15,76.46
Change in Inventory,-3.26,-0.11,9.2,-6.93,-2.81,15.51,7.88,-25.33,3.34,30.08
Power and Fuel,24.23,24.44,28.18,27.76,33.97,45,41.8,23.24,47.99,76.47
Other Mfr. Exp,16.55,25.88,7.36,21.4,23.09,24.67,24.23,19.28,33.78,42.69
Employee Cost,23.99,29.25,36.34,37.95,42.3,49.33,50.99,42.31,57.17,74.08
Selling and admin,31.01,46.42,47.21,12.43,14.65,20.07,16.97,10.93,16.86,33.51
Other Expenses,1.65,1.82,2.4,9.93,4.05,4.51,4.99,4.29,6.81,7.02
Other Income,0.99,0.74,1.4,10.84,10.67,17.05,16.69,7.88,11.98,21.78
Depreciation,7.01,10.3,8.98,12.44,13.78,16.46,15.97,12.23,13.66,21.76
Interest,3.28,0.84,0.98,1.34,0.84,0.61,0.57,0.25,4.07,7.49
Profit before tax,40.76,55.75,77.92,85.99,105.46,112.62,104.65,63.99,116.52,164.7
Tax,10.81,14.02,19.21,23.81,32.03,38.58,20.38,14.41,29.14,41.72
Net profit,29.95,41.74,58.71,62.19,73.44,74.04,84.27,49.57,87.37,122.98
Dividend Amount,5.3,7.22,9.99,11.1,12.21,13.32,13.32,16.65,25.53,55.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,92.29,108.59,89.65,82.15,134.92,126.37,108.88,86.22,89.24,107.14
Expenses,56.76,63.74,57.28,49.48,81.71,80.28,68.67,50.92,54.77,66.51
Other Income,5.22,4.1,-2.56,0.82,5.67,8.35,6.94,10.9,10.25,11.59
Depreciation,3.16,3.56,3.85,4.51,5.82,5.59,5.84,5.94,5.75,5.2
Interest,1.19,1.71,1.07,1.4,1.44,2.26,2.39,1.61,1.46,2.07
Profit before tax,36.4,43.68,24.89,27.58,51.62,46.59,38.92,38.65,37.51,44.95
Tax,9.05,11.19,6.2,7.5,12.55,11.95,9.72,9.94,6.32,0.8
Net profit,27.35,32.49,18.68,20.08,39.07,34.64,29.2,28.72,31.19,44.16
Operating Profit,35.53,44.85,32.37,32.67,53.21,46.09,40.21,35.3,34.47,40.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10.6,11.1,11.1,11.1,22.2,22.2,22.2,22.2,22.2,22.2
Reserves,87.23,174.25,220.94,423.7,481.4,506.94,522.9,643.56,718.29,752.75
Borrowings,14.18,7.86,6.09,0.13,3.86,0.89,5.43,1.6,14.53,12.74
Other Liabilities,32.85,35.51,45.9,60.34,69.1,71.18,60.62,74.38,91.41,109.22
Total,144.86,228.72,284.03,495.27,576.56,601.21,611.15,741.74,846.43,896.91
Net Block,73.12,64.95,107.06,107.64,130.69,121.43,122.03,114.41,119.33,217.44
Capital Work in Progress,2.2,5.56,1.04,1.24,0.04,2.28,25.33,80.56,108.34,0.17
Investments,0.09,90.24,95.46,304.53,361.42,355.79,340.26,461.17,535.1,553.76
Other Assets,69.45,67.97,80.47,81.86,84.41,121.71,123.53,85.6,83.66,125.54
Total,144.86,228.72,284.03,495.27,576.56,601.21,611.15,741.74,846.43,896.91
Receivables,21.48,23.28,25.71,32.61,40.87,48.24,43.82,37.8,32.44,36.23
Inventory,28.34,29.22,40.45,33.92,31.53,48.36,55.05,29.74,36.56,75.71
Cash & Bank,9.12,0.42,0.9,1.75,2.79,3.78,3.8,4.35,4.41,4.49
No. of Equity Shares,10597532,55500000,55500000,55500000,111000000,111000000,111000000,111000000,111000000,111000000
New Bonus Shares,,,,,55000000,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,39.27,46.69,61.02,71.78,80.24,50.62,73.18,83.28,99.39,109.32
Cash from Investing Activity,-8.11,-97.33,-49.15,-51.68,-68.73,-32.14,-45.09,-79.23,-74.99,-68.88
Cash from Financing Activity,-22.87,41.94,-11.39,-19.25,-10.47,-18.32,-28.72,-4.09,-24.46,-40.43
Net Cash Flow,8.29,-8.7,0.49,0.85,1.04,0.16,-0.63,-0.04,-0.06,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,71.16,189.38,298.1,269.08,286.8,216.9,147.55,221.8,347.1,339.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
