COMPANY NAME,LATENT VIEW ANALYTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,466.75,,,,,,,,,
Market Capitalization,9602.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2013-03-31 00:00:00,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,33.25,78.18,287.93,310.36,305.88,407.82,538.76,640.68
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.63,0.59,0.28,0.39,0.48,
Other Mfr. Exp,,,,,0.35,0.37,0.82,1.6,4.3,
Employee Cost,,,15.83,39.26,174.3,197.95,177.24,242.64,336.88,433.89
Selling and admin,,,,,32.17,28.63,19.66,38.72,49.47,
Other Expenses,,,5.4,13.15,7.8,2.4,3.31,2.48,2.47,70.75
Other Income,,,0.47,1.26,7.97,19.32,20.83,43.59,55.77,73.7
Depreciation,,,0.38,1.87,7.09,6.66,6.87,8.16,8.82,9.66
Interest,,,0.34,1,3.06,2.89,2.61,3.25,2.75,3.05
Profit before tax,,,11.77,24.16,70.5,90.19,115.92,154.17,189.36,197.03
Tax,,,3.99,6.98,10.84,17.35,24.46,24.66,33.93,38.38
Net profit,,,7.78,17.18,59.67,72.85,91.46,129.51,155.43,158.64
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,107.75,117.45,119.94,132.41,145.35,141.06,147.68,155.68,165.69,171.64
Expenses,75.51,81.6,85.18,95.07,102.54,110.93,119.61,124.89,128.91,131.25
Other Income,27.93,7.9,9.8,8.83,22.1,15.04,17.89,16.98,23.01,15.81
Depreciation,2.21,2.25,2.11,2.19,2.28,2.24,2.37,2.34,2.49,2.45
Interest,0.57,1.19,0.64,0.64,0.69,0.66,0.8,0.78,0.74,0.72
Profit before tax,57.39,40.31,41.81,43.34,61.94,42.27,42.79,44.65,56.56,53.03
Tax,7.46,4.74,10.34,6.06,9.47,8.06,9.94,10.63,10.03,7.79
Net profit,49.93,35.57,31.48,37.27,52.47,34.21,32.86,34.03,46.52,45.24
Operating Profit,32.24,35.85,34.76,37.34,42.81,30.13,28.07,30.79,36.78,40.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2013-03-31 00:00:00,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,0.8,0.8,0.81,0.81,0.81,20.04,20.49,20.59
Reserves,,,13.73,33.77,266.06,347.11,436.97,1006.34,1186.96,1353.82
Borrowings,,,8.33,13.31,35.54,32.58,51.86,26.03,21.46,23.99
Other Liabilities,,,1.75,4.7,21.27,17.35,29.56,47.58,34.14,57.48
Total,,,24.61,52.58,323.68,397.85,519.2,1099.99,1263.05,1455.88
Net Block,,,1.9,7.06,37.11,35.41,30.36,28.69,23.19,27.5
Capital Work in Progress,,,,0.51,,,,,,
Investments,,,2.73,11.7,98.73,72.19,139.31,193.79,500.73,328.98
Other Assets,,,19.98,33.31,187.84,290.25,349.53,877.51,739.13,1099.4
Total,,,24.61,52.58,323.68,397.85,519.2,1099.99,1263.05,1455.88
Receivables,,,6.23,12.75,50.59,52.8,60.9,83.72,98.52,113.14
Inventory,,,,,,,,,,346.78
Cash & Bank,,,0.72,1.53,78.81,150.02,221.47,692.08,541.33,415.8
No. of Equity Shares,,,8000000,8000000,8080000,8113325,8135075,200421998,204901506,
New Bonus Shares,,,,,,,,165448500,,
Face value,,,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2013-03-31 00:00:00,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,64.41,62.97,89.89,87.43,97.44,115.37
Cash from Investing Activity,,,,,-46.24,-29.48,-46.85,-434.56,-276.76,-3.75
Cash from Financing Activity,,,,,-6.07,-5.41,17.33,448.82,-4.06,-1.1
Net Cash Flow,,,,,12.1,28.08,60.37,101.68,-183.38,110.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,422.75,321.1,507.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.8,0.8,0.81,0.81,0.81,20.04,20.49,20.59
