COMPANY NAME,LINDE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,7575.85,,,,,,,,,
Market Capitalization,64601.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00
Sales,1428.46,1491.35,1566.63,1825.31,2033.06,2191.65,1761.79,1471.12,2111.96,3135.52
Raw Material Cost,270.55,168.41,167.81,253.2,268.5,388.93,415.06,349.86,684.36,1265.34
Change in Inventory,3.37,-0.77,-1.64,6.66,-4.69,-3.37,-3.26,4,-2.64,6.7
Power and Fuel,482.75,615.39,746.87,818.11,922.49,890.12,348.67,347.02,402.85,513.92
Other Mfr. Exp,101.38,87.63,86.11,60.01,58.38,56.5,58.17,29.71,36.19,52.87
Employee Cost,81.52,90.91,92.43,98.73,116.45,127.29,113.59,68.78,50.99,64.95
Selling and admin,162.28,166.29,159.93,207.4,249.73,295.53,305.88,203.39,229.53,270.25
Other Expenses,71.86,84.97,82.19,107.81,85.14,103.85,102.43,101.53,157.79,210.68
Other Income,58.61,10.81,22.31,34.47,11.2,22.95,861.68,43.8,348.06,108.74
Depreciation,129.04,181.35,161.53,195.4,206.26,199.14,177.25,176,181.37,252.87
Interest,74.45,102.87,89.88,115.57,116.47,102.7,86.25,6.24,3.05,5.66
Profit before tax,116.61,3.57,0.55,10.21,16.15,47.17,1012.91,236.39,711.25,614.42
Tax,39.28,-1.82,-22.9,-3.2,-2.78,13.69,285.73,80.85,197.32,78.65
Net profit,77.33,5.4,23.46,13.41,18.94,33.49,727.18,155.54,513.94,535.77
Dividend Amount,12.79,12.79,6.4,6.4,8.53,12.79,85.28,25.58,115.13,102.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,507.22,644.15,534.27,588.06,685.96,697,630.24,721.01,711.35,706.24
Expenses,376.98,496.09,402.56,453.34,541.76,529.16,444.5,557.02,537.73,520.05
Other Income,10.73,21.47,13.98,10.59,34.77,27.7,21.7,18.27,18.55,21.87
Depreciation,44.97,46.25,45.72,45.77,47.49,48.11,65.79,48.92,49.75,50.63
Interest,0.69,0.96,1.13,1.13,1.11,1.11,1.17,1.16,1.16,1.15
Profit before tax,95.31,122.32,98.84,98.41,130.37,146.32,140.48,132.18,141.26,156.28
Tax,32.96,43.89,34.98,-70.81,39.61,33.13,41.75,34.04,34.56,39.13
Net profit,62.36,78.43,63.85,169.23,90.76,113.19,98.74,98.14,106.71,117.15
Operating Profit,130.24,148.06,131.71,134.72,144.2,167.84,185.74,163.99,173.62,186.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28
Reserves,1342.04,1303.94,1307.3,1310.06,1322.43,1341.52,2051.56,2118.44,2605.74,3028.66
Borrowings,1527.81,1564.43,1388.26,1445.35,1281.86,1199.36,108.47,6.9,24.29,22.05
Other Liabilities,1010.87,925.86,883.36,721.92,679.61,758.7,969.5,1048.2,1287.39,1246.02
Total,3966,3879.51,3664.2,3562.61,3369.18,3384.86,3214.81,3258.82,4002.7,4382.01
Net Block,1664.87,2200.78,2157.59,2572.75,2497.55,2161.55,2035.14,1989.19,1868.55,1762.44
Capital Work in Progress,743.73,356.09,576.55,80.29,35.91,44.46,52.94,17.06,68.04,225.23
Investments,15.01,15.01,15.01,15.02,15.03,0.03,0.03,2.04,2.07,16.17
Other Assets,1542.39,1307.63,915.05,894.55,820.69,1178.82,1126.7,1250.53,2064.04,2378.17
Total,3966,3879.51,3664.2,3562.61,3369.18,3384.86,3214.81,3258.82,4002.7,4382.01
Receivables,290.83,307.39,336.28,356.85,352.72,364.71,382.81,407.21,423.17,476.79
Inventory,76.29,70.86,65.3,68.68,68.33,70.96,65.41,68.59,69.1,77.41
Cash & Bank,58.34,57.17,21.03,106.14,38.64,125.4,240.86,325.86,987.97,1191.49
No. of Equity Shares,85284223,85284223,85284223,85284223,85284223,85284223,85284223,85284223,85284223,85284223
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,228.71,271.44,242.38,292.61,252.09,375.56,326.75,338.96,588.88,629.18
Cash from Investing Activity,-385.18,-264.26,-57.61,-127.79,-59.29,-72.8,981.29,-54.14,98.43,-306.42
Cash from Financing Activity,168.51,-8.35,-221.53,-79.68,-261.05,-215.64,-1192.58,-200.72,-28.16,-119.45
Net Cash Flow,12.04,-1.17,-36.75,85.14,-68.25,87.13,115.47,84.1,659.15,203.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
