COMPANY NAME,LUPIN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1583.95,,,,,,,,,
Market Capitalization,72204.17,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,12770.01,14255.54,17367.38,15796.55,14664.56,15374.76,15162.96,16405.48,16641.66,20010.82
Raw Material Cost,4302.73,4778.49,5339.31,5111.62,5150.54,5422.05,5847.1,6679.56,6626.03,7100.91
Change in Inventory,145.69,445.92,337.88,-162.78,204.45,-8.55,484.86,198.32,-153.73,457.44
Power and Fuel,362.81,381.27,377.86,433.88,442.28,443.17,414.48,443.96,479.68,
Other Mfr. Exp,801.47,1102.07,1802.78,1539.28,1222.15,1384.33,1437.71,1487.59,1420.26,
Employee Cost,1747.55,2141.79,2849.64,2864.85,2770.31,2987.05,2826.08,2989.53,3087.32,3494.57
Selling and admin,1803.4,2369.09,2377.05,2386.73,2512.93,2540.95,2230.45,2490.33,2755.37,
Other Expenses,273.59,237.68,456.67,149.9,210.08,233.86,325.12,2294.01,398.7,6062.26
Other Income,235.19,184.37,105.95,-1310.48,91.24,-134.27,137.62,210.45,150.91,120.17
Depreciation,434.7,487.13,912.23,1085.87,846.05,970.22,887.41,1658.71,880.69,1196.81
Interest,9.81,59.47,152.53,204.35,302.49,362.98,140.64,142.77,274.3,311.61
Profit before tax,3414.83,3328.84,3543.14,546.81,1503.42,887.33,1676.45,-1372.21,716.49,2422.27
Tax,970.4,1059.34,978.51,288.46,887.94,1157.11,448.52,137.15,268.8,486.7
Net profit,2403.24,2260.74,2557.46,251.26,606.55,-269.39,1216.53,-1528.04,430.08,1914.48
Dividend Amount,337.12,337.95,338.7,226.05,226.25,271.8,294.9,181.8,182,364.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4160.93,3883.03,3743.84,4145.52,4322.22,4430.08,4814.06,5038.56,5197.41,4960.79
Expenses,3791.1,3615.21,3511.52,3692.53,3789.55,3852.31,3957.77,4120.8,4159.47,3963.94
Other Income,34.08,15.84,5.56,14.94,17.96,37.27,22.83,40.4,29.37,29.25
Depreciation,203.43,327.19,192.83,203.47,220.4,263.99,234.66,247.85,257.2,457.1
Interest,33.4,41.47,42.78,54.88,84.09,92.55,85.67,80.64,74.01,71.29
Profit before tax,167.08,-85,2.27,209.58,246.14,258.5,558.79,629.67,736.1,497.71
Tax,-382,426.73,89.09,75.11,88.49,16.11,105.46,134.35,117.4,129.49
Net profit,545.52,-517.98,-89.08,129.73,153.47,235.96,452.26,489.67,613.12,359.43
Operating Profit,369.83,267.82,232.32,452.99,532.67,577.77,856.29,917.76,1037.94,996.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,89.9,90.12,90.32,90.42,90.5,90.6,90.74,90.9,91,91.14
Reserves,8784.16,11073.25,13407.25,13486.64,13651.73,12446.1,13712.4,12062.37,12373.5,14199.15
Borrowings,537.12,7177.52,7966.09,7142.8,8496.07,6305.32,5129.08,4158.38,4541.52,2921.77
Other Liabilities,3642.36,3957.29,4748.77,5299.99,5422.79,5967.52,4498.01,5339.84,5794.26,6785.12
Total,13053.54,22298.18,26212.43,26019.85,27661.09,24809.54,23430.23,21651.49,22800.28,23997.18
Net Block,4368.19,8716.96,11032.93,10361.99,11086.71,7938.11,7880.76,7381.62,8355.24,9055.16
Capital Work in Progress,575.97,2702.4,2133.06,2598.2,1639.71,939.62,1066.26,1146.28,1237.99,595.67
Investments,1658.4,16.35,2136.13,261.57,2295.49,2374.32,2454.88,900,516.9,1074.63
Other Assets,6450.98,10862.47,10910.31,12798.09,12639.18,13557.49,12028.33,12223.59,12690.15,13271.72
Total,13053.54,22298.18,26212.43,26019.85,27661.09,24809.54,23430.23,21651.49,22800.28,23997.18
Receivables,2656.57,4548.76,4307.34,5192.21,5149.8,5445.93,4474.32,4261.94,4480.7,4692.05
Inventory,2503.56,3273.65,3642.28,3662.49,3836.77,3456.87,4092.01,4630.73,4491.76,4953.9
Cash & Bank,481.35,821.75,698.17,1408.03,987.2,2454.3,1742.46,1098.13,1293.13,1202.54
No. of Equity Shares,449488335,450582969,451576869,452082850,452493697,452998121,453680133,454475014,454981335,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2733.05,-382.39,4113.51,1751.19,1665.97,1468.84,1821.76,367.31,1897.24,3648.36
Cash from Investing Activity,-1034.35,-6768.83,-2527.44,469.87,-3282.47,1106.99,-1239.58,1292.23,-1286.77,-1712.2
Cash from Financing Activity,-196.89,5836.38,433.18,-1492.09,744.13,-890.58,-1885.27,-1572.32,-337.25,-2184.21
