COMPANY NAME,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,252.95,,,,,,,,,
Market Capitalization,31223.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6050.87,6585.79,7189.06,7910.33,10429.06,11995.32,12381.94,11419.2,12827.9,15796.85
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,16.77,19.53,21.72,23.44,26.06,22.14,11.87,15.81,19.45,
Other Mfr. Exp,6,10.89,16.71,97.03,187.05,191.5,219.85,408.41,522.53,
Employee Cost,569.27,707.47,890.12,1142.09,1482.59,1615.5,1389.81,1617.31,2120.36,2261.44
Selling and admin,531.31,623.19,771.28,575.71,522.9,481.15,262.84,342.55,529.18,
Other Expenses,849.13,1098.2,1423.17,708.39,910.61,2592.61,4161.99,2963.24,1504.12,3942.76
Other Income,9.99,11.66,11.59,32.53,48.72,47.04,56.64,46.9,-8.24,229.58
Depreciation,45.51,45.7,53.72,55.21,75.53,146.87,150.51,151.99,225.96,274.85
Interest,2643,2868.35,3186.17,3436.19,4432.28,5390.56,5307.57,4417.37,5094.3,6959.2
Profit before tax,1399.87,1224.12,837.76,1904.8,2840.76,1602.03,934.14,1549.42,2803.76,2588.18
Tax,475,436.72,308.05,688.51,973.48,516.21,153.86,399.08,732.56,645.13
Net profit,912.91,772.29,511.64,1185.19,1827.3,1075.15,773.21,1136.87,2072.4,1932.69
Dividend Amount,225.66,225.84,135.61,245.8,399.68,,98.56,443.88,740.16,777.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2974.28,2865.08,2902.12,3010.95,3323.77,3462.69,3583.2,3833.25,4100.08,4280.32
Expenses,555.97,932.47,1511.72,1070.8,1040.62,1072.5,1504.33,1723.9,1456.38,1519.59
Other Income,21.94,38.45,23.53,-25.88,36.4,86.08,67.48,44.37,49.67,68.06
Depreciation,35.37,49.65,43.37,54.57,63.04,64.98,66.36,67.08,69.23,72.18
Interest,1070.72,1052.94,1052.12,1191.81,1372.97,1477.4,1597.19,1703.37,1797.76,1860.88
Profit before tax,1334.16,868.47,318.44,667.89,883.54,933.89,482.8,383.27,826.38,895.73
Tax,341.87,239.96,78.58,175.85,219.16,258.97,120.58,96.03,203.43,225.09
Net profit,987.03,623.78,239.26,490.38,661.43,681.33,358.69,281.09,622.56,670.35
Operating Profit,2418.31,1932.61,1390.4,1940.15,2283.15,2390.19,2078.87,2109.35,2643.7,2760.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,112.83,112.92,113.01,122.9,122.98,123.07,246.4,246.6,246.72,246.88
Reserves,5829.89,6356.48,6847.15,9732.11,11146.04,11845.94,15529.97,16649.71,18313.37,19686.37
Borrowings,29231.69,34043.69,40643.76,44986.15,58801.62,65634.24,65100.95,62125.63,81428.56,98319.13
Other Liabilities,3458.73,4493.76,5619.01,3888.98,4505.33,4189.33,4723.67,4786.71,5096.12,5463.41
Total,38633.14,45006.85,53222.93,58730.14,74575.97,81792.58,85600.99,83808.65,105084.77,123715.79
Net Block,118.86,129.05,133.39,146.66,201.45,455.36,399.04,515.28,870.6,1113.4
Capital Work in Progress,0.32,0.02,1.14,0.46,0.79,0.56,11.73,2.1,2.64,
Investments,654.17,1198.91,1373.92,2377.94,3327.35,5340.37,12126.33,8654.13,10063.13,9598.46
Other Assets,37859.79,43678.87,51714.48,56205.08,71046.38,75996.29,73063.89,74637.14,94148.4,113003.93
Total,38633.14,45006.85,53222.93,58730.14,74575.97,81792.58,85600.99,83808.65,105084.77,123715.79
Receivables,14.54,20,22.96,56.44,53.6,52.91,54.64,64.83,98.35,173.35
Inventory,,,,,,,,,,
Cash & Bank,493.64,605.94,603.88,477.9,994.04,1531.6,4037.19,4827.61,4066.91,3455.01
No. of Equity Shares,564140671,564601378,565041662,614476967,614876715,615347704,1231965618,1232955757,1233598471,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-3970.04,-4957.03,-6466.94,-8509.69,-12077.94,-3115.23,5825.89,18.07,-17395.32,-18448.55
Cash from Investing Activity,34.09,-439.86,-97.4,243.13,-1213.05,-2689.11,-8348.45,3111.6,-1635.3,2670.28
Cash from Financing Activity,3907.07,5430.53,6765.94,8173.71,13489.53,6049.72,2548.49,-3172.88,18851.97,16094.9
Net Cash Flow,-28.88,33.64,201.59,-92.85,198.54,245.38,25.93,-43.21,-178.65,316.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
