COMPANY NAME,MAHINDRA & MAHINDRA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,2212.55,,,,,,,,,
Market Capitalization,275168.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,74000.93,71448,75841.42,83773.05,92093.95,104720.68,75381.93,74277.78,90170.57,121268.55
Raw Material Cost,45131.56,42575.56,45584.35,50655.2,53457.29,61881.19,37595.3,38271.2,52664.85,76019.87
Change in Inventory,238.97,-274.13,458.51,13.83,-83.33,1730.48,-826.62,-135.59,861.66,2032.31
Power and Fuel,923.38,786.96,639.97,657.06,733.9,817.11,530.92,429.56,541.27,830.48
Other Mfr. Exp,2586.08,2553.39,2618.7,3255.3,3590.26,4253,3277.79,2523.4,3124.27,3838.42
Employee Cost,6885.94,7202.49,7689.4,8910.63,10004.62,11242.08,8214.82,7813.26,8386.74,9677.95
Selling and admin,6000.42,5990.62,5758.86,6253.64,7591.15,9658.98,6316.52,4628.75,5977.67,7681.87
Other Expenses,2542.03,3271.56,3926.21,3320.22,3407.3,3392.29,8462.21,8989,5654.58,4966.98
Other Income,772.61,799.93,1398.83,2076.61,4366.41,2676.45,884.69,1151.51,3204.47,3961.45
Depreciation,2169.57,2123.83,2441.65,2812.72,3279.9,3990.77,3366.68,3378.11,3507.5,4356.81
Interest,2953.93,3156.69,3367.59,3648.46,3987.09,5021.35,6021.15,6102.22,5018.05,5829.7
Profit before tax,5819.6,4312.7,5672.03,6350.26,10325.52,8870.84,1654.61,3158.2,9361.77,14060.23
Tax,1496.22,1720.02,2117.53,2299.73,2367.73,2853.99,1975.61,1645.81,2108.76,2685.75
Net profit,4666.93,3137.47,3148.43,3698.04,7510.39,5315.46,127.04,1812.49,6577.32,10281.5
Dividend Amount,826.45,709.68,648.96,807.43,814.7,924.73,260.51,971.51,1284.5,1809.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,21469.8,23594.46,25934.4,28414.27,29870.38,30621.28,32455.65,33891.63,34435.52,35299.39
Expenses,16578.3,19068.27,21656.71,24015.65,24802.13,25367.56,26797.92,27642.4,28705.94,29075.41
Other Income,689.89,814.76,1135.18,674.7,1348.27,1183.71,661.74,1065,811.95,755.69
Depreciation,851.66,919.07,935.1,960.48,1091.77,1110.16,1194.4,1127.5,1138.64,1122.59
Interest,1284.65,1211.15,1222.12,1218.88,1381.7,1595.56,1633.56,1718.84,1835.19,1944.88
Profit before tax,3445.08,3210.73,3255.65,2893.96,3943.05,3731.71,3491.51,4467.89,3567.7,3912.2
Tax,953.7,725.49,647.52,533.26,921.67,737.68,493.14,784.02,1083.73,935.16
Net profit,1928.64,1987.44,2237.36,2195.54,2772.73,2676.56,2636.67,3508.41,2347.75,2658.4
Operating Profit,4891.5,4526.19,4277.69,4398.62,5068.25,5253.72,5657.73,6249.23,5729.58,6223.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,295.16,295.7,270.4,310.55,543.13,543.96,554.28,555.15,556.06,556.82
Reserves,23011.7,25560.68,26222.25,29467.1,36232.06,39439.45,39415.03,41026.77,46566.58,55808.97
Borrowings,35166.79,37911.46,41552.93,48761.91,55897.92,70848.3,82092.28,80624.83,77605.21,92246.85
Other Liabilities,29414.94,30608.37,31806.24,35295.92,43696.2,51056.95,43654.54,42761.58,47660.64,55670.49
Total,87888.59,94376.21,99851.82,113835.48,136369.31,161888.66,165716.13,164968.33,172388.49,204283.13
Net Block,18380.96,19046.74,20584.71,20989.01,26181.9,28982.74,29689.27,21379.68,26018.49,27139.98
Capital Work in Progress,2191.05,3032.14,2371.35,4278.94,4269.47,4759.84,6856.48,7872.61,6702.81,3968.58
Investments,8082.35,10027.14,11602.58,14662.44,16017.61,18268.1,19210.34,28777.66,30060.43,35272.42
Other Assets,59234.23,62270.19,65293.18,73905.09,89900.33,109877.98,109960.04,106938.38,109606.76,137902.15
Total,87888.59,94376.21,99851.82,113835.48,136369.31,161888.66,165716.13,164968.33,172388.49,204283.13
Receivables,5725.42,5476.16,5817.6,7199.26,8489.82,8677.89,6928.28,6007.76,6373.95,7028.02
Inventory,8353.54,8453.39,9116.12,8886.01,9335.57,12200.16,11111.86,9615.41,11595.82,16854.97
Cash & Bank,6522.79,4911.83,4527.55,4654.03,6547.6,8734.91,7910.9,12851.99,11117.61,11273.43
No. of Equity Shares,615892400,591392278,592633807,621092384,1243192544,1243192544,1243192544,1110297953,1112130815,1198118224
New Bonus Shares,,,,,621596272,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
