COMPANY NAME,MAS FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,292.45,,,,,,,,,
Market Capitalization,4818.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,238.19,309.4,364.7,476.78,604.58,709.75,627.42,690.47,989.18,1279.16
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.56,0.5,0.57,0.63,0.74,0.79,0.6,0.76,1.05,
Other Mfr. Exp,0.79,4.56,1.07,6.67,1.48,1.73,0.74,1.67,1.81,
Employee Cost,17.19,24.47,29.46,42.35,52.12,58.79,35.15,47.91,70.84,100.45
Selling and admin,20.36,24.96,29.3,21.66,25.63,25.68,18.43,39.8,83.84,
Other Expenses,23.48,27.76,31.58,47.13,58.11,87.75,87.84,42.3,60.85,194.56
Other Income,0.01,-0.06,-0.01,-1.82,-1.89,-3.2,0.29,0.7,1.08,6.52
Depreciation,1.05,1.09,1.38,1.64,1.6,2.85,2.57,2.07,2.72,4.29
Interest,113.09,142.25,165.34,187.11,225,298.68,286.41,340.11,497.5,646.71
Profit before tax,61.68,83.75,105.99,167.77,238.01,230.28,195.97,216.55,271.65,339.67
Tax,20.88,28.99,36.67,62.58,83.4,62.19,50.45,55.35,65.83,85.66
Net profit,39.98,54.2,68.53,105.19,153.54,167.39,144.36,159.23,203.26,251.05
Dividend Amount,7.6,10.72,13.42,20.01,27.88,43.73,8.2,16.4,19.95,57.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,179.98,192.07,204.86,240.8,261.25,278.5,292,310.37,334.86,345.75
Expenses,37.01,35.07,45.26,56.04,58.78,57.37,65.24,75.69,76.48,81.42
Other Income,0.31,0.23,0.24,0.09,0.76,1.34,0.39,2.52,2.17,1.44
Depreciation,0.48,0.53,0.58,0.68,0.7,0.76,0.86,1.06,1.17,1.2
Interest,87.61,95.1,97.32,115.92,133.16,149.62,149.75,153.63,172.44,170.89
Profit before tax,55.19,61.6,61.94,68.25,69.37,72.09,76.54,82.51,86.94,93.68
Tax,14.14,15.44,16.01,17.06,17.49,15.27,18.98,20.57,22.53,23.58
Net profit,40.63,45.56,45.5,50.18,51.31,56.26,56.92,61.17,63.6,69.36
Operating Profit,142.97,157,159.6,184.76,202.47,221.13,226.76,234.68,258.38,264.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,16,16,42.96,54.66,54.66,54.66,54.66,54.66,54.66,163.99
Reserves,87.95,121.99,241.26,724.53,860.89,932.42,1125.22,1295.25,1463.99,1618.72
Borrowings,1080.87,1358.31,1263.62,1454.67,2273.09,2795.89,3512.75,4439.22,6127.53,7425.85
Other Liabilities,386.87,450.44,652.25,664.51,801.18,1036.8,737,519.43,367.58,338.78
Total,1571.69,1946.74,2200.09,2898.37,3989.82,4819.77,5429.63,6308.56,8013.76,9547.34
Net Block,4.48,8.17,8.74,57.78,12.52,14.62,12.08,13.76,16.87,25.67
Capital Work in Progress,0.1,,,,45.64,48.21,50.03,52.08,57.99,69.8
Investments,0.35,0.27,0.01,0.09,,5,201.58,493.21,791.04,726.16
Other Assets,1566.76,1938.3,2191.34,2840.5,3931.66,4751.94,5165.94,5749.51,7147.86,8725.71
Total,1571.69,1946.74,2200.09,2898.37,3989.82,4819.77,5429.63,6308.56,8013.76,9547.34
Receivables,,,,,,,2.23,1.05,4.3,6.54
Inventory,,,,,,,,,,
Cash & Bank,217.67,181.7,47.37,59.63,409.81,1047.78,1019.31,870.66,803.96,878.5
No. of Equity Shares,16000125,16000125,42956182,54662043,54662043,54662043,54662043,54662043,54662043,
New Bonus Shares,,,24000188,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-266.9,-280.58,-164.27,-385.98,-468,196.39,-578.11,-805.28,-1487.95,-1366.05
Cash from Investing Activity,-1.77,-3.07,-3.8,-48.86,13.85,3.99,-199.39,-819.88,-242.04,50.08
Cash from Financing Activity,303.15,251.46,33.8,437.69,801.77,447.99,718.75,922.69,1684.02,1289.97
Net Cash Flow,34.47,-32.19,-134.27,2.85,347.62,648.37,-58.74,-702.47,-45.97,-26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,197.68,187.75,174.77,284.37,178.72,267.17,284.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.8,4.8,12.89,16.4,16.4,16.4,16.4,16.4,16.4,16.4
