COMPANY NAME,MMTC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,68.9,,,,,,,,,
Market Capitalization,10335,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,28142.25,23930.79,12606.83,11825.38,16450.38,29439.1,26303.89,29999.54,11795.21,3527.38
Raw Material Cost,25116.59,22649.04,11693.88,13022.34,14602.76,26606.3,25237.97,28423.68,10651.57,3379.91
Change in Inventory,-577.35,34.1,97.75,1967.93,-652.6,-1452.79,-44.09,-161.82,-11.75,-23.38
Power and Fuel,2.51,2.76,3.92,3.86,3.42,3.29,3.14,2.34,2.5,2.69
Other Mfr. Exp,1229.36,629.05,260.04,152.68,128.44,179.6,286.95,213.94,146.08,95.7
Employee Cost,199.68,202.1,205.58,199.93,262.82,224.56,199.32,140.21,119.32,109.2
Selling and admin,848.25,421.81,595.17,432.58,772.23,764.92,582.58,1092.86,402.8,19.56
Other Expenses,27.42,59.9,7.52,93.97,5.6,24.48,82.04,9.94,4.26,3.95
Other Income,30.57,167.97,4.79,136.12,48.61,36.09,-8.07,-858.72,-125.82,2000.33
Depreciation,17.32,23.73,6.01,6.8,5.36,5.69,6.5,5.69,5.31,5.29
Interest,87.14,39.52,31.14,22.83,18.02,67.68,144.07,202.69,224.72,121.92
Profit before tax,67.2,104.95,-93.89,-5.56,47.74,145.88,-290.84,-1112.35,101.08,1766.11
Tax,7.69,27.22,2.79,24.2,10.22,37.16,0.91,-323.07,359.3,203.84
Net profit,-18.16,-42.48,-96.68,-29.76,37.52,108.72,-291.75,-789.28,-258.22,1562.27
Dividend Amount,15,25,30,30,30,45,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2316.28,2320.63,2255.59,1511.34,545.48,763.16,708.2,214.47,-210.5,0.73
Expenses,2346.35,2340.01,1743.07,1531.86,581.36,797.07,729.39,277.48,-180.14,37.1
Other Income,-128.84,0.21,27.27,11.89,1896.09,51.5,44.23,83.12,85.77,95.42
Depreciation,1.27,1.35,1.38,1.29,1.29,1.31,1.4,1.19,0.83,0.98
Interest,50.22,53.17,57.26,111.59,9.7,-7.29,6.82,0.47,1.07,-0.98
Profit before tax,-210.4,-73.69,481.15,-121.51,1849.22,23.57,14.82,18.45,53.51,59.05
Tax,0.29,0.21,362.77,0.33,272.51,-73.98,4.97,3.79,1.47,3.34
Net profit,-210.69,-73.9,118.38,-121.84,1576.71,97.55,9.85,14.66,52.04,55.71
Operating Profit,-30.07,-19.38,512.52,-20.52,-35.88,-33.91,-21.19,-63.01,-30.36,-36.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,100,100,100,100,100,150,150,150,150,150
Reserves,1350.18,1264.31,1168.32,1100.74,1102.7,1118.73,733.47,-50.26,-298.09,1261.76
Borrowings,557.92,436.45,272.85,440.18,519.26,961.49,3849.54,2421.81,2625.92,202.54
Other Liabilities,3049.54,4499.4,2117.36,4206.87,3450.49,2149.6,1677.24,2952.31,2305.56,2063.61
Total,5057.64,6300.16,3658.53,5847.79,5172.45,4379.82,6410.25,5473.86,4783.39,3677.91
Net Block,146.1,122,57.37,56.97,52.5,49.14,48.7,42.19,38.27,33.57
Capital Work in Progress,141.86,153.46,0.75,0.04,,0.28,,,,
Investments,432.15,275.45,214.05,246.8,128.44,146.57,79.89,82.1,102.45,127.36
Other Assets,4337.53,5749.25,3386.36,5543.98,4991.51,4183.83,6281.66,5349.57,4642.67,3516.98
Total,5057.64,6300.16,3658.53,5847.79,5172.45,4379.82,6410.25,5473.86,4783.39,3677.91
Receivables,1742.49,3043.64,822.63,508.74,355.41,427.49,2046.99,834.11,401.65,404.56
Inventory,316.84,333.82,401.52,2366.84,1711.08,279.91,217.71,45.65,29.8,1.15
Cash & Bank,645.88,418.15,181.61,527.42,143.7,134.34,226.85,253.65,201.89,1345.97
No. of Equity Shares,1000000000,1000000000,1000000000,1000000000,1000000000,1500000000,1500000000,1500000000,1500000000,1500000000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,71.44,-177.69,-53.5,272.9,-455.14,-366.58,-2588.31,1703.54,-0.33,753.81
Cash from Investing Activity,127.34,84.95,86.52,-67.58,116.9,8.7,-58.12,10.59,2.9,1959.09
Cash from Financing Activity,-1217.45,-178.11,-118.53,109.82,26.35,339.36,2688.52,-1633.78,-5.13,-2546.63
Net Cash Flow,-1018.67,-270.85,-85.51,315.14,-311.89,-18.52,42.09,80.35,-2.56,166.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
