COMPANY NAME,MAHANAGAR GAS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1329.75,,,,,,,,,
Market Capitalization,13132.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1885.15,2094.92,2078.3,2033.97,2233.01,2791.07,2972.13,2152.53,3560.19,6299.28
Raw Material Cost,1144.44,1295.81,1232.03,1020.01,1030.86,1402.06,1383.21,748.86,2058.96,4454.93
Change in Inventory,0.11,0.09,-0.07,-0.04,0.05,0.1,-0.05,-0.1,0.38,0.79
Power and Fuel,87.33,99.24,104.44,103.97,104.91,116.22,117.01,72.95,121.8,148.18
Other Mfr. Exp,34.17,44.93,58.28,69.68,83.92,93.01,94.1,86.88,107.73,119.5
Employee Cost,59.79,69.14,75.11,80.87,87.25,91.87,102.64,102.28,108.41,137.09
Selling and admin,17.91,26.13,25.02,26.81,29.77,33.83,25.07,40.35,22.37,33.74
Other Expenses,53.35,70.05,74.07,88.44,116.24,168.73,197.21,167.15,216.98,222.44
Other Income,34.44,40.7,47.18,52.66,57.68,77.71,98.95,80.51,85.74,111.88
Depreciation,80.72,79.91,82.61,95.13,111.18,125.93,161.73,173.67,196.27,231.14
Interest,0.21,1.21,2.22,1.02,0.09,0.32,6.53,7.19,7.53,9.39
Profit before tax,441.78,449.29,471.63,600.66,726.52,836.91,983.53,833.61,806.26,1055.54
Tax,144.53,148.29,160.74,207.23,248.64,290.53,190.03,214.03,209.31,265.49
Net profit,297.25,301,310.89,393.43,477.87,546.39,793.51,619.58,596.95,790.05
Dividend Amount,156.34,156.34,156.34,187.68,187.68,197.56,345.73,227.19,246.95,158.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,830.14,1027.8,1086.77,1454.75,1562.66,1671.39,1610.48,1537.79,1570.93,1568.76
Expenses,528.38,924.7,871.3,1169.2,1309.82,1415.29,1220.78,1016.52,1092.05,1120.07
Other Income,22.59,21.83,22.7,20.01,25.98,32.25,33.64,38.95,43.71,48.07
Depreciation,47.28,48.21,55.51,53.68,55.1,58.53,63.83,62.04,65.79,68.29
Interest,2.02,1.54,2.27,2.29,2.47,2.42,2.21,2.51,2.47,2.72
Profit before tax,275.05,75.18,180.39,249.59,221.25,227.4,357.3,495.67,454.33,425.75
Tax,70.76,18.39,48.59,64.39,57.28,55.33,88.49,127.27,115.83,108.57
Net profit,204.29,56.79,131.8,185.2,163.97,172.07,268.81,368.4,338.5,317.18
Operating Profit,301.76,103.1,215.47,285.55,252.84,256.1,389.7,521.27,478.88,448.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,89.34,89.34,89.34,98.78,98.78,98.78,98.78,98.78,98.78,98.78
Reserves,1207.62,1318.12,1639.09,1741.26,1996.57,2300.09,2853.89,3133.59,3498.53,4035.44
Borrowings,7.98,15.59,4.98,2.7,1.2,,66.61,74.1,102.98,114.61
Other Liabilities,664.45,742.54,637.07,781.51,913.69,1042.15,1108.74,1294.67,1533.51,1783.48
Total,1969.39,2165.59,2370.48,2624.25,3010.24,3441.02,4128.02,4601.14,5233.8,6032.31
Net Block,991.49,1064.01,1128.75,1304.75,1531.95,1763.41,2049.19,2169.32,2613.73,3025.7
Capital Work in Progress,345.44,379.62,428.87,411.53,356.62,369.69,486.53,560.32,615.94,708.62
Investments,342.07,371.47,393.4,466.67,687.68,654.02,1121.47,1024.98,1088.28,1309.82
Other Assets,290.39,350.49,419.46,441.3,433.99,653.9,470.83,846.52,915.85,988.17
Total,1969.39,2165.59,2370.48,2624.25,3010.24,3441.02,4128.02,4601.14,5233.8,6032.31
Receivables,109.26,96.23,92.33,94.54,88.47,99.53,68.43,127.52,184.04,294.03
Inventory,15.87,17.36,18.03,23.76,24,19.12,18.57,22.16,27.49,33.84
Cash & Bank,88.81,144.92,175.03,136.11,91.88,298.84,229.47,511.86,465.17,227.87
No. of Equity Shares,89342000,89342000,89341600,98777778,98777778,98777778,98777778,98777778,98777778,98777778
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,397.64,426.71,419.04,532.27,652.13,684.64,985.24,805.53,903.67,969.3
Cash from Investing Activity,-199.86,-260.72,-222.21,-263.31,-418.66,-438.56,-754.84,-443.91,-539.05,-649.09
Cash from Financing Activity,-185.16,-176.08,-191.43,-283.76,-225.84,-234.56,-241.55,-348.8,-310.34,-284.79
Net Cash Flow,12.62,-10.09,5.4,-14.8,7.63,11.52,-11.16,12.81,54.28,35.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
