COMPANY NAME,MAITHAN ALLOYS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1165.85,,,,,,,,,
Market Capitalization,3388.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,957.14,1103.49,1146.35,1336.59,1873.46,1979.07,1816.26,1615.32,2988.56,2882.72
Raw Material Cost,555.24,588.89,584.89,646.03,966.73,1122.21,1057.94,843.24,1211,1335.83
Change in Inventory,5.11,2.16,-11.76,18.48,-2.86,-4.03,-8.85,2.53,60.25,-32.03
Power and Fuel,278.61,309.31,314.55,278.35,364.65,372.05,361.31,331.98,375.36,525.39
Other Mfr. Exp,23.44,27.51,23.06,31.75,30.64,34.24,32.57,27,41.03,62.21
Employee Cost,13.83,20.79,23,33.42,45.34,44.25,42.5,40.73,84.53,65.92
Selling and admin,32.72,35.94,49.34,78.87,73.32,69.87,74.39,63.51,249.83,250.24
Other Expenses,5.12,9.04,8.22,13.61,5.58,7.78,3.9,17.07,11.87,21.7
Other Income,2.91,0.72,4.02,8.5,14.91,26.09,66.16,23.95,27.43,72.39
Depreciation,22.8,26.94,23.29,25.32,15.44,15.63,15.81,15.62,16.91,20.21
Interest,21,21.54,16.53,12.35,7.82,8.22,5.89,3.19,3.44,4.78
Profit before tax,12.4,66.41,95.73,243.87,375.99,326.88,279.26,299.46,1082.27,636.8
Tax,1.09,13.78,16.94,64.26,84.18,71.66,57.24,69.43,264.23,137.81
Net profit,11.39,52.62,78.85,179.69,291.81,255.23,222.03,230.84,818.06,499.07
Dividend Amount,2.91,2.91,5.82,7.28,8.73,17.47,17.47,17.47,17.47,17.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,666.36,923.32,837.14,975.44,689.55,685.23,534.73,403.66,443.65,448.06
Expenses,444.75,528.84,526.14,630.76,584.01,639.17,444.77,363.05,411.16,413.28
Other Income,6.65,4.55,10.59,-59.71,39.02,51.04,42.66,44.41,59.56,79.16
Depreciation,3.96,4.31,4.78,5.04,5.11,5,5.06,5.2,5.29,5.25
Interest,0.19,0.38,0.18,0.23,0.29,0.34,1.38,0.17,0.13,0.22
Profit before tax,224.11,394.34,316.63,279.7,139.16,91.76,126.18,79.65,86.63,108.47
Tax,60.17,94.24,74.7,60.74,29.98,18.99,28.1,20.01,24.62,23.17
Net profit,163.94,300.11,241.94,218.95,109.2,72.78,98.14,59.6,61.94,85.34
Operating Profit,221.61,394.48,311,344.68,105.54,46.06,89.96,40.61,32.49,34.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.56,14.56,29.11,29.11,29.11,29.11,29.11,29.11,29.11,29.11
Reserves,262.34,307.95,363.95,556.03,838.71,1083.43,1263.11,1492.49,2293.95,2775.14
Borrowings,257.68,213.62,139.37,80.84,44.74,7.09,10.41,48.69,5.2,11.81
Other Liabilities,253.87,246.39,266.49,235.96,302.69,399.26,213.3,327.59,422.48,323.9
Total,788.45,782.52,798.92,901.94,1215.25,1518.89,1515.93,1897.88,2750.74,3139.96
Net Block,293.42,280.27,267.26,242.02,237.72,229.21,216.86,202.95,275.77,266.75
Capital Work in Progress,4.98,0.8,,,,,1.1,,0.33,2.5
Investments,38.43,35.73,35.73,69.71,342.6,627.98,5.82,795.29,823.86,870.25
Other Assets,451.62,465.72,495.93,590.21,634.93,661.7,1292.15,899.64,1650.78,2000.46
Total,788.45,782.52,798.92,901.94,1215.25,1518.89,1515.93,1897.88,2750.74,3139.96
Receivables,141.33,204.25,198.69,225.21,243.73,256.66,280.59,436.27,688.86,423.2
Inventory,206.47,175.25,151.04,186.57,248.19,260.94,276.93,348.51,676.1,303.64
Cash & Bank,37.23,27.44,54.16,90.65,57.4,45.41,638.74,27.45,102.39,1128.56
No. of Equity Shares,14563375,14563400,29111550,29111550,29111550,29111550,29111550,29111550,29111550,29111550
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-3.69,57.64,136.04,125.81,284.33,314.73,-44.95,116.89,236.59,968.11
Cash from Investing Activity,-21.6,-4.49,-11.07,-11.22,-280.26,-275.63,696.2,-760.75,-104.68,-961.88
Cash from Financing Activity,25.8,-64.56,-100.78,-73.89,-48.54,-54.11,-42.51,37.08,-62.1,-5.1
Net Cash Flow,0.51,-11.41,24.2,40.7,-44.47,-15.01,608.74,-606.78,69.81,1.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,32.23,100.85,114.95,420.7,786.45,505.1,351.8,537.5,1327.65,800
,,,,,,,,,,
DERIVED:,,,,,,,,,,
