COMPANY NAME,MANAPPURAM FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,165.8,,,,,,,,,
Market Capitalization,14026.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2100.46,1988.05,2368.51,3405.53,3420.76,4179.51,5465.32,6330.55,6061.02,6684.04
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,15.13,16.03,17.97,19.14,21.29,23.18,26.22,23.23,22.05,28.35
Other Mfr. Exp,5.35,7.94,13.11,15.31,29.06,45.89,68.42,45.97,56.87,62.73
Employee Cost,323.55,314.54,430.09,502.58,627.08,721.7,831.55,845.1,1128.24,1472.56
Selling and admin,279.65,276.86,308.31,345.22,445.59,488.04,330.53,264.96,356.12,353.99
Other Expenses,54.63,33.13,50.21,129.08,220.56,86.45,290.76,489.43,570.17,399.72
Other Income,11.37,5.38,2.73,3.38,58.43,62.52,85.87,44.08,65.3,65.91
Depreciation,63.9,54.02,55.78,63.15,68.26,75.23,164.18,170.95,197.98,203.76
Interest,1026.6,877.23,947.39,1168.71,1030.45,1344.94,1832.23,2218.95,2011.37,2187.79
Profit before tax,343.02,413.68,548.38,1165.72,1036.9,1456.6,2007.3,2316.04,1783.52,2041.05
Tax,117.04,142.2,193.22,407.23,360.92,508.04,526.99,591.09,454.82,540.88
Net profit,225.98,271.32,353.37,755.85,677.19,940.46,1467.76,1724.26,1328.44,1495.98
Dividend Amount,151.42,113.56,189.27,126.28,168.51,181.2,232.38,169.27,253.92,253.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1531.92,1484.45,1481.35,1501.98,1696.26,1715.16,1771.68,2026.26,2157.09,2305.28
Expenses,525.61,571.95,584.4,568.26,587.19,575.13,586.79,671.47,675.38,729.1
Other Income,22.5,22.4,9.96,0.75,17.86,19.36,26.91,30.91,16.93,21.4
Depreciation,41.41,55.65,58.14,49.08,45.83,52.72,56.12,56.46,62.5,62.45
Interest,492.37,531.07,494.83,504.6,528.37,565.7,589.12,648.4,689.44,748.7
Profit before tax,495.03,348.18,353.94,380.79,552.73,540.97,566.56,680.84,746.7,786.43
Tax,125.15,87.17,92.98,98.87,143.25,147.48,151.27,182.82,186.05,211.12
Net profit,369.8,261,261.1,282.08,408.35,392.17,413.37,495.89,558.37,572.87
Operating Profit,1006.31,912.5,896.95,933.72,1109.07,1140.03,1184.89,1354.79,1481.71,1576.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,168.24,168.24,168.24,168.38,168.51,168.56,169,169.27,169.28,169.28
Reserves,2323.5,2464.56,2589.8,3193.42,3644.73,4378.04,5577.1,7138.16,8199.07,9475.61
Borrowings,7795.42,8631.97,9637.93,10986.13,12607.05,15297.24,23022.17,23327.15,24816.46,29166.67
Other Liabilities,551.31,351.51,443.19,804.43,609.32,601.84,766.82,703.21,623,692.57
Total,10838.47,11616.28,12839.16,15152.36,17029.61,20445.68,29535.09,31337.79,33807.81,39504.13
Net Block,202.13,205.54,230.33,221.89,310,366.59,802.64,926.05,1052.01,1093.72
Capital Work in Progress,4.52,1.1,,0.63,0.15,0.89,3.46,7.51,13.03,16.68
Investments,795.61,216.87,49.06,5.05,4.93,173.76,90.48,338.01,420.7,534.01
Other Assets,9836.21,11192.77,12559.77,14924.79,16714.53,19904.44,28638.51,30066.22,32322.07,37859.72
Total,10838.47,11616.28,12839.16,15152.36,17029.61,20445.68,29535.09,31337.79,33807.81,39504.13
Receivables,,,,,1.09,2.71,2.48,2.57,,
Inventory,,,,,,,,,,
Cash & Bank,844.47,792.11,604.48,555.43,724.13,1164.2,3666.78,2912.42,2697.35,3035.1
No. of Equity Shares,841207140,841207136,841207136,841899636,842535762,842809857,844993125,846364729,846394729,846394729
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2924.01,-887.76,-1041.95,-1270.69,-33.17,-1661.43,-3619.69,-619.35,-423.08,-3103.24
Cash from Investing Activity,2.33,648.69,71.79,-24.9,-148.06,-370.67,25.97,-186.48,-192.62,-616.16
Cash from Financing Activity,-2922.75,264.85,772.42,1211.33,292.91,2388.2,6048.86,58.52,438.25,3849.11
Net Cash Flow,3.59,25.78,-197.74,-84.27,111.69,356.1,2455.14,-747.31,-177.44,129.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,21.5,32.45,35,98.15,109.05,125.3,94.75,149.2,113.55,123.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
