COMPANY NAME,MARICO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,581.35,,,,,,,,,
Market Capitalization,75219.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5732.98,6017.32,5917.79,6322,7334,7315,8048,9512,9764,9653
Raw Material Cost,2721.83,3010.45,2430.11,3129,3627,3072,3756,4992,4579,4693
Change in Inventory,109.53,-60.1,56.67,220,123,-140,-47,116,-161,-55
Power and Fuel,31.7,31.06,29.32,34,37,36,27,32,35,
Other Mfr. Exp,765.4,262.14,725.24,729,825,850,772,880,928,
Employee Cost,326.43,374.71,406,422,466,478,570,586,653,743
Selling and admin,1085.46,1119.56,1158.93,1556,1701,1931,1960,2364,2715,952
Other Expenses,41.64,107.92,65.59,-465,-524,-661,-673,-907,-1117,1184
Other Income,58.89,92.8,96.31,85,103,95,107,98,144,142
Depreciation,84.34,94.86,90.3,89,131,140,139,139,155,158
Interest,22.95,20.62,16.58,16,40,50,34,39,56,73
Profit before tax,821.65,1028.7,1148.7,1117,1257,1374,1523,1601,1743,1937
Tax,236.77,305.37,337.73,290,126,331,324,346,421,435
Net profit,573.45,711.48,798.59,814,1114,1021,1172,1225,1302,1481
Dividend Amount,161.25,548.34,451.68,548.25,612.75,870.75,967.5,1193.25,580.5,1225.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2407,2161,2558,2496,2470,2240,2477,2476,2422,2278
Expenses,1976,1815,2030,2063,2014,1847,1903,1979,1909,1836
Other Income,22,24,17,19,40,68,46,38,43,15
Depreciation,36,37,36,37,39,43,36,39,42,41
Interest,10,11,10,15,14,17,17,20,19,17
Profit before tax,407,322,499,400,443,401,567,476,495,399
Tax,90,65,122,93,110,96,131,116,109,79
Net profit,310,251,371,301,328,302,427,353,383,318
Operating Profit,431,346,528,433,456,393,574,497,513,442
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,64.5,129.02,129.05,129,129,129,129,129,129,129
Reserves,1760.28,1888.35,2196.63,2414,2846,2894,3111,3219,3670,3703
Borrowings,427.92,331.32,238.8,312,352,338,511,479,608,528
Other Liabilities,872.58,1009.64,1058.73,1217,1569,1603,1675,1850,2393,3061
Total,3125.28,3358.33,3623.21,4072,4896,4964,5426,5677,6800,7421
Net Block,1075.92,1050.43,1084.7,1110,1300,1396,1612,1760,2246,2724
Capital Work in Progress,3.03,36.73,11.16,27,45,58,24,39,67,44
Investments,283.8,543.86,608.21,543,450,733,854,828,1096,602
Other Assets,1762.53,1727.31,1919.14,2392,3101,2777,2936,3050,3391,4051
Total,3125.28,3358.33,3623.21,4072,4896,4964,5426,5677,6800,7421
Receivables,176.75,252.09,246.99,340,517,539,388,652,1015,1069
Inventory,994.71,925.56,1253.44,1511,1411,1380,1126,1412,1225,1336
Cash & Bank,204.94,317.14,235.96,201,552,279,944,579,756,943
No. of Equity Shares,644981999,1290171198,1290471198,1290864398,1290864398,1291018088,1291018088,1291018088,1291018088,
New Bonus Shares,,645085599,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,664.84,817.62,648.73,516,1062,1214,2007,1016,1419,1436
Cash from Investing Activity,-186.15,-202.53,-125.29,59,-367,-22,-933,441,-928,176
Cash from Financing Activity,-625.47,-600.99,-573.95,-567,-698,-1147,-1058,-1290,-560,-1542
Net Cash Flow,-146.78,14.1,-50.51,8,-3,45,16,167,-69,70
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,192.88,244.3,294.85,326.05,346.65,274.85,411.3,503.7,479.8,497.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,129,129.02,129.05,129.09,129.09,129.1,129.14,129.28,129.31,129.41
