COMPANY NAME,MARUTI SUZUKI INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,12530.35,,,,,,,,,
Market Capitalization,394026.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,50801.4,57589,68085,79809.4,86068.5,75660,70372,88329.8,117571.3,141858.2
Raw Material Cost,36075.6,38701.2,47121.5,54945.3,59346.6,53402,50550.5,66137.1,86654.7,100119.5
Change in Inventory,460.9,-4.8,379.3,-40.8,-211.6,238.7,-273.6,93.1,403.9,378.6
Power and Fuel,713.8,694.1,518.6,673.4,863.3,699.5,476.6,630.9,790,
Other Mfr. Exp,304.4,427.8,382.9,462.1,475.7,378.1,683.3,852.5,1120.7,
Employee Cost,1671,2000.3,2360.3,2863.4,3285,3416.2,3431.6,4051.4,4634.6,6301.6
Selling and admin,4318,5367.3,6111.3,6755.3,8390.3,8456.3,7924,9119.1,11695,
Other Expenses,1287.1,1369.4,1548.4,1951.2,2439.7,2191.6,1621.8,1879.9,2051,17289.4
Other Income,816.7,1464.1,2399.2,2154.6,2664.2,3410.4,3046.3,1860.8,2306.6,4347.6
Depreciation,2515.3,2821.8,2603.9,2759.8,3020.8,3528.4,3034.1,2789,2825.7,5255.8
Interest,217.8,81.7,89.4,345.8,75.9,134.2,101.8,126.6,187,193.6
Profit before tax,4976,7584.7,10127.2,11166.9,10623.8,7102.8,5321,4697.2,10323.1,17424.5
Tax,1185.4,2087.5,2616.2,3286.2,2973.2,1425.2,931.9,817.7,2112.1,3936.3
Net profit,3807.4,5497.2,7509.9,7880,7649.1,5676,4389.1,3879.5,8211,13488.2
Dividend Amount,755,1057,2265,2416,2416,1812,1359,1812,2718,3930
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,23253.3,26749.2,26511.7,29942.5,29251.1,32213.5,32338.5,37339.3,33512.8,38471.2
Expenses,21691.1,24320.2,24596.8,27171.6,25878,28319.8,29353.4,32021.6,29072.8,33250.1
Other Income,355.4,514.3,111.8,661.7,892.9,850.4,1040.6,951.5,1052.9,1261
Depreciation,640.6,647.8,652,723.3,1209.3,1239.9,747.8,1341.9,1301.5,1298.3
Interest,25.3,56.2,27.5,30.7,29.6,163.5,46.5,35.1,35.8,76.2
Profit before tax,1251.7,2239.3,1347.2,2678.6,3027.1,3340.7,3231.4,4892.2,4155.6,5107.6
Tax,209.9,363.5,311,566.1,621,653,706.2,1106.2,948.8,1155.3
Net profit,1041.8,1875.8,1036.2,2112.5,2406.1,2687.7,2525.2,3786,3206.8,3952.3
Operating Profit,1562.2,2429,1914.9,2770.9,3373.1,3893.7,2985.1,5317.7,4440,5221.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,151,151,151,151,151,151,151,151,151,157.2
Reserves,24167.4,30465,36924.1,42408.4,46941.1,49262,52349.6,55182.5,61640.3,85478.8
Borrowings,666.2,230.9,483.6,120.8,159.6,184.1,540.9,425.5,1247.3,118.6
Other Liabilities,9492.3,11878.6,14401.8,17568.2,16717,14030.6,18334.6,18896.5,21558.3,29598.4
Total,34476.9,42725.5,51960.5,60248.4,63968.7,63627.7,71376.1,74655.5,84596.9,115353
Net Block,12489.5,12529.6,13310.7,13388.8,15437.3,15744.4,14988.7,13747.2,17830.4,28095.3
Capital Work in Progress,1890.1,1006.9,1252.3,2132.1,1606.9,1415.2,1496.8,2936.5,2904.1,7504.3
Investments,13297.7,20675.8,29150.6,36123.1,37503.6,37488,42944.8,42034.7,49184.3,57296
Other Assets,6799.6,8513.2,8246.9,8604.4,9420.9,8980.1,11945.8,15937.1,14678.1,22457.4
Total,34476.9,42725.5,51960.5,60248.4,63968.7,63627.7,71376.1,74655.5,84596.9,115353
Receivables,1144.3,1323.4,1202.6,1465.4,2312.8,1977.7,1279.9,2034.5,3301.4,4596.8
Inventory,2745.3,3132.6,3263.7,3160.2,3322.6,3213.9,3049,3532.3,4283.5,5318.1
Cash & Bank,43.2,50.7,23.5,74,187.8,29,3047.1,3042.2,41.6,2827.4
No. of Equity Shares,302080060,302080060,302080060,302080060,302080060,302080060,302080060,302080060,302080060,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,6449.2,8482.5,10282,11787.9,6600.9,3495.8,8856.2,1840.5,9251.4,16801.1
Cash from Investing Activity,-4491.1,-7230.4,-9173.2,-8301.7,-3539.9,-556.6,-7291.3,-239.2,-8036.1,-11864.8
Cash from Financing Activity,-2003.5,-1236.6,-1129.3,-3436.1,-2947.9,-3104.3,-1544.9,-1607,-1213.1,-4062
