COMPANY NAME,METROPOLIS HEALTHCARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1714.95,,,,,,,,,
Market Capitalization,8788.47,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,388.25,455.5,475.47,544.72,647.16,761.18,856.41,997.99,1228.34,1148.21
Raw Material Cost,111.23,128.98,124.59,135.1,145.9,173.51,204.14,252.16,276.02,253.26
Change in Inventory,,,,,,,,,,
Power and Fuel,6.82,8.15,8.06,9.12,9.99,11,12.49,12,14.73,14.43
Other Mfr. Exp,12.56,12.15,10.95,11.43,58.73,77.05,22.51,26.09,33.09,31.24
Employee Cost,75.21,98.08,108.26,127.8,147.56,176.62,190.72,199.24,233.65,253.52
Selling and admin,64.89,82.66,86.95,101.19,90.73,106.46,165.21,184.68,311.28,288.98
Other Expenses,13.85,8.66,20.37,19.88,13.68,13.97,24.13,34.03,11.49,13.43
Other Income,10.16,6.93,29.47,38.89,5.67,8.17,-16.56,12.04,33.51,15.22
Depreciation,16.05,20.52,16.64,17.23,19.02,20.07,39.27,45.94,63.22,89.22
Interest,2.86,2.16,1.6,1.94,3.54,4.12,12.65,11.56,25.02,31.85
Profit before tax,94.94,101.07,127.52,159.92,163.68,186.55,168.73,244.33,293.35,187.5
Tax,32.31,33.12,45.57,52.66,51.84,62.94,41.18,60.97,78.66,44.11
Net profit,56.56,60.98,76.8,101.66,104.24,120.15,127.33,183.1,214.18,142.88
Dividend Amount,1.38,,76.71,49.98,,66.57,40.52,40.88,40.92,40.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,302.62,293.05,305.9,279.86,300.35,285.46,282.55,277.09,308.5,291.12
Expenses,212.37,217.72,231.05,211.37,221.32,214.97,212.27,214.15,233.69,226.27
Other Income,5.57,2.61,5.68,3.04,4.34,6.62,1.23,3.05,1.22,2.31
Depreciation,15.04,16.88,17.99,21.17,21.58,23.03,23.43,20.82,22.24,24.99
Interest,3.07,4.96,6.07,7.53,6.99,6.11,6.17,5.98,5.68,5.31
Profit before tax,77.71,56.1,56.47,42.83,54.8,47.97,41.91,39.19,48.11,36.86
Tax,19.31,14.87,16.32,9.26,14.32,12.11,8.41,10.21,12.45,9.57
Net profit,58.27,41.04,39.99,33.4,40.33,35.8,33.36,28.8,35.45,27.16
Operating Profit,90.25,75.33,74.85,68.49,79.03,70.49,70.28,62.94,74.81,64.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.86,9.86,9.54,9.54,9.54,10.04,10.13,10.22,10.23,10.24
Reserves,292.44,351.97,269.18,313.63,405.22,408.5,513.37,696.38,875.96,977.99
Borrowings,19.93,13.69,4.7,0.93,0.73,17.78,66.7,112.27,378.56,266.38
Other Liabilities,68.75,86.71,107.24,187.63,110.4,113.42,160.3,181.39,255.76,240.11
Total,390.98,462.23,390.66,511.73,525.89,549.74,750.5,1000.26,1520.51,1494.72
Net Block,148.73,152.69,141.66,202.36,207.44,212.81,296.37,343.11,1058.93,1120.67
Capital Work in Progress,1.29,0.36,0.56,0.95,,5.77,2.99,,5.78,19.51
Investments,132.32,168.35,101.39,141.84,102.18,33.29,14.32,10.08,15.51,14.81
Other Assets,108.64,140.83,147.05,166.58,216.27,297.87,436.82,647.07,440.29,339.73
Total,390.98,462.23,390.66,511.73,525.89,549.74,750.5,1000.26,1520.51,1494.72
Receivables,49.59,70.76,70.2,80.29,100.68,136.85,128.25,122.98,135.49,121.89
Inventory,14.43,18.33,15.57,14.13,21.19,26.1,24.4,40.55,51.11,44.59
Cash & Bank,23.45,29.06,33.6,40.51,60.14,80.24,210.47,419.7,166.94,93.19
No. of Equity Shares,9864130,9864130,9543646,9543646,9543646,50178680,50630566,51116813,51172119,51210664
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,76.92,69.49,91.42,101.75,103.93,90.15,215,249.03,253.27,247.09
Cash from Investing Activity,-60.79,-56.01,96.29,-85.78,1.33,35.9,-103.87,63.08,-736.41,48.09
Cash from Financing Activity,-14.19,-9.48,-173.76,-17.3,-87.3,-118.15,-55.32,-32.69,162.52,-292.33
Net Cash Flow,1.94,4,13.94,-1.32,17.96,7.9,55.8,279.42,-320.61,2.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1284.45,2241.2,2035.75,1248.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.99,0.99,0.95,0.95,0.95,5.02,5.06,5.11,5.12,5.12
