COMPANY NAME,MINDA CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,406.25,,,,,,,,,
Market Capitalization,9712.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1589.87,1965.33,2435.02,2059.8,2593.5,3092,2222.6,2367.9,2975.9,4300.1
Raw Material Cost,963.6,1209.11,1513.49,1337.3,1634.1,1892,1359.2,1518.5,1862.1,2802.7
Change in Inventory,-9.72,12.21,14.87,110.8,75.5,-11.2,20.7,26,-13.8,25.4
Power and Fuel,32.3,36.96,40.77,39.8,50.7,62.1,46.8,48,59.9,81.5
Other Mfr. Exp,58.84,66.74,81.16,80.3,131.1,157.4,134.7,144.3,175.9,213
Employee Cost,265.74,336.53,416.48,371.4,441.3,509.2,356.6,382.7,474.2,625.5
Selling and admin,119.34,129.24,153.22,130.8,114.1,130.1,79.5,59.6,64.6,105.9
Other Expenses,13.16,11.42,15.32,19,20.1,34.9,352.6,20.8,29,33.5
Other Income,43.7,23.05,28.61,26.8,27.4,80,53.6,-7.5,56.1,15.5
Depreciation,47.8,60.26,74.46,57.7,73.8,88.3,86.6,93.6,112,138.1
Interest,27.51,39.46,37.06,30.2,39.8,50.7,41.3,38.8,32,42.3
Profit before tax,95.56,110.87,146.54,130.9,191.4,236.1,-160.4,80.1,208.5,298.5
Tax,17.2,27.15,36.57,28.8,48.7,66.9,39.4,31.2,24,4.1
Net profit,79.34,89.53,107.27,102.1,142.7,169.2,-199.8,52.8,191.9,284.5
Dividend Amount,4.05,8.29,10.4,10.4,12.48,15.86,7.94,15.54,23.9,28.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,731.25,738.3,947.76,1010.24,1147.06,1068.29,1074.55,1074.51,1195.84,1165.81
Expenses,653.95,659.59,840.02,903.62,1023.22,954.19,957.62,959.85,1064.53,1035.94
Other Income,7.53,37.14,4.55,4.22,4.47,4.7,2.39,1.93,2.03,1.98
Depreciation,27.01,26.99,32.9,31.65,33.84,34.01,38.56,39.03,41.41,41.73
Interest,7.52,8.49,7.47,8.21,9.75,10.91,11.87,14.13,14.93,14.32
Profit before tax,50.3,80.37,71.92,70.98,84.72,73.88,68.89,63.43,77,75.8
Tax,13.59,12.64,-3.58,18.1,21.59,19.45,-55.06,16.85,18.72,25.01
Net profit,39.06,69.85,75.86,52.49,57.81,52.26,121.94,45.21,58.77,52.49
Operating Profit,77.3,78.71,107.74,106.62,123.84,114.1,116.93,114.66,131.31,129.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,20.26,41.46,41.6,41.6,41.6,45.3,45.4,47.8,47.8,47.8
Reserves,349.93,405.9,506.56,580.5,694.4,1145.1,924.9,1094.1,1277.6,1538.3
Borrowings,552.33,501.84,543.04,549.2,723.2,680.6,620.1,527.7,506,713.1
Other Liabilities,389.66,472.38,679.55,376.6,592,571,736.4,658.5,735.7,909.9
Total,1312.18,1421.58,1770.75,1547.9,2051.2,2442,2326.8,2328.1,2567.1,3209.1
Net Block,526.78,570.8,718.67,529.9,711.3,731.6,570.1,612.7,887,1025.7
Capital Work in Progress,15.02,15.32,13.13,74.2,16.1,21,28.4,17.8,32.5,85.2
Investments,24.52,28.91,5.21,125.7,139.3,165,176.1,180.5,64.2,451.3
Other Assets,745.86,806.55,1033.74,818.1,1184.5,1524.4,1552.2,1517.1,1583.4,1646.9
Total,1312.18,1421.58,1770.75,1547.9,2051.2,2442,2326.8,2328.1,2567.1,3209.1
Receivables,291.48,317.62,435.27,374.1,570.5,546.4,389.8,442,568.8,640.9
Inventory,186.65,230.77,321.02,306.4,447.9,446.4,394.9,395.9,478.9,573.3
Cash & Bank,54.02,44.11,88.2,33.4,26.1,353,472.4,499.4,333.4,161.9
No. of Equity Shares,20261980,207301180,207976180,207976180,207976180,226233025,227222285,239079428,239079428,239079428
New Bonus Shares,,104655820,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-17.66,304.17,225.77,48.4,69.9,209.4,450.4,85.5,166.8,387.4
Cash from Investing Activity,-135.67,-52.86,-157.83,-158.4,-200.3,-401.7,-137,-192.3,11.7,-424.6
Cash from Financing Activity,133.43,-238.33,-28.98,67.4,122.1,203.3,-249,65.2,-160.8,74.3
Net Cash Flow,-19.9,12.99,38.96,-42.6,-8.3,11,64.4,-41.6,17.7,37.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,29.5,92.1,104.05,93.85,177.4,135.75,57.7,100.5,206.8,215.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
