COMPANY NAME,MISHRA DHATU NIGAM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,409.25,,,,,,,,,
Market Capitalization,7667.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,554.62,647.37,716.5,773.28,661.69,710.85,712.88,813.23,859.49,871.94
Raw Material Cost,196.08,211.96,244.91,193.83,153.55,292.76,376.61,170.07,344.9,391.18
Change in Inventory,9.56,-7.33,-37.97,-77.64,35.99,103.99,257.23,-41.59,154.1,228.32
Power and Fuel,43.11,52.37,52.1,59.3,53.95,56.24,62.02,42.32,63.01,102.79
Other Mfr. Exp,70.86,71.9,84.97,98.19,119.03,125.1,158.53,159.01,176.78,173.21
Employee Cost,96.7,98.87,90.76,109.39,128.43,108.52,123.56,121.01,122.55,125.9
Selling and admin,31.41,43.93,34.32,38.82,41.62,37.24,42.94,27.23,31.07,38.05
Other Expenses,19.69,31.82,19.53,10.08,9.7,10.43,7.41,6.05,11.9,10.45
Other Income,26.19,22.69,29,23.38,35.58,36.89,36.44,19.83,31.31,37.78
Depreciation,6.04,9.79,14.07,17.66,19.64,23.19,26.11,27,33,53
Interest,5.05,8.1,5.03,5.39,9.09,7.2,7.28,12.69,22.57,26.91
Profit before tax,121.43,133.99,161.84,186.36,198.25,191.05,202.09,226.09,239.12,216.55
Tax,38.97,34.82,42.48,60.04,66.99,60.49,42.35,59.8,62.81,60.67
Net profit,82.46,99.16,119.37,126.31,131.26,130.56,159.73,166.29,176.31,155.88
Dividend Amount,37.47,37.47,33.46,37.9,39.34,41.03,47.96,52.08,58.08,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,187.92,234.22,323.29,114.93,180.95,231.49,344.57,187.72,227.49,251.97
Expenses,136.06,171.21,201.38,81.91,122.28,165.81,244.41,146.19,191.19,216.07
Other Income,2.1,5.32,15.69,7.39,9.41,8.87,12.1,8.02,7.57,6.22
Depreciation,7.02,7.02,12.1,12.37,13.35,13.58,13.7,14.19,14.44,14.46
Interest,1.6,3.05,15.04,4.63,5.85,7.16,8.09,8.63,8.79,8.74
Profit before tax,45.34,58.26,110.46,23.41,48.88,53.81,90.47,26.73,20.64,18.92
Tax,11.71,15.38,29.47,5.7,15.32,15.31,24.35,8.19,6.79,6.43
Net profit,33.63,42.88,80.99,17.7,33.56,38.5,66.11,18.54,13.85,12.49
Operating Profit,51.86,63.01,121.91,33.02,58.67,65.68,100.16,41.53,36.3,35.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,187.34,187.34,187.34,187.34,187.34,187.34,187.34,187.34,187.34,187.34
Reserves,257.79,352.72,432.33,517,601.7,647.37,771.05,885.29,1003.38,1098.85
Borrowings,56.57,58.88,13.07,21.29,92.85,106.66,133.62,160.44,359.8,488.65
Other Liabilities,848.63,564.12,488.11,375.41,483.31,883.3,1305.98,1227.66,1230.14,1088.77
Total,1350.33,1163.06,1120.85,1101.04,1365.2,1824.67,2397.99,2460.73,2780.66,2863.61
Net Block,115.48,244.28,262.96,327.38,344.43,424.95,440.75,428.92,938.49,1015.5
Capital Work in Progress,117.93,9.44,6.69,6.21,64.99,175.05,404.82,548.74,131.87,79.64
Investments,2.1,2.1,2.1,2.1,2.1,2.1,22.1,22.1,22.1,22.1
Other Assets,1114.82,907.24,849.1,765.35,953.68,1222.57,1530.32,1460.97,1688.2,1746.37
Total,1350.33,1163.06,1120.85,1101.04,1365.2,1824.67,2397.99,2460.73,2780.66,2863.61
Receivables,243.63,220.08,209.05,288.53,413.43,352.24,297.4,386.14,306.31,315.8
Inventory,452.79,423.02,288.55,206.04,241.38,508.84,910.5,800.84,1091.49,1224.84
Cash & Bank,105.65,89.4,195.86,207.93,180.08,198,110.9,93.95,62.58,14.42
No. of Equity Shares,1873400,1873400,1873400,1873400,187340000,187340000,187340000,187340000,187340000,187340000
New Bonus Shares,,,,,,,,,,
Face value,1000,1000,1000,1000,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,118.94,20.26,296.03,204.44,175.88,5.11,-35.41
Cash from Investing Activity,,,,-64.85,-78.05,-205.37,-195.24,-114.95,-67.77,-2.95
Cash from Financing Activity,,,,-42.52,24.9,-77.96,-13.06,-36.92,38.66,42.78
Net Cash Flow,,,,11.57,-32.9,12.7,-3.87,24,-23.99,4.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,141.1,178.85,176.85,165.65,184.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.19,0.19,0.19,0.19,18.73,18.73,18.73,18.73,18.73,18.73
