COMPANY NAME,MOTHERSON SUMI WIRING INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,68.55,,,,,,,,,
Market Capitalization,30289.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,3937.7,5635,7057.4
Raw Material Cost,,,,,,,,2535.6,3708.2,4700.6
Change in Inventory,,,,,,,,24.5,98.9,68.9
Power and Fuel,,,,,,,,15.8,22.8,28.8
Other Mfr. Exp,,,,,,,,70.2,108,163.7
Employee Cost,,,,,,,,653.5,946.4,1183.1
Selling and admin,,,,,,,,108.2,177.7,211.2
Other Expenses,,,,,,,,25.8,40.5,57.5
Other Income,,,,,,,,23.6,-35.4,22.3
Depreciation,,,,,,,,37.4,105.5,123.7
Interest,,,,,,,,7.3,28.5,27.8
Profit before tax,,,,,,,,532,560.9,652.2
Tax,,,,,,,,135.8,150.2,165.2
Net profit,,,,,,,,396.2,410.7,487
Dividend Amount,,,,,,,,,268.43,287.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1399.96,1459.63,1661.52,1670.94,1835.21,1686.8,1864.42,1858.79,2104.62,2117.28
Expenses,1213.9,1250.99,1442.58,1468.14,1654.39,1507.85,1655.15,1664.69,1856.49,1855.28
Other Income,8.29,7.88,-56.12,7.69,10.72,0.72,12.72,13.55,5.59,1.07
Depreciation,13.06,12.29,67.33,27.7,29.53,31.68,34.75,33.84,36.35,37.69
Interest,2.8,3.98,19.22,6.86,5.85,6.51,8.6,7.72,7.36,6.39
Profit before tax,178.49,200.25,76.27,175.93,156.16,141.48,178.64,166.09,210.01,218.99
Tax,44.96,48.36,29.85,49.97,39.71,35.32,40.17,42.96,54.13,51.13
Net profit,133.53,151.89,46.42,125.96,116.45,106.16,138.47,123.13,155.88,167.86
Operating Profit,186.06,208.64,218.94,202.8,180.82,178.95,209.27,194.1,248.13,262
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,0.1,315.8,442.1
Reserves,,,,,,,,-0.4,798.8,888.4
Borrowings,,,,,,,,96.3,282.8,372.6
Other Liabilities,,,,,,,,1693.4,1164.3,1194.6
Total,,,,,,,,1789.4,2561.7,2897.7
Net Block,,,,,,,,169.7,432.1,579.2
Capital Work in Progress,,,,,,,,0.1,32.3,27
Investments,,,,,,,,,,
Other Assets,,,,,,,,1619.6,2097.3,2291.5
Total,,,,,,,,1789.4,2561.7,2897.7
Receivables,,,,,,,,674.9,659.3,800.4
Inventory,,,,,,,,798.6,960,1209.6
Cash & Bank,,,,,,,,37.3,293.3,36.8
No. of Equity Shares,,,,,,,,500000,3157934237,4421107932
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,11.4,500.7,223.6
Cash from Investing Activity,,,,,,,,-28.1,-100.8,-193.7
Cash from Financing Activity,,,,,,,,25,-143.9,-287.1
Net Cash Flow,,,,,,,,8.3,256,-257.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,46.04,48.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,442.11,442.11
