COMPANY NAME,MPHASIS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2249.35,,,,,,,,,
Market Capitalization,42528.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5794.81,6080.78,6076.36,6545.84,7730.98,8843.54,9722.31,11961.44,13798.5,13278.52
Raw Material Cost,,42.16,0.02,,,,,,,
Change in Inventory,,4.1,-4.1,,,,,,,
Power and Fuel,54.32,55.09,35.09,29.75,34.86,39.07,26.14,24.88,26.5,
Other Mfr. Exp,449.17,488.56,511.51,758.62,1102.82,1577.5,1595.56,2144.81,2522.2,
Employee Cost,3586.94,3730.49,3709.56,3817.93,4298.69,4922.64,5629.79,7034.5,8075.78,7925.33
Selling and admin,647.47,717.26,714.52,746.38,849.37,540.34,528.11,461.57,512.75,
Other Expenses,186.82,188.42,132.76,130.78,121.41,113.61,139.84,178.08,227.31,2931.3
Other Income,193.58,172.26,223.44,149.02,176.71,177.82,132.95,160.45,161.6,217.8
Depreciation,98.07,121.08,79.15,70.82,75.84,231.63,241.79,290.75,325.24,410.5
Interest,27.92,24.16,13.88,13,17.37,81.19,63.42,74.4,97.26,160.87
Profit before tax,937.68,889.92,1099.21,1127.58,1407.33,1515.38,1630.61,1912.9,2173.06,2068.32
Tax,263.04,258.42,307.63,290.08,333.98,330.55,413.8,482.02,535.14,513.5
Net profit,674.64,631.51,791.58,837.5,1073.35,1184.84,1216.81,1430.89,1637.92,1554.82
Dividend Amount,336.24,420.38,357.71,386.54,502.82,652.89,1215.82,864.02,942.05,1039.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3123.72,3277.67,3411.24,3519.82,3506.21,3361.22,3252.01,3276.5,3337.95,3412.05
Expenses,2570.6,2700.51,2811.24,2902.03,2888.71,2762.56,2665.15,2680.86,2737.33,2773.3
Other Income,30.65,39.15,35.62,43.41,39.98,42.6,50.35,49.04,54.24,64.18
Depreciation,82.58,79.85,79.57,80.15,82.08,83.45,87.36,88.97,103.43,130.74
Interest,21.62,20.84,23.18,26,24.41,23.67,24.1,34.04,52.84,49.88
Profit before tax,479.57,515.62,532.87,555.05,550.99,534.14,525.75,521.67,498.59,522.31
Tax,121.88,123.56,130.99,136.59,138.72,128.83,129.71,129.71,125,129.09
Net profit,357.68,392.07,401.88,418.46,412.27,405.31,396.05,391.95,373.6,393.22
Operating Profit,553.12,577.16,600,617.79,617.5,598.66,586.86,595.64,600.62,638.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,210.15,210.19,210.42,193.27,186.23,186.54,187.05,187.83,188.41,189.01
Reserves,5269.62,5644.84,5941.98,5288.52,5063.59,5643.06,6339.66,6755.31,7746.43,8605.6
Borrowings,575.27,460.76,260.16,389.88,542.59,571.28,513.45,527.24,198.48,2388.59
Other Liabilities,1311.62,1092.17,888.69,1108.7,1575.86,2338.89,2324.5,3213.94,3373.18,2947.04
Total,7366.66,7407.96,7301.25,6980.37,7368.27,8739.77,9364.66,10684.32,11506.5,14130.24
Net Block,2333.74,1596.89,1921.14,1884.03,2169.73,3013.49,3019.51,3773.63,4059.8,5580.38
Capital Work in Progress,20.43,55.59,1.08,2.26,2.92,16.7,3.13,10.98,32.38,13.69
Investments,1443.1,2122.29,2395.65,1782.07,1329.22,1325.65,1846.02,1813.01,1752.64,3089.91
Other Assets,3569.39,3633.19,2983.38,3312.01,3866.4,4383.93,4496,5086.7,5661.68,5446.26
Total,7366.66,7407.96,7301.25,6980.37,7368.27,8739.77,9364.66,10684.32,11506.5,14130.24
Receivables,625.2,648.93,627.87,811.63,955.37,835.25,929.48,2226.94,2520.63,2425.56
Inventory,,4.1,,,,,,,,
Cash & Bank,1320.84,857.21,614.41,706.72,641.61,1125.7,1062.24,949.44,1053.44,814.37
No. of Equity Shares,210147823,210194117,210424080,193267182,186226039,186605807,187112033,187817716,188400043,
New Bonus Shares,,,,,700,700,700,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,616.46,730.81,664.11,723.32,949.72,1321.02,1454.53,1715.73,1461.77,2179.7
Cash from Investing Activity,-379.84,-174.74,266.58,507.34,279.85,141.69,-809.92,-271.35,195.68,-2482.07
Cash from Financing Activity,-186.33,-567.82,-710.02,-1379.74,-1341.77,-824.72,-861.47,-1388.68,-1440.18,77.08
Net Cash Flow,50.29,-11.75,220.66,-149.09,-112.2,638,-216.86,55.7,217.27,-225.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,385.4,491.8,579.9,837.75,991.1,664.45,1776.5,3376.85,1795.75,2388.05
,,,,,,,,,,
