COMPANY NAME,MUTHOOT MICROFIN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,222.25,,,,,,,,,
Market Capitalization,3794.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,748.34,684.38,832.83,1429.1,2270.18
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,1.26,1.67,1.79,2.83,
Other Mfr. Exp,,,,,,17.49,12.08,21.07,32.79,
Employee Cost,,,,,,147.01,187.09,237.08,322.56,448.66
Selling and admin,,,,,,41.06,30.95,41.65,69.62,
Other Expenses,,,,,,36.28,137.27,115.68,230.06,336.39
Other Income,,,,,,2.09,11.9,10.11,17.25,15.31
Depreciation,,,,,,2.97,18.83,20.78,26.61,35.44
Interest,,,,,,233.84,299.33,340.16,549.01,883.16
Profit before tax,,,,,,270.52,9.06,64.73,212.87,581.84
Tax,,,,,,69.3,2,17.33,48.98,132.26
Net profit,,,,,,201.23,7.05,47.4,163.89,449.58
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,,333.68,380.18,443.84,478.7,563.63,581.05,646.81
Expenses,,,,206.69,151.82,146.12,149.89,190.96,211.65,232.56
Other Income,,,,6.56,3.03,4.33,1.44,3.47,3.78,6.62
Depreciation,,,,6.35,6.98,7.41,7.93,8.53,9.22,9.76
Interest,,,,121.06,154.71,168.22,194.3,221.02,234.12,233.72
Profit before tax,,,,6.14,69.7,126.42,128.02,146.59,129.84,177.39
Tax,,,,1.58,12.83,31.86,32.34,37.01,5.27,57.63
Net profit,,,,4.55,56.87,94.56,95.68,109.57,124.57,119.76
Operating Profit,,,,126.99,228.36,297.72,328.81,372.67,369.4,414.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,,114.17,114.17,114.17,116.84,170.49
Reserves,,,,,,771.62,775.72,1203.25,1485.65,2633.86
Borrowings,,,,,,2451.27,3093.65,4088.01,6623.12,8523.87
Other Liabilities,,,,,,193.12,200.31,186.02,303.6,262.01
Total,,,,,,3530.18,4183.85,5591.45,8529.21,11590.23
Net Block,,,,,,20.67,109.99,121.25,171.9,214.66
Capital Work in Progress,,,,,,0.66,,,,
Investments,,,,,,,0.05,0.05,63.36,46.71
Other Assets,,,,,,3508.85,4073.81,5470.15,8293.95,11328.86
Total,,,,,,3530.18,4183.85,5591.45,8529.21,11590.23
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,,780.93,744.98,999.92,1150.41,1578.73
No. of Equity Shares,,,,,,114170502,114170602,114170602,116837249,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,-601.81,-703.96,-1083.58,-2332.88,-2125.26
Cash from Investing Activity,,,,,,-6.21,-37.95,-73.8,-180.03,-225.33
Cash from Financing Activity,,,,,,706.81,79.69,1344.13,2566.54,2548.8
Net Cash Flow,,,,,,98.79,-662.22,186.75,53.63,198.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,199.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,11.42,11.42,11.42,11.68,17.05
