COMPANY NAME,NBCC (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,130.55,,,,,,,,,
Market Capitalization,23507.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4039.74,4396.39,5812.43,6279.39,5905.01,7244.76,5210.34,4947.45,5546.62,6736.31
Raw Material Cost,26.55,45.07,23.91,10.01,8.43,19.01,8.15,1.32,25.56,0.11
Change in Inventory,-88.05,150.77,300.04,152.26,87.23,-206.47,-46.36,-48.11,-36.67,-108.88
Power and Fuel,1.4,1.58,3.35,1.39,2.37,2.93,2.62,1.71,2.89,2.18
Other Mfr. Exp,3468.19,3972.89,5460.79,5708.5,5122.35,6214.83,4748.4,4476.23,5031.83,5954.52
Employee Cost,182.28,195.36,221.21,236.22,309.86,263.32,253.79,238.35,235.98,256.95
Selling and admin,30.74,34.24,30.02,28.22,36.48,30.6,20.94,14.02,16.86,22.98
Other Expenses,17.37,9.9,64.49,43.29,111.27,131.78,113.27,81.15,38.14,85.87
Other Income,133.22,146.58,100.76,88.58,106.13,187.47,235.09,172.63,87.78,14.61
Depreciation,1.35,2.34,2.45,2.61,2.71,2.64,2.77,2.31,1.72,2.11
Interest,23.52,41.35,3.04,2.34,2.28,2.19,7.84,12.43,8.02,5.04
Profit before tax,333.51,391.01,403.97,487.65,502.62,558.46,241.29,244.45,236.73,312.28
Tax,86.38,113.7,117,136.56,169.02,174.35,161.41,42.7,53.87,81.14
Net profit,247.14,277.3,286.96,351.1,333.61,384.11,79.87,201.74,182.86,231.13
Dividend Amount,60,66,120,146.7,150.3,117,24.3,84.6,90,97.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1302.9,1508.65,1800.25,1365.81,1556.45,1586.68,2227.35,1478.07,1622.05,1918.61
Expenses,1268.04,1452.74,1737.11,1317.25,1472.29,1508.37,2137.17,1430.31,1533.35,1816.3
Other Income,51.68,39.73,-40.49,-63.62,46.4,-8.47,40.31,37.36,14.88,23.84
Depreciation,0.43,0.44,0.41,0.4,0.43,0.44,0.83,0.45,0.48,0.49
Interest,1.41,1.42,1.43,1.43,0.01,,,,0.01,
Profit before tax,84.7,93.78,20.81,-16.89,130.12,69.4,129.66,84.67,103.09,125.66
Tax,19.07,24.43,0.17,-3.68,30.68,20.88,33.27,21.53,17.82,31.99
Net profit,65.64,69.35,20.65,-13.2,99.44,48.52,96.38,63.13,85.27,93.67
Operating Profit,34.86,55.91,63.14,48.56,84.16,78.31,90.18,47.76,88.7,102.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,120,120,120,180,180,180,180,180,180,180
Reserves,1007.29,1204.13,1404.61,1493.6,1641.37,1384.81,1343.61,1511.5,1594.75,1734.54
Borrowings,,,11.63,5.93,,,,0.2,0.14,0.27
Other Liabilities,3063.55,3420.33,3898.35,4843.4,5828.72,6739.73,6265.22,6666.52,6761.05,6319.67
Total,4190.84,4744.46,5434.59,6522.93,7650.09,8304.54,7788.83,8358.22,8535.94,8234.48
Net Block,22.54,26.22,61.78,64.98,63.51,73.65,60.28,58.35,57.43,64.82
Capital Work in Progress,,,,,,,,,,1
Investments,113.5,151.85,230.79,104.85,58.6,358.62,343.54,333.54,332,331.94
Other Assets,4054.8,4566.39,5142.02,6353.1,7527.98,7872.27,7385.01,7966.33,8146.51,7836.72
Total,4190.84,4744.46,5434.59,6522.93,7650.09,8304.54,7788.83,8358.22,8535.94,8234.48
Receivables,1316.42,1704.12,1835.1,2186.61,2258.46,2107.64,1364.7,1638.54,1609.1,1577.21
Inventory,996.72,1154.84,1423.56,1570.37,1657.56,1837.45,1790.82,1741.62,1557.33,1440.98
Cash & Bank,1195.9,1059.46,1140.6,1552.96,1713.55,1580.65,1760.89,1990.77,2350.02,2056.92
No. of Equity Shares,120000000,120000000,120000000,900000000,900000000,1800000000,1800000000,1800000000,1800000000,1800000000
New Bonus Shares,,,,300000000,,,,,,
Face value,10,10,10,2,2,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-438.69,-153.92,168.39,439.05,212.5,119.6,51.13,85.69,269.54,-215.16
Cash from Investing Activity,818.47,-5,-30.25,145.15,174.33,153.04,318.83,244.66,-44.29,-162.09
Cash from Financing Activity,-52.65,-70.2,-85.05,-207.99,-183.55,-126.81,-131.25,-31.17,-90.17,-88.45
Net Cash Flow,327.13,-229.12,53.1,376.21,203.28,145.83,238.72,299.19,135.07,-465.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,10.49,63.8,62.86,86.03,95.2,66.3,16.3,46.8,36.3,35.45
,,,,,,,,,,
