COMPANY NAME,NESCO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,820.35,,,,,,,,,
Market Capitalization,5779.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,161.11,194.45,261.26,305.75,303.64,360.38,431.73,291.09,337.4,546
Raw Material Cost,8.8,10.82,13.67,15.35,10.97,22.51,17.62,15.54,25.35,37.47
Change in Inventory,0.08,1.76,1.69,-0.17,0.91,-1.14,-0.94,-1.48,-0.36,1.59
Power and Fuel,3.61,2.98,10.11,12.77,13.43,16.21,17.49,3.9,5.91,19.36
Other Mfr. Exp,8.87,6.27,12.88,20.6,14.51,19.03,28.5,17.6,25.07,43.18
Employee Cost,10.56,11.71,13.93,18.3,20.31,23.37,38.12,27.37,21.55,27.4
Selling and admin,16.87,21.54,18.38,20.53,16.3,25.94,34.74,31.17,31.81,42.2
Other Expenses,2.71,4.55,5.24,4.13,13.42,19.59,16,8.29,6.8,10.46
Other Income,18.26,28.27,32.65,42.98,36.06,31.68,42.36,64.56,43.46,44.43
Depreciation,11.03,6.7,6.7,8.13,11.03,11.87,22.44,25.73,28.29,32.77
Interest,0.11,0.13,3.96,5.03,5.55,4.71,6.02,8.22,9.21,12.21
Profit before tax,116.89,159.78,210.73,243.72,235.09,247.69,292.22,216.35,226.51,366.97
Tax,35.87,48.14,66.59,74.3,58.4,67.51,58.43,43.85,37.29,76.33
Net profit,81.02,111.63,144.14,169.42,176.69,180.18,233.79,172.5,189.22,290.64
Dividend Amount,7.04,9.16,11.98,15.5,16.2,17.61,21.14,21.14,21.14,31.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,80.76,93.36,91.07,103.06,142.87,142.83,157.24,136.59,174.85,177.76
Expenses,30.46,32.34,28.5,36.55,41.86,60.97,57.78,50.49,65.8,63.93
Other Income,9.79,9.6,11.93,7.79,15.63,19.35,20.35,24.54,22.65,26.85
Depreciation,7.1,6.75,7.96,7.7,7.6,8.26,9.22,14.03,14.23,14.07
Interest,2.32,2.47,2.52,3.2,4.6,2.81,1.6,3.03,5.05,5.64
Profit before tax,50.67,61.4,64.02,63.4,104.44,90.14,108.99,93.58,112.42,120.97
Tax,6.66,12.04,10.46,9.68,22.52,20.06,24.08,17.48,24.61,27.23
Net profit,44.01,49.36,53.56,53.73,81.92,70.08,84.91,76.1,87.82,93.75
Operating Profit,50.3,61.02,62.57,66.51,101.01,81.86,99.46,86.1,109.05,113.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09,14.09
Reserves,424.68,525.6,667.24,836.52,994.61,1153.7,1340.61,1512.4,1680.96,1950.43
Borrowings,,,,,,,,,0.55,0.41
Other Liabilities,121.74,136.57,158.91,180.95,170.02,178.18,252.22,292.55,273.38,297.64
Total,560.51,676.26,840.24,1031.56,1178.72,1345.97,1606.92,1819.04,1968.98,2262.57
Net Block,159.81,159.18,164.81,187.8,228.55,212.89,776.27,758.72,846.41,804.07
Capital Work in Progress,4.75,99.79,143.43,262.35,357,509.09,1.55,51,82.36,85.65
Investments,368.43,384.08,442.45,482.05,498.76,531.42,672.5,810.28,846.53,1161
Other Assets,27.52,33.21,89.55,99.36,94.41,92.57,156.6,199.04,193.68,211.85
Total,560.51,676.26,840.24,1031.56,1178.72,1345.97,1606.92,1819.04,1968.98,2262.57
Receivables,11.18,10.73,14.38,11.12,13.45,18.04,16.57,29.6,18.63,22.62
Inventory,4.4,7.7,10.98,13.31,12.41,9.03,8.56,7.35,7.52,11.73
Cash & Bank,4.35,4.76,6.21,4.76,6.82,4.23,10.2,5.83,6.51,17.75
No. of Equity Shares,14091992,14091992,14091992,14091992,70459960,70459960,70459960,70459960,70459960,70459960
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,117.14,102.63,136.58,151.96,143.46,171.24,208.35,138.67,163.64,296.7
Cash from Investing Activity,-106.58,-91.37,-110.18,-152.96,-122.72,-154.74,-157.11,-141.6,-142.41,-264.92
Cash from Financing Activity,-8.35,-10.85,-25.26,-0.08,-19.06,-19.8,-46.91,-0.17,-20.7,-23.66
Net Cash Flow,2.21,0.41,1.14,-1.08,1.67,-3.31,4.33,-3.1,0.53,8.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,162.27,305.73,302.22,469.64,550.7,482.65,489.15,526.2,552.5,517.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
