COMPANY NAME,NMDC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,253,,,,,,,,,
Market Capitalization,74130.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,12058.2,12356.41,6455.8,8828.14,11614.9,12152.67,11699.22,15370.06,25964.79,17666.88
Raw Material Cost,26.5,27.67,9.73,5.37,17.33,52,36.48,42.01,106.95,70.59
Change in Inventory,14.27,16.99,-63.12,-98.87,38.48,79.22,53.83,161.81,1159.39,496.6
Power and Fuel,60.98,64.25,67.69,87.65,99.27,109.45,114.73,110.82,122.54,144.07
Other Mfr. Exp,434.44,423.5,394.3,375.72,414.16,423.48,399.28,393.43,588.76,766.38
Employee Cost,706.71,703.51,650.72,889.7,1049.94,1039.98,1049.81,1085.58,1337.4,1531.03
Selling and admin,2695.01,3029.59,1774.13,2537.67,3042.97,2670.19,3131.09,3985.38,10662.22,8481.69
Other Expenses,425.47,359.92,810.95,1238.46,1227.01,1012.28,1019.78,1124.38,1679.85,1115.98
Other Income,2181.94,2155.17,1682.21,909.8,667.16,588.45,417.17,351,715.85,2003.6
Depreciation,150.65,172.56,218.02,196.65,256.63,279.04,294.93,228.54,287.74,336.18
Interest,1.85,0.14,65.65,20.78,37.1,40.32,9.88,16.81,39.06,75.23
Profit before tax,9752.8,9747.43,4083.7,4287.07,6176.13,7193.6,6114.24,8895.92,13015.51,7645.93
Tax,3339.72,3346.26,1380.05,1704.04,2373.34,2556.53,2512.72,2648.45,3575.09,2108.21
Net profit,6370.98,6346.74,2546.1,2543.86,3808.46,4617.95,3572.96,6276.64,9428.16,5602.56
Dividend Amount,3370,3389.82,4361.17,1629.41,1360.48,1690.17,1619.75,2274.22,4319.85,1934.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,6793.51,5873.77,6785.3,4767.07,3328.45,3719.99,5851.37,5394.66,4013.98,5409.9
Expenses,3681,3262.57,4060.78,2868.67,2477.29,2579.37,3689.02,3401.14,2823.55,3402.73
Other Income,88.75,152.78,332.37,145.86,426.19,204.63,1228.23,294.05,320.83,83.91
Depreciation,59.92,60.68,111.8,84.93,74.15,83.71,93.39,69.22,88.8,82
Interest,1.72,9.19,25.15,15.34,18.19,29.93,11.77,6.19,18.6,32.05
Profit before tax,3139.62,2694.11,2919.94,1943.99,1185.01,1231.61,3285.42,2212.16,1403.86,1977.03
Tax,800.04,647.23,1057.85,472.75,299.36,327.62,1008.48,551.12,379,507.3
Net profit,2327.09,2048.29,1866.56,1445.48,972.22,912.33,2271.53,1652.22,1026.24,1483.93
Operating Profit,3112.51,2611.2,2724.52,1898.4,851.16,1140.62,2162.35,1993.52,1190.43,2007.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,396.47,396.47,396.47,316.39,316.39,306.19,306.19,293.07,293.07,293.07
Reserves,29550.36,31870.17,28783.62,22265.82,24101.02,25737.81,27366.88,29590.98,17725.18,22327.76
Borrowings,,,1496.95,,500.09,364.15,565.57,2000.28,1799.94,422.66
Other Liabilities,1497.05,2197.2,2078.74,3201.45,3773.82,3483.08,3055.79,5045.46,5094.15,5204.22
Total,31443.88,34463.84,32755.78,25783.66,28691.32,29891.23,31294.43,36929.79,24912.34,28247.71
Net Block,1365.85,1468.17,2058.46,2095.13,3457.21,3512.41,3809.5,3933.4,3662.49,3198.57
Capital Work in Progress,5297.41,7800.58,9747.08,11855.45,12545.06,13818.9,15529.86,17157.93,1333.31,1998.04
Investments,219.3,319.11,591.64,612.3,672.73,858.87,910.1,874.9,894.95,934.68
Other Assets,24561.32,24875.98,20358.6,11220.78,12016.32,11701.05,11044.97,14963.56,19021.59,22116.42
Total,31443.88,34463.84,32755.78,25783.66,28691.32,29891.23,31294.43,36929.79,24912.34,28247.71
Receivables,1448.42,1752.33,796.07,1043.52,1472.74,1424.51,2223.71,2139.89,2954.3,2656.02
Inventory,681.19,691.88,622.05,540.04,571.69,666.17,723.51,921.72,2125.21,2660.58
Cash & Bank,18660.51,18486.06,14806.14,5320.51,5460.98,4619.39,2437.46,5861.82,7977.47,7097.75
No. of Equity Shares,3964716000,3964716000,3964716000,3163890474,3163890474,3061849659,3061849659,3061849659,2930605850,2930605850
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3733.52,3999.14,2501.96,2108.52,3376.28,4001.54,2125.97,7266.13,6941.8,2465.61
Cash from Investing Activity,3443.58,-517.16,3644.64,5171.34,-1864.88,-789.23,-312.76,-4316.28,-3213.89,43.29
