COMPANY NAME,NTPC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,346.05,,,,,,,,,
Market Capitalization,335364.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,78329.51,79956.74,73396.32,82042.49,88083.31,100286.54,109464.04,111531.15,132669.28,176206.93
Raw Material Cost,,,,,,,,,,
Change in Inventory,-1.66,-4.64,,,,,,,,
Power and Fuel,50771.68,54268.2,47727.29,52550.45,55690.57,62852.55,65902.75,64820.76,79375.22,111802.92
Other Mfr. Exp,2891.35,3324.75,2230.5,2563.56,2936.86,3470.16,3819.89,4275.87,4657.05,5712.65
Employee Cost,5037.21,4882.73,4694.39,5243.14,5758.75,5914.48,5897.38,6015.01,7193.52,7459.27
Selling and admin,2011.42,2066.78,1650.18,1631.95,1785.21,2615.71,3318.89,3776.27,4616.82,5946.62
Other Expenses,-2110.48,-1942.48,-1473.54,-1544.14,-573.49,2723.27,-1075.99,-1403.86,-3535.25,-2309.45
Other Income,2791.95,2337.68,1187.69,1591.51,5575.55,2817.86,8193.57,5017.35,4808.98,2561.97
Depreciation,4769.99,5564.61,5771.24,6009.91,7459.93,8669.03,10356.16,12450.31,13787.83,14792.27
Interest,3262.87,3668.98,3366.03,3752.8,4446.59,5604.65,8189.01,9224.21,9375.68,11447.15
Profit before tax,14485.76,10456.21,10617.92,13426.33,16154.44,11254.55,21249.52,17389.93,22007.39,23917.47
Tax,3082.36,463.84,-162.81,2712.39,5652.94,-2779.94,9347.54,2420.53,5047.1,6796.12
Net profit,11403.61,9986.34,10801.15,10719.64,10543.95,13736.68,11600.23,14634.63,16675.9,16912.55
Dividend Amount,4741.14,2061.36,2762.23,3941.33,4221.68,6015.89,3116.79,5963.45,6787.67,7030.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,32403.58,33292.61,37085.07,43177.14,44175.03,44601.84,44252.92,43075.09,44983.35,42820.38
Expenses,23423.48,22318.9,25659.23,32381.03,33808.14,31782.94,32310.52,30664.22,32303.16,31458.23
Other Income,1518.18,799,1027.39,729.98,1380.15,747.49,1083.88,994.05,1024.05,2532.46
Depreciation,3314.12,3451.81,3821.19,3541.5,3687.23,3715.08,3848.46,3821.28,4037.68,4073.91
Interest,2211.93,2231.72,2407.56,2476.8,2651.54,3168.18,2859.54,2922.37,2920.51,3250.08
Profit before tax,4972.23,6089.18,6224.48,5507.79,5408.27,6683.13,6318.28,6661.27,6746.05,6570.62
Tax,1281.28,1463.07,1024.97,1530.02,1990.6,1828.77,1446.73,1754.14,2019.65,1361.75
Net profit,3599.26,4498.58,5166.5,3936.82,3338.45,4776.61,4860.67,4873.24,4614.64,5155.28
Operating Profit,8980.1,10973.71,11425.84,10796.11,10366.89,12818.9,11942.4,12410.87,12680.19,11362.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,8245.46,8245.46,8245.46,8245.46,8245.46,9894.56,9894.56,9696.67,9696.67,9696.67
Reserves,79084.26,73848.52,83330.12,89592.56,95318.01,101461.65,108944.6,116041.8,125677.07,137326.5
Borrowings,81454.98,102252,99423.55,113773.2,130048.56,173058.23,202984.31,210207.87,210706.56,221625.97
Other Liabilities,31333.5,35366.06,33665.93,36989.6,48880.23,62508.55,55745.53,62075.45,69751.12,76647.95
Total,200118.2,219712.04,224665.06,248600.82,282492.26,346922.99,377569,398021.79,415831.42,445297.09
Net Block,84207.98,91853.02,92929.36,104531.66,128245.42,150984.53,187802.79,203245.18,224923.02,240424.42
Capital Work in Progress,53824.96,67554.69,75045.53,86895.71,83386.1,118396.86,98508.47,97506.03,91126.26,89179
Investments,3300.42,1901.51,6473.36,7613.92,8875.61,8132.31,9306.59,10589.25,10626.24,13934.79
Other Assets,58784.84,58402.82,50216.81,49559.53,61985.13,69409.29,81951.15,86681.33,89155.9,101758.88
Total,200118.2,219712.04,224665.06,248600.82,282492.26,346922.99,377569,398021.79,415831.42,445297.09
Receivables,6725.66,9249.92,8288.79,8963.89,8812.19,12363.52,20314.59,28199.83,27970.87,28825.22
Inventory,6061.55,8059.7,7144.55,6689.59,6270.88,8513.45,11318.7,10019.64,10370,14453.86
Cash & Bank,17050.67,14251.61,4938.32,3301.46,4387.6,2933.43,3214.29,4387.8,4458.08,4948.53
No. of Equity Shares,8245464400,8245464400,8245464400,8245464400,8245464400,9894557280,9894557280,9696666134,9696666134,9696666134
New Bonus Shares,,,,,,1649092880,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,16530.84,14888.53,24124.87,20166.56,19669.61,18685.65,23889.67,32444.06,41788.23,40051.55
