COMPANY NAME,NATIONAL ALUMINIUM COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,170.75,,,,,,,,,
Market Capitalization,31351.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6780.85,7382.81,6817.66,7543.04,9509.45,11499.32,8471.84,8955.79,14214.58,14254.86
Raw Material Cost,1063.16,1031.59,1104.41,1181.79,1465.31,1919.68,1702.48,1315.43,1971.13,3172.12
Change in Inventory,-58.55,-2.9,8.99,96.59,-47.43,5.08,365.23,5.76,116.83,16.66
Power and Fuel,2038.26,1826.37,1888.79,2236.71,2774.63,2956.49,2996.64,2672.22,3423.05,4728.24
Other Mfr. Exp,733.97,738.91,720.11,714.18,813.72,897.4,869.6,848.27,1243.71,1354.7
Employee Cost,1245.33,1377.91,1398.33,1537.44,2261.2,2072.28,1994.07,1930.24,2386.07,1841.99
Selling and admin,437.61,427.31,444.94,497.04,522.96,543.16,572.83,579.61,601.16,584.41
Other Expenses,67.15,354.09,363.36,392.82,226.75,222.86,212.22,-166.22,155.79,141.98
Other Income,508.34,1070.1,711.33,368.12,1123.73,325.87,272.58,147.42,264.09,235.63
Depreciation,524.73,413.66,426.12,480.36,480.4,476.1,529.83,605.82,836.59,715.8
Interest,202.62,166.75,3.27,2.69,1.95,2.38,5.74,7.08,23.13,12.92
Profit before tax,917.81,2113.42,1188.65,964.72,2038.83,2739.92,226.24,1316.52,3954.87,1954.99
Tax,275.46,791.57,401.54,296.19,696.42,1007.52,88.01,16.99,1002.9,410.5
Net profit,642.35,1321.85,787.11,668.53,1342.41,1732.4,138.23,1299.53,2951.97,1544.49
Dividend Amount,386.59,451.02,515.45,541.22,1101.76,1072.73,279.84,642.82,1193.82,826.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3592.18,3773.26,4350.58,3795.15,3489.57,3297.19,3670.86,3178.36,3043.42,3346.9
Expenses,2464.91,2582.74,2723.72,2915.6,3155.2,2831.62,2904.34,2584.02,2646.91,2573.77
Other Income,42.41,71.99,141.54,52.02,69.26,60.52,55.9,48.52,68.6,50.97
Depreciation,151.79,151.47,384.19,149.65,153.65,157.06,255.44,169.69,186.15,153.79
Interest,1.82,1.91,16.15,3.87,4.1,4.23,0.72,2.26,3.99,2.1
Profit before tax,1016.07,1109.13,1368.06,778.05,245.88,364.8,566.26,470.91,274.97,668.21
Tax,268.37,278.27,342.38,199.41,75.76,90.95,44.38,121.52,68.71,179.74
Net profit,747.7,830.86,1025.68,578.64,170.12,273.85,521.88,349.39,206.26,488.47
Operating Profit,1127.27,1190.52,1626.86,879.55,334.37,465.57,766.52,594.34,396.51,773.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1288.62,1288.62,1288.62,966.46,966.46,932.81,932.81,918.32,918.32,918.32
Reserves,10833.83,11508.68,11906.13,9239.33,9538.35,9551.7,9055.26,9762.38,11636.32,12320.13
Borrowings,,,,51.09,44.99,66.79,12.31,102.08,77.1,104.61
Other Liabilities,4426.33,3380.37,3515.44,4244.77,4064,4595.66,4549.24,3927.8,4857.09,4395.63
Total,16548.78,16177.67,16710.19,14501.65,14613.8,15146.96,14549.62,14710.58,17488.83,17738.69
Net Block,6791.94,6645.42,6595.68,7144.43,7139.46,7285.78,7484.77,7660.46,7343.21,7302.83
Capital Work in Progress,768.74,549.73,687.7,566,915.22,882.71,1426.7,1575.45,2234.82,3268.92
Investments,1245.04,951.04,1010.36,1260.68,710.57,256.59,332.26,561.63,377.26,470.83
Other Assets,7743.06,8031.48,8416.45,5530.54,5848.55,6721.88,5305.89,4913.04,7533.54,6696.11
Total,16548.78,16177.67,16710.19,14501.65,14613.8,15146.96,14549.62,14710.58,17488.83,17738.69
Receivables,243.57,120.82,235.21,184.25,258.13,240.52,140.09,147.39,75.25,91.33
Inventory,1173.93,1165.56,1055.01,1155.93,1194.08,1210.01,1696.9,1476.32,1645.6,1840.22
Cash & Bank,4048.29,4627.98,5103.15,2287.23,2768.95,3496.35,1980.53,1749.78,3706.07,2117.5
No. of Equity Shares,2577238500,2577238512,2577238512,1932928884,1932928884,1865617498,1865617498,1836631787,1836631787,1836631787
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,981.34,520.47,880.81,1435.94,1590.33,2408.85,-348.56,2199.4,4049.61,908.24
Cash from Investing Activity,78.05,565.72,313.96,1550.34,-490.16,-531.85,872.72,-1403.7,-2735.92,-334.25
Cash from Financing Activity,-515.48,-506.5,-544.03,-3615.87,-1099.65,-1730.75,-677.29,-600.65,-1114.41,-923.5
