COMPANY NAME,NATIONAL FERTILIZER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,96.3,,,,,,,,,
Market Capitalization,4726.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8011.76,8514.15,7757.24,7600.08,8942.54,12429.13,13135.36,11905.66,15857.09,29616.52
Raw Material Cost,4389.14,4186.17,3900.52,3403.7,4245.33,7482.61,6600.54,5589.67,10991.75,20394.64
Change in Inventory,-67.73,-84.31,246.3,49.57,-6.7,1019.05,-413.1,-760.61,1820.26,826.42
Power and Fuel,2439.38,2609.35,2440.57,2229.04,2414.92,3138.6,3129.76,2573.95,4068.83,6476.02
Other Mfr. Exp,67.05,642.79,81.59,272.58,252.77,292.21,324.94,307.44,349.92,374.49
Employee Cost,417.47,475.49,457.32,488.16,724.89,556.16,599.49,626.4,649,659.42
Selling and admin,473.86,105.99,535.66,652.95,715.15,910.21,1147.27,1049.17,974.92,1188.03
Other Expenses,19.72,25.54,27.9,44.39,44.08,51.41,57.88,81.69,52.01,272.82
Other Income,37.41,37.13,46.53,44.59,61.84,51.52,-331.45,33.34,25.61,192.62
Depreciation,129.17,72.56,86.66,85.17,73.3,285.03,374.43,312.27,334.55,352.84
Interest,206.81,304.36,231.43,193.37,192.41,320.1,409.21,294.34,137.16,307.53
Profit before tax,-161.16,44.72,288.42,324.88,334.83,463.37,-252.71,343.46,144.82,609.77
Tax,-71.45,18.48,89.8,116.72,122.06,164.92,-81.7,93.83,36.62,153.67
Net profit,-89.71,26.24,198.62,208.16,212.77,298.45,-171.01,249.63,108.2,456.1
Dividend Amount,,8.34,59.36,,,91.25,46.61,,,136.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3690.55,5091.71,4442.29,6454.65,6753.66,10137.34,6267.84,5048.2,5659.64,7580.93
Expenses,3510.61,4969.65,4261.48,6174.04,6571.87,9200.32,6598.66,5059.77,5714.29,7265.77
Other Income,10.64,7.89,6.39,7.68,10.92,33.05,144,11.55,31.56,17.35
Depreciation,82.26,84.67,85.46,86.99,87.3,89.63,88.92,87.11,90.43,92.42
Interest,33.67,33.73,38.09,51.2,72.7,94.11,83.63,104.22,39.31,49.86
Profit before tax,74.65,11.55,63.65,150.1,32.71,786.33,-359.37,-191.35,-152.83,190.23
Tax,18.88,2.91,15.48,38.5,7.96,197.71,-90.5,-47.42,-39.73,50.21
Net profit,55.77,8.64,48.17,111.6,24.75,588.62,-268.87,-143.93,-113.1,140.02
Operating Profit,179.94,122.06,180.81,280.61,181.79,937.02,-330.82,-11.57,-54.65,315.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,490.58,490.58,490.58,490.58,490.58,490.58,490.58,490.58,490.58,490.58
Reserves,1003.41,990.42,1200.17,1336.06,1496.82,1728.44,1430.36,1680.86,1823.59,2283.25
Borrowings,7557.76,7644.79,6123.62,4134.61,3060.71,6463.6,8102.61,1891.73,3172.3,3992.24
Other Liabilities,4702.37,4331.71,4206.59,4222.56,4581.93,5231.21,4560.53,4382.1,5243.53,6001.5
Total,13754.12,13457.5,12020.96,10183.81,9630.04,13913.83,14584.08,8445.27,10730,12767.57
Net Block,4682.24,4443.31,4258.6,4058.53,4079.53,3993.45,3725.58,3615.07,4229.54,3968.68
Capital Work in Progress,13.88,39,32.62,50.57,64.26,133.38,656.3,862.43,138.49,177.71
Investments,0.03,2.47,15.47,125.47,218.72,273.72,341.56,447.65,491.48,491.48
Other Assets,9057.97,8972.72,7714.27,5949.24,5267.53,9513.28,9860.64,3520.12,5870.49,8129.7
Total,13754.12,13457.5,12020.96,10183.81,9630.04,13913.83,14584.08,8445.27,10730,12767.57
Receivables,4629.31,5028.95,4802.77,4267.43,3924.38,7155.76,7735.33,2634.09,2808.46,4118.53
Inventory,420.12,287.51,485.6,576.96,527.57,1587.72,1278.21,439.86,2257.23,3072.05
Cash & Bank,4.45,5.22,6.97,8.3,9.82,19.06,22.2,42.22,28.82,15.66
No. of Equity Shares,490578400,490578400,490578400,490578400,490578400,490578400,490578400,490578400,490578400,490578400
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-1608.43,303.67,1849.99,2453.16,1661.15,-2698.61,-309.14,7033.8,-826.03,-335.36
Cash from Investing Activity,-132.63,-88.57,-88.4,-201.7,-345.79,-314.33,-819.79,-509.23,-332.51,-203.52
Cash from Financing Activity,1739.47,-214.33,-1759.97,-2250.29,-1313.98,3022.07,1131.86,-6504.77,1144.94,525.61
