COMPANY NAME,NAVA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,495.95,,,,,,,,,
Market Capitalization,7195.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1727.56,1813.82,1612.5,1350.29,2347.78,2946.04,2758.72,2548.5,3347.66,3528.15
Raw Material Cost,909.06,1103.56,811.41,700.62,964.56,898.53,791.21,544.8,897.25,1100.94
Change in Inventory,-16.16,30.31,-9.46,32.52,-59.62,-59.48,6.37,3.85,-14.2,141.7
Power and Fuel,21.94,20.48,15.47,14.69,14.29,21.36,13.32,14.92,13.24,16.19
Other Mfr. Exp,114.46,128.7,176.84,182.07,209.36,265.21,306.55,288.12,379.47,504.69
Employee Cost,104.19,106.68,112.69,131.67,147.86,160.69,161.99,161.34,198.79,215.12
Selling and admin,72.39,85.4,92.66,122.32,123.97,111.48,103.93,108.42,157.04,201.7
Other Expenses,31.74,88.99,27.61,44.5,35.14,68.56,202.21,368.98,368.66,62.54
Other Income,92.31,113.37,84.86,134.57,69.39,34.72,11.95,249.93,210.78,400.44
Depreciation,111.94,78.76,83.71,90.4,228.42,276.28,288.65,299.78,295.32,306.21
Interest,126.27,111.68,87.68,72.17,246.34,362.09,318.77,348.15,338.08,397.18
Profit before tax,311.72,233.25,279.83,158.94,387.61,757.08,590.41,667.77,896.39,1265.72
Tax,35.49,24.22,-16.73,66.08,109.64,418.06,59.66,117.1,323.11,44.03
Net profit,279.91,206.04,283.64,87,238.02,276.19,395.46,423.24,517.7,927.67
Dividend Amount,44.68,44.68,26.8,17.86,26.8,26.8,26.44,37,87.09,87.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,823.35,949.92,1016.47,1025.02,741.68,880.01,881.44,1042.28,921.99,929.95
Expenses,485.29,541.78,613.74,562.36,470.69,480.6,534.22,506.03,562.89,519.76
Other Income,-49.05,24.99,173.69,89.09,141.35,141.53,116.85,37.09,40.31,180.4
Depreciation,72.6,74.38,76.29,75.11,74.74,78.09,78.27,77.69,77.98,80.55
Interest,88.5,84.24,82.67,89.3,107.61,109.56,90.7,80.08,95.35,46.35
Profit before tax,127.91,274.51,417.46,387.34,229.99,353.29,295.1,415.57,226.08,463.69
Tax,143.67,83.58,57.81,48.35,51.57,-9.51,-46.37,72.83,32.86,-1.34
Net profit,31.1,168.56,272.61,298.61,137.36,245.04,246.66,261.06,148.28,328.21
Operating Profit,338.06,408.14,402.73,462.66,270.99,399.41,347.22,536.25,359.1,410.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.87,17.87,17.87,35.73,35.73,35.73,35.26,29.6,29.03,29.03
Reserves,3009.47,2894.05,3204.59,3126.51,3348.95,3653.46,4149.89,4381.87,4924.21,5996.39
Borrowings,1178.32,1537.91,3707.63,4388.64,4007.6,3437.64,3491.92,3392.2,3586.92,3074.45
Other Liabilities,739.28,1462.59,792.4,889.95,838,1212.91,1605.45,1831.84,2160.78,2014.16
Total,4944.94,5912.42,7722.49,8440.83,8230.28,8339.74,9282.52,9635.51,10700.94,11114.03
Net Block,2047.52,2065.01,2156.18,2147.76,6143.11,5964.51,6019.05,5639.36,5546.28,5663.69
Capital Work in Progress,1320.98,2246.51,3573.99,3969.29,9.69,6.22,16.86,16.62,16.63,47.45
Investments,177.23,105.73,57.33,410.99,174.89,155.17,124.21,314.09,529.02,449.58
Other Assets,1399.21,1495.17,1934.99,1912.79,1902.59,2213.84,3122.4,3665.44,4609.01,4953.31
Total,4944.94,5912.42,7722.49,8440.83,8230.28,8339.74,9282.52,9635.51,10700.94,11114.03
Receivables,111.05,135.32,208.44,166.23,725.5,1378.48,2193.43,914.24,1074.99,2337.19
Inventory,538.66,631.78,406.77,399.78,404.28,419.67,398.63,295.34,370.67,688.42
Cash & Bank,198.22,165.76,662.34,646.55,318.55,248.85,291.57,359.14,342.08,435.52
No. of Equity Shares,89350741,89350741,89352741,178638482,178638482,178638482,176217020,147921828,145100638,145100638
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,716.19,890.86,-126.02,38.9,200.83,824.45,526.52,757.68,608.17,1223.44
Cash from Investing Activity,-1167.53,-866.24,-1379.63,-689.52,267.4,1.3,7,-216.01,-212.35,28.02
Cash from Financing Activity,47.96,-57.09,2016.07,647.58,-813.13,-877.61,-481.57,-473.05,-415,-1184.29
Net Cash Flow,-403.38,-32.46,510.42,-3.04,-344.91,-51.86,51.95,68.61,-19.19,67.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
