COMPANY NAME,NAVIN FLUORINE INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3222.2,,,,,,,,,
Market Capitalization,15976.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,591.51,679.67,741.5,912.69,995.94,1061.55,1179.39,1453.36,2077.4,2065.01
Raw Material Cost,290.5,312.28,334.2,376.62,443.51,478.68,522.26,642.06,896.03,911.71
Change in Inventory,1.46,1.17,31.33,-1.12,-3.12,24.78,11.57,10.26,29.37,-23.72
Power and Fuel,42.22,41.46,44.98,52.4,56.66,51.42,53.89,75.63,134.54,
Other Mfr. Exp,48.76,52.23,89.73,97.66,99.69,102.74,105.58,139.25,165.84,
Employee Cost,74.08,80.61,92.21,110.92,115.9,131.12,142.04,182,249.91,285.84
Selling and admin,43.25,52.59,25.06,23.78,19.5,19.34,21.66,28.83,34.15,
Other Expenses,21.68,23.21,27.28,30.24,38.61,35.21,36.1,40.2,75.96,445.46
Other Income,29.24,23.37,55.27,87.51,33.8,28.99,94.41,38.38,35.7,107.98
Depreciation,20.12,22.49,29.92,39.78,27.51,37,44.17,47.9,62.64,96.16
Interest,3.33,3.78,2.7,1.19,0.83,2,1.84,1.9,27.52,74.56
Profit before tax,78.27,115.56,182.02,266.49,224.41,257.81,357.83,344.23,495.88,335.54
Tax,20.02,32.05,45.05,84.03,76.97,-143.56,110.78,81.15,120.69,65.03
Net profit,54.56,83.5,136.6,179.78,149.1,408.59,257.52,263.07,375.18,270.5
Dividend Amount,15.63,20.56,30.84,49.35,38.57,54.45,54.45,54.5,59.46,34.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,378.95,408.94,397.52,419.2,563.58,697.1,491.15,471.79,500.12,601.95
Expenses,280.37,314.68,298.39,325.37,408,495.33,376.93,373.45,424.45,491.9
Other Income,7.48,12.4,10.91,10.9,9.92,4,8.3,23.11,64.05,12.52
Depreciation,12.13,11.89,12.37,17.66,25.01,7.6,21.32,24.25,24.88,25.71
Interest,0.37,0.63,0.29,4.02,9.2,14.01,19.43,20,17.69,17.44
Profit before tax,93.56,94.14,97.38,83.05,131.29,184.16,81.77,77.2,97.15,79.42
Tax,24.77,18.98,22.93,25.24,24.73,47.79,20.24,16.62,19.13,9.04
Net profit,68.79,75.15,74.45,57.81,106.56,136.36,61.53,60.58,78.02,70.37
Operating Profit,98.58,94.26,99.13,93.83,155.58,201.77,114.22,98.34,75.67,110.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,9.77,9.79,9.79,9.87,9.89,9.9,9.9,9.91,9.91,9.91
Reserves,577.89,635.56,825.39,973.61,1062.56,1402.28,1624.01,1834.31,2175.04,2372.76
Borrowings,61.3,81.65,18.52,12.66,4.14,1.4,25.06,120.82,860.8,1368.46
Other Liabilities,202.99,227.88,323.69,259.45,230.6,214.95,238.56,420.44,483.54,625.87
Total,851.95,954.88,1177.39,1255.59,1307.19,1628.53,1897.53,2385.48,3529.29,4377
Net Block,273.85,374.63,561.46,427.64,430.18,528.76,540.15,556.1,1645.88,1874.6
Capital Work in Progress,60.39,20.42,16.83,20.09,39.33,38.85,94.87,742.1,278.58,711.09
Investments,171.32,169.91,238.92,428.33,427.44,195.4,99.08,118.11,43.81,494.82
Other Assets,346.39,389.92,360.18,379.53,410.24,865.52,1163.43,969.17,1561.02,1296.49
Total,851.95,954.88,1177.39,1255.59,1307.19,1628.53,1897.53,2385.48,3529.29,4377
Receivables,119.86,150.6,137.59,155.6,172.73,218.49,284.11,357.66,561.52,512.51
Inventory,76.06,75.53,112.75,113.83,111.91,157.88,180.35,257.54,468.12,371.65
Cash & Bank,28.07,28.68,41.83,37.44,36.99,277.87,543.87,95.83,34.81,27.54
No. of Equity Shares,9769797,9787297,48956485,49350810,49457165,49484320,49503220,49553150,49571170,
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,0.99,75.95,92.39,169.37,90.15,156.64,237.27,74.76,-63.59,749.89
Cash from Investing Activity,3.42,-52.65,-15.56,-136.28,-24.32,85.14,-237.1,-172.37,-655.62,-1093.45
Cash from Financing Activity,-21.34,-17.28,-67.08,-38.97,-68.34,-80.92,-45.05,41.5,657.94,335.73
Net Cash Flow,-16.94,6.02,9.75,-5.88,-2.51,160.86,-44.88,-56.11,-61.27,-7.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,167.11,337.74,608.65,772.85,707.6,1221.65,2755,4082.2,4270.6,3114.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
