COMPANY NAME,NAZARA TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,4,,,,,,,,,
Current Price,615.25,,,,,,,,,
Market Capitalization,4708.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,211.16,190.16,172.04,169.7,247.51,454.2,621.7,1091
Raw Material Cost,,,,,,,,,1.2,72.5
Change in Inventory,,,,,,,,,1.2,18.3
Power and Fuel,,,,,0.22,0.36,0.43,,,
Other Mfr. Exp,,,22.42,19.91,12.9,45.49,51.62,54.2,140.4,397.9
Employee Cost,,,23.24,25.38,37.2,41.48,31.96,48.9,88.3,149.3
Selling and admin,,,81.63,65.98,60.17,49.27,164.28,296.7,284.7,364.6
Other Expenses,,,7.83,17.74,12.91,17.7,6.69,15.6,22.3,22.6
Other Income,,,7.84,12.09,-25.81,16.4,15.46,14.2,24.1,47.4
Depreciation,,,0.95,1.16,8.22,19.54,26.32,35.5,39,57.1
Interest,,,0.42,0.29,1.83,1.38,1.24,0.9,1.2,5.9
Profit before tax,,,82.51,71.79,12.78,10.88,-19.57,16.6,69.9,86.8
Tax,,,17.99,10.76,11.77,4.16,7.19,3,19.2,25.4
Net profit,,,64.52,61.03,2.67,17.51,-2.13,9.2,28.4,39.4
Dividend Amount,,,19.9,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,129.6,185.8,175.1,223.1,263.8,314.83,289.32,254.43,297.24,320.4
Expenses,110.8,156.7,162.2,193,250.1,284.82,264.53,221.41,270.56,284.07
Other Income,5.6,4,9.6,6.6,23.7,11.51,8.18,11.74,13.98,18.38
Depreciation,8.6,10.7,11.3,13.6,10.3,14.92,16.04,15.21,15.08,15.2
Interest,0.1,,0.4,0.4,0.9,0.49,2.92,1.28,2.66,2.04
Profit before tax,15.7,22.4,10.8,22.7,26.2,26.11,14.01,28.27,22.92,37.47
Tax,0.4,5.3,5.9,6.2,8.8,5.99,4.64,7.41,-1.26,7.95
Net profit,10.4,10.3,2.2,11.5,10.2,16.41,2.57,19.5,19.82,25.77
Operating Profit,18.8,29.1,12.9,30.1,13.7,30.01,24.79,33.02,26.68,36.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,1.99,1.99,10.79,10.99,11.2,12.2,13,26.5
Reserves,,,156.49,221.48,341.03,396.12,489.87,646,1028.3,1078.4
Borrowings,,,,,8.3,9.36,8.04,1.3,4.3,38.2
Other Liabilities,,,41.41,41.87,104.82,92.23,242.52,358.6,358.3,555
Total,,,199.89,265.34,464.94,508.7,751.63,1018.1,1403.9,1698.1
Net Block,,,1.97,1.83,152.47,137.06,326.77,296.1,424,582.9
Capital Work in Progress,,,0.36,0.14,0.61,0.68,6.32,2.4,1.1,0.2
Investments,,,55.22,76.66,98.34,127.49,58.3,118.2,441.8,332
Other Assets,,,142.34,186.71,213.52,243.47,360.24,601.4,537,783
Total,,,199.89,265.34,464.94,508.7,751.63,1018.1,1403.9,1698.1
Receivables,,,33.44,25.95,43.1,44.73,68.11,68.6,84.7,153.6
Inventory,,,,,,,,,1.3,24.6
Cash & Bank,,,76.34,113.83,117.49,133.27,186.7,372.4,322.8,329.2
No. of Equity Shares,,,1989246,1989246,26972619,27471969,27996663,30452836,32621227,66174092
New Bonus Shares,,,,,19925088,,,,,
Face value,,,10,10,4,4,4,4,4,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,59.14,56.79,3.17,19.23,-2.21,67.9,62.1,8.1
Cash from Investing Activity,,,-5.68,-61.38,-16.54,-60.49,17.67,-270.6,-328.7,-88.9
Cash from Financing Activity,,,-20.31,,37.12,5.94,3.37,217,334.7,14.8
Net Cash Flow,,,33.15,-4.6,23.75,-35.32,18.83,14.3,68.1,-66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,733.15,819.15,516.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.4,0.4,5.39,5.49,5.6,6.09,6.52,6.62
