COMPANY NAME,NETWEB TECHNOLOGIES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1984.95,,,,,,,,,
Market Capitalization,11151.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,129.85,156.01,142.79,247.03,444.97,724.08
Raw Material Cost,,,,,104.58,129.48,118.63,178.1,325.24,563.81
Change in Inventory,,,,,-0.25,2.05,12.47,-8.36,0.88,19.27
Power and Fuel,,,,,0.18,,,,,
Other Mfr. Exp,,,,,0.44,1.62,1.36,0.98,1.37,
Employee Cost,,,,,9.09,10.78,12.74,15.21,29.46,50.04
Selling and admin,,,,,4.44,7.6,7.92,8.61,17.03,
Other Expenses,,,,,4.28,0.51,0.23,1.17,2.74,26.97
Other Income,,,,,0.16,1.22,1.5,0.91,0.68,11.89
Depreciation,,,,,0.99,1.34,1.45,1.64,3.66,6.25
Interest,,,,,1.87,2.63,3.33,3.64,4.07,6.21
Profit before tax,,,,,3.89,5.32,11.1,30.23,62.96,101.96
Tax,,,,,1.21,1.42,2.87,7.78,16.03,26.06
Net profit,,,,,2.68,3.91,8.23,22.45,46.94,75.9
Dividend Amount,,,,,,,,,2.55,11.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,69.31,73.71,178.56,123.39,59.8,144.98,253.4,265.89
Expenses,,,59.92,60.34,147.4,108.23,51.17,125.75,219.15,225.47
Other Income,,,0.1,0.16,0.12,1.23,0.42,3.02,4.51,3.94
Depreciation,,,0.67,0.75,1,1.23,1.29,1.43,1.81,1.73
Interest,,,1.24,0.59,1.24,1,0.96,0.62,1.8,2.83
Profit before tax,,,7.58,12.19,29.04,14.16,6.8,20.2,35.15,39.8
Tax,,,1.97,3.06,7.37,3.64,1.71,5.07,9.13,10.15
Net profit,,,5.61,9.13,21.68,10.53,5.09,15.14,26.01,29.66
Operating Profit,,,9.39,13.37,31.16,15.16,8.63,19.23,34.25,40.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,5.66,5.66,5.66,5.66,10.19,11.27
Reserves,,,,,4.91,7.99,16.16,38.71,83.48,411.48
Borrowings,,,,,11.25,15.23,30.54,34.49,35.61,9.57
Other Liabilities,,,,,28.95,21.72,57.83,69.75,136.68,180.15
Total,,,,,50.77,50.6,110.19,148.61,265.96,612.47
Net Block,,,,,4.14,6.22,6.59,10.36,23.36,44.19
Capital Work in Progress,,,,,,,,0.52,1.79,0.55
Investments,,,,,,,,,,
Other Assets,,,,,46.63,44.38,103.6,137.73,240.81,567.73
Total,,,,,50.77,50.6,110.19,148.61,265.96,612.47
Receivables,,,,,30.42,17.62,55.75,77.81,151.53,183.83
Inventory,,,,,8.23,11.23,29.22,38.32,54.07,114.66
Cash & Bank,,,,,4.15,6.62,7.16,7.54,13.61,221.61
No. of Equity Shares,,,,,5658220,5658220,5658220,5658220,50923980,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,3.06,2.91,-9.87,5.19,27.13,18.37
Cash from Investing Activity,,,,,-1.41,-2.89,-1.87,-5.47,-14.02,-144.58
Cash from Financing Activity,,,,,-1.76,0.86,11.76,0.28,-8.05,208.8
Net Cash Flow,,,,,-0.1,0.88,0.03,,5.07,82.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,1607.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.57,0.57,0.57,0.57,5.09,5.64
