COMPANY NAME,NETWORK 18 MEDIA & INVESTMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,77.55,,,,,,,,,
Market Capitalization,8108.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3126.57,1527.29,1491.04,1839,5116.18,5357.15,4705.11,5880.19,6222.99,9297.45
Raw Material Cost,5.78,2.98,2.59,2.01,2.35,3.22,0.94,0.26,0.12,
Change in Inventory,0.09,,,,,,,,,
Power and Fuel,27.66,21.67,24.05,22.23,29.91,29.2,22.18,19.6,23.1,
Other Mfr. Exp,1076.79,209.93,285.02,274.99,343.28,347.89,273.3,340.86,419.07,
Employee Cost,569.95,479.64,494.06,571.98,1097.5,1033.61,956.17,1040.81,1208.89,1315.48
Selling and admin,1203.93,720.24,811.54,920.55,3355.79,3248.13,2553.89,3337.59,4361.41,1740.96
Other Expenses,409.57,39.84,29.66,83.98,219.72,124.18,126.6,59.75,73.1,6905.18
Other Income,-734.66,97.6,54.79,110.32,42.24,-17.22,43.67,74.09,183.33,807.63
Depreciation,75.19,57.72,79.9,88.74,142.05,174.63,146.81,119.54,127.74,210.06
Interest,113.18,66.82,80.17,96.24,198.47,235.87,157.12,96.6,208.87,322.39
Profit before tax,-1090.05,26.05,-261.16,-111.4,-230.65,143.2,511.77,939.27,-15.98,-388.99
Tax,38.98,16.44,9.63,61.93,-53.05,87.06,-34.82,101.62,-0.23,7.8
Net profit,-1059.91,96.21,-233.44,-153.93,-302.97,-236.61,32.28,207.54,-84.27,-253.75
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1657.43,1621.09,1339.89,1548.89,1850.49,1483.72,3238.94,1865.5,1773.73,2419.28
Expenses,1284.32,1355.3,1293.69,1516.66,1848.79,1426.53,3323.36,2083.82,1945.44,2609
Other Income,34.02,27.25,49.39,15.06,83.85,35.01,220.84,223.56,186.91,176.32
Depreciation,29.96,28.29,27.7,29.73,34.07,36.24,40.67,56.79,43.23,69.37
Interest,23.35,25.81,28.39,45.57,56.15,78.76,68.29,66.16,73.86,114.08
Profit before tax,353.82,238.94,39.5,-28.01,-4.67,-22.8,27.46,-117.71,-101.89,-196.85
Tax,46.88,29.01,0.04,0.83,-13.49,12.39,-1.71,-6.54,5.98,10.07
Net profit,97.1,61.85,-3.32,-36.49,-7.68,-36.78,-38.73,-60.99,-58.08,-95.95
Operating Profit,373.11,265.79,46.2,32.23,1.7,57.19,-84.42,-218.32,-171.71,-189.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,523.42,517.68,517.68,517.68,517.68,517.68,517.68,517.68,517.68,517.68
Reserves,1096.64,1358.81,765,615.52,293.13,-1.47,28.9,237.08,157.38,6450.37
Borrowings,1001.07,782.2,1307.1,2203.34,3045.35,3265.21,2554.17,2284.35,6068.98,8155.89
Other Liabilities,3079.84,2928.81,2456.63,4172.4,4594.07,4834.45,5155.76,6101.29,7236.13,25009.64
Total,5700.97,5587.5,5046.41,7508.94,8450.23,8615.87,8256.51,9140.4,13980.17,40133.58
Net Block,2626.89,1679.7,1765.93,2906.71,2867.83,2973.36,2929.43,2875.94,3054.58,15456.99
Capital Work in Progress,18.61,16.35,4.55,25.49,47.3,86.66,125.79,258.96,916.39,103.61
Investments,739.06,2681.23,2182.34,669.21,922.77,796.01,770.85,868.78,958.06,4188.08
Other Assets,2316.41,1210.22,1093.59,3907.53,4612.33,4759.84,4430.44,5136.72,9051.14,20384.9
Total,5700.97,5587.5,5046.41,7508.94,8450.23,8615.87,8256.51,9140.4,13980.17,40133.58
Receivables,616.91,357.31,317.31,1285.24,1302.15,1543.43,1278.6,1153.25,1297.33,1759.81
Inventory,409.16,10.27,2.44,1343.66,1904.58,2036.67,1885.81,2588.5,5891.47,10209.98
Cash & Bank,309.92,58.46,29.71,194.6,189.18,118.01,330.16,341.97,230.31,4832.77
No. of Equity Shares,1046848519,1035361757,1035361757,1035361757,1035361757,1035361757,1035361757,1035361757,1035361757,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-99.4,87.23,-177.69,89.63,-203.66,78.01,1345.55,641.32,-2804.15,-6464.93
Cash from Investing Activity,134.74,-140.28,-362.34,-56.89,-444.71,-86.41,-84.62,-248.55,-718.05,-5168.89
Cash from Financing Activity,-80.57,-5.5,518.3,130.81,645.4,-62.47,-1048.52,-380.91,3411.3,1138.59
Net Cash Flow,-45.24,-58.54,-21.73,163.55,-2.97,-70.87,212.41,11.86,-110.9,-10495.23
,,,,,,,,,,
,,,,,,,,,,
