COMPANY NAME,NEULAND LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,7146.85,,,,,,,,,
Market Capitalization,9181.89,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,465.69,469.15,509.97,578.89,527.41,666.83,762.71,936.91,951.08,1191.2
Raw Material Cost,246.44,266.42,259.57,272.33,283.36,363.03,394.41,443.04,441.79,491.98
Change in Inventory,-0.13,22.43,6.11,7.31,42.72,-5.8,11.16,1.24,15.41,9.51
Power and Fuel,18.31,22.53,22.24,25.78,25.95,26.81,32.75,39.21,42.21,48.62
Other Mfr. Exp,30.12,35.31,30.6,42.78,53.27,47.51,61.79,73.71,84.92,82.69
Employee Cost,42.2,52.05,65.75,93.04,103.14,110.46,124,150.34,183.11,203.15
Selling and admin,49.35,41.23,51.44,39.15,47.2,46.15,45.98,73.33,62.57,79.44
Other Expenses,8.39,7.08,6.03,6.66,6.6,8.57,13.06,11.43,7.46,22.12
Other Income,3.3,0.44,1.78,1.04,4.36,3.36,3.89,15.83,0.27,8.88
Depreciation,14.94,15.32,15.74,19.23,22.1,25.86,31.28,39.68,49.04,52.78
Interest,24.56,27.36,24.48,21.09,18.93,15.66,21.57,17.9,13.5,13.07
Profit before tax,34.55,24.72,42.01,67.18,13.94,20.34,52.92,105.34,82.16,215.74
Tax,7.8,8.79,14.93,20.32,1.87,3.9,36.72,24.71,18.34,52.23
Net profit,26.81,15.95,27.32,46.86,12.06,16.44,16.21,80.63,63.82,163.52
Dividend Amount,2.32,1.34,1.79,,,,2.58,6.45,6.45,12.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,257.85,236.47,255.87,221.17,293.71,269.25,407.07,362.99,417.75,392.83
Expenses,215.02,204.04,217,192.56,224.41,215.17,287.21,266.07,280.27,271.57
Other Income,0.29,1.9,0.63,0.51,0.24,0.93,8.06,2.04,3.05,2.1
Depreciation,11.98,12.77,12.45,12.8,13.17,13.34,13.47,13.59,14.51,15.14
Interest,3.56,3.32,2.77,2.86,3.18,2.74,4.29,2.21,4.43,3.74
Profit before tax,27.58,18.24,24.28,13.46,53.19,38.93,110.16,83.16,121.59,104.48
Tax,7.2,5.3,2.49,3.49,14.73,8.39,25.62,21.28,32.34,23.09
Net profit,20.37,12.94,21.78,9.97,38.46,30.55,84.54,61.88,89.25,81.39
Operating Profit,42.83,32.43,38.87,28.61,69.3,54.08,119.86,96.92,137.48,121.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.73,8.95,8.95,8.95,8.95,12.9,12.9,12.9,12.9,12.9
Reserves,116.26,152.42,177.68,536.66,549.09,686.41,697.06,773.56,827.6,981.2
Borrowings,190.1,187.76,182.03,192.11,319.2,231.46,263.74,182.3,240.53,128.45
Other Liabilities,169.39,162.41,155.39,147.86,194.16,199.58,257.28,356.03,302.46,457.21
Total,483.48,511.54,524.05,885.58,1071.4,1130.35,1230.98,1324.79,1383.49,1579.76
Net Block,130.85,123.07,138.77,465.55,474.82,541.5,652.57,715.84,767.36,757.54
Capital Work in Progress,34.56,41.47,40.48,19.6,126.09,104.47,23.75,17.25,20.46,40.57
Investments,7.36,7.39,7.39,7.88,7.9,7.9,7.86,6.9,3.87,0.52
Other Assets,310.71,339.61,337.41,392.55,462.59,476.48,546.8,584.8,591.8,781.13
Total,483.48,511.54,524.05,885.58,1071.4,1130.35,1230.98,1324.79,1383.49,1579.76
Receivables,118.59,128.85,119.11,181.11,193.92,164.02,189.89,217.73,234.33,361.77
Inventory,93.42,113.4,126.66,135.11,175.09,192.65,219.55,247.61,265.21,279.23
Cash & Bank,7.07,6.98,9.71,12.49,17.26,37.84,46.98,19.4,20.36,59.1
No. of Equity Shares,7758954,8986530,8986530,8954854,8954854,12933165,12829889,12829889,12829889,12829889
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,48.77,13.17,44.83,38.68,11.27,69.91,57.34,189.36,60.39,237.21
Cash from Investing Activity,-9.84,-14.13,-19.86,-42.12,-116.27,-77.23,-48.6,-84.47,-95.45,-61.09
Cash from Financing Activity,-38.96,1.15,-23.62,-0.09,104.85,11.98,-5.48,-113.66,37.72,-135.8
Net Cash Flow,-0.03,0.19,1.35,-3.52,-0.16,4.65,3.27,-8.77,2.66,40.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,249.09,332.8,703.55,1495,710.7,676.8,282.95,2089.2,1029.15,1804.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
