COMPANY NAME,NEW INDIA ASSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,217.35,,,,,,,,,
Market Capitalization,35843.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10994.13,13353.8,15215.02,20234.39,19797.51,27660.15,28342.97,33066.09,35820.54,41007.35
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,9537.09,11339.58,13341.97,17119.54,17039.38,22759.32,23882.2,24640.62,31145.02,31450.27
Employee Cost,1919.36,2100.4,2451.07,2235.94,2284.15,2919.14,2709.98,4268.1,3000.28,3079.57
Selling and admin,1791.5,2041.89,2325.02,1385.57,2743.34,730.51,1763.45,1277.05,1058.01,4685.75
Other Expenses,1154.92,1625.31,76.76,-48.97,2523.24,1534.68,1050.67,744.75,440.46,512.86
Other Income,4391.69,5487.48,4063.44,1704.49,7601.36,1050.16,2815.72,26.86,87.49,59.74
Depreciation,38.13,27.99,34.41,46.97,74.49,89.66,93.36,102.67,86.65,82.18
Interest,2.29,3.2,3.79,5.55,11.85,,,,,
Profit before tax,942.53,1702.91,1045.44,1194.28,2722.42,677,1659.03,2059.76,177.61,1256.46
Tax,137.6,325.59,115.08,166.31,533.19,72.24,223.37,432.01,-0.3,195.17
Net profit,829.94,1415.87,961.28,1045.98,2189.88,604.71,1442.25,1640.47,194.57,1048
Dividend Amount,220,300,250,310,721,247.2,,,49.44,318.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,9682.19,9468.41,8504.19,8594.52,11589.51,10558.42,10182.36,9900.04,10566.55,11366.01
Expenses,9578.87,8875.02,9233.54,8436.46,11556.45,9667.64,10072.97,9557.13,10813.02,10499.76
Other Income,32.89,1.34,59.01,2.88,4.47,17.09,40.73,-25.11,4.48,0.19
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,136.21,594.73,-670.34,160.94,37.53,907.87,150.12,317.8,-241.99,866.44
Tax,2.78,100.82,-120.54,30.58,-4.4,162.8,6.19,52.14,-46.67,153.44
Net profit,145.79,503,-552.4,133.87,51.28,736.73,126.12,260.23,-176.13,721.5
Operating Profit,103.32,593.39,-729.35,158.06,33.06,890.78,109.39,342.91,-246.47,866.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,200,200,200,200,412,824,824,824,824,824
Reserves,17387.28,20035.05,19426.38,20484.3,24228.42,23302.83,20721.21,24732.3,24980.93,25039.5
Borrowings,,,,,,,,,,
Other Liabilities,36791.36,42725.51,44780.16,49472.95,51093.73,56426.02,55706.73,66913.95,70691.45,72359.38
Total,54378.64,62960.56,64406.54,70157.25,75734.15,80552.85,77251.94,92470.25,96496.38,98222.88
Net Block,223.46,302.46,350.12,399.13,560.18,560.61,557.71,546.92,562.72,563.78
Capital Work in Progress,20.2,,15.2,56.69,33.18,44.62,25.16,15.66,18.07,14.12
Investments,35711.17,45364.68,44971.75,51906.75,56023.9,59800.56,52028.9,67024.83,71318.67,74360.12
Other Assets,18423.81,17293.42,19069.47,17794.68,19116.89,20147.06,24640.17,24882.84,24596.92,23284.86
Total,54378.64,62960.56,64406.54,70157.25,75734.15,80552.85,77251.94,92470.25,96496.38,98222.88
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,9151.46,8445.68,7216.23,8125.73,9181.71,9708.81,11266.88,11786.93,12629.27,12409.92
No. of Equity Shares,200000000,200000000,200000000,200000000,824000000,1648000000,1648000000,1648000000,1648000000,1648000000
New Bonus Shares,,,,,400000000,824000000,,,,
Face value,10,10,10,10,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,847.48,-1605.25,-123.55,425,-1334.01,-967.08,776.89,-4051.5,-5855.35
Cash from Investing Activity,,-1344.84,741.37,1340.41,-493.75,2336.75,2824.95,-333.64,4899.5,5700.76
Cash from Financing Activity,,-208.43,-365.57,-307.35,1124.73,-475.65,-299.8,76.8,-5.66,-64.77
Net Cash Flow,,-705.78,-1229.45,909.5,1055.98,527.1,1558.07,520.05,842.34,-219.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,356.43,189.75,112.3,154.35,111.65,97.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,40,40,40,40,164.8,164.8,164.8,164.8,164.8,164.8
