COMPANY NAME,NUVOCO VISTAS CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,313.2,,,,,,,,,
Market Capitalization,11187.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,5156.98,6094.12,7052.13,6793.24,7488.83,9318.03,10586.17,10732.89
Raw Material Cost,,,1126.75,1295.35,1409.96,1291.38,1079.91,1550.25,1809.28,1887.01
Change in Inventory,,,-27.59,35.06,-34.72,61.36,-126.88,173.99,23.59,-66.69
Power and Fuel,,,847.17,1037.93,1374.13,1225.63,1356.34,2100.85,2792.34,2140.19
Other Mfr. Exp,,,529.54,571.82,492.45,420.43,502.06,647.97,677.77,
Employee Cost,,,289.97,317.5,381.13,404.62,482.03,579.99,605.51,681.77
Selling and admin,,,1560.29,1872.01,2397.12,2174.49,2421.64,3037.52,3436.65,
Other Expenses,,,47.3,45.59,44.94,37.51,59.48,71.84,77.13,4333.52
Other Income,,,11.46,53.71,53.75,33.31,33.84,35.18,-393.29,33.49
Depreciation,,,312.52,391.63,497.9,527.88,793.79,917.96,951.13,918.64
Interest,,,231.17,425.41,456.93,419.22,664.04,569.92,511.9,532.63
Profit before tax,,,196.14,225.65,16.6,386.75,36.5,50.9,-645.24,205.93
Tax,,,30.47,67.58,43.09,137.5,62.45,18.82,-661.1,58.56
Net profit,,,165.67,158.07,-26.49,249.26,-25.95,32.08,15.86,147.37
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2165.24,2930.18,2652.46,2400.62,2604.59,2928.5,2805.5,2572.97,2420.98,2933.44
Expenses,1938.3,2505.25,2282.87,2208.58,2336.28,2548.06,2412.96,2243.02,2010.57,2442.63
Other Income,14.47,14.94,4.66,1.92,4.17,-403.34,9.48,5.95,10.89,7.17
Depreciation,231.14,244.41,232.82,239.51,239.67,239.13,243.69,225.63,231.25,218.07
Interest,141.48,131.47,116.67,124.27,133.51,137.45,134.62,139.88,133.23,124.9
Profit before tax,-131.21,63.99,24.76,-169.82,-100.7,-399.48,23.71,-29.61,56.82,155.01
Tax,-45.67,34.88,4.29,-39.44,-25.41,-600.54,9.25,-31.14,25.79,54.66
Net profit,-85.54,29.11,20.47,-130.38,-75.29,201.06,14.46,1.53,31.03,100.35
Operating Profit,226.94,424.93,369.59,192.04,268.31,380.44,392.54,329.95,410.41,490.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,150,150,200,242.36,315.09,357.16,357.16,357.16
Reserves,,,3798.95,3967.22,4788.27,5036.89,7008.59,8464.06,8481.84,8626.36
Borrowings,,,4314.38,4368.8,4683,4512.79,7791.66,5575.22,4785.14,4403.74
Other Liabilities,,,3022.09,3133.31,3590.44,3652.28,4792.03,5218.35,5363.59,5322.67
Total,,,11285.42,11619.33,13261.71,13444.32,19907.37,19614.79,18987.73,18709.93
Net Block,,,8915.99,8689.51,9894.91,9970.14,15041.6,15409.28,14961.81,15044
Capital Work in Progress,,,143.14,143.81,604.91,647.01,1240.18,399.05,595.88,470.76
Investments,,,412.19,844.37,455.65,0.05,384.22,185.58,0.05,0.83
Other Assets,,,1814.1,1941.64,2306.24,2827.12,3241.37,3620.88,3429.99,3194.34
Total,,,11285.42,11619.33,13261.71,13444.32,19907.37,19614.79,18987.73,18709.93
Receivables,,,444.22,415.15,499.86,511.04,453.9,570.85,601.18,590.68
Inventory,,,361.04,430.2,584.68,603.02,712.37,1068.33,1050.04,946.69
Cash & Bank,,,76.98,38.72,124.71,510.86,527.75,149.09,203.15,106.98
No. of Equity Shares,,,150000000,150000000,200000000,242361787,315089061,357156153,357156153,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,922.22,950.91,860.1,1024.77,1717.34,1220.85,1711.4,1592.54
Cash from Investing Activity,,,-513.19,-601.91,-148.61,-310.14,-2897.8,-190.34,-260.36,-573.36
Cash from Financing Activity,,,-503.49,-387.26,-646.83,-559.05,1419.7,-1420.23,-1361.68,-1114.09
Net Cash Flow,,,-94.46,-38.26,64.66,155.58,239.24,-389.72,89.36,-94.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,394.95,344.9,306.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,45.64,15,20,24.24,31.51,35.72,35.72,35.72
