COMPANY NAME,OIL & NATURAL GAS CORPN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,265.25,,,,,,,,,
Market Capitalization,333752.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,174120.87,160922.64,124035.71,282506.11,322705.76,421623.93,396727.91,303848.91,491246.24,632291.18
Raw Material Cost,72652.85,61912.64,36666.93,175376.73,202298.51,275523.61,269975.37,205913.12,225616.93,266120.04
Change in Inventory,528.54,-1722.92,-756.02,4784.69,8.17,3095.62,-1145.56,10047.09,2303.07,-2566.08
Power and Fuel,4366.71,876.3,1182.38,1957.93,2177.5,2139.73,2078.92,1980.44,2239.16,2174.44
Other Mfr. Exp,7395.99,8171.9,9085.95,16260.06,18372.26,19178.34,20949.65,19726.55,136419.7,222102.21
Employee Cost,10256.5,9361.34,9230.17,15128.16,14970.72,15850.5,15531.26,14135.12,15235.74,14898.79
Selling and admin,42686.59,41281.42,35735.31,36378.9,34331.58,39621.44,29357.66,23004.08,36347.61,44365.47
Other Expenses,-11838.99,-4716.2,-7755.68,-10614.65,-6325.7,-2413.06,5584.51,-336.75,-2183.42,4537.16
Other Income,7170.25,5954.76,1067.26,12724.18,10429.39,9567.1,981.69,11270.51,6796.72,-29.82
Depreciation,16262.28,18032.97,16384.06,20219.2,23111.91,23703.7,26634.88,25538.47,26883.16,24557.06
Interest,624.33,2863.75,3765.58,3591.11,4999.04,5836.73,7489.34,5079.03,5696.04,7889.36
Profit before tax,39413.4,27370.36,20052.25,41717.54,39207.5,54845.66,18962.45,30126.45,54091.11,43050.75
Tax,12760.38,9697.41,6950.7,12548.42,13139.52,20907.65,7506.19,8766.2,4797.04,10273.15
Net profit,26506.53,18333.52,12875.21,24419.25,22105.93,30546.04,10803.6,16304.4,45522.11,35440.48
Dividend Amount,8127.74,8127.74,7272.19,9689.11,8469.95,8806.21,6290.15,4528.9,13209.29,14152.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,122065.72,145672.96,155948.99,182893.75,168656.12,169212.63,164066.72,163823.59,146873.73,165569.06
Expenses,104269.86,124305.59,131900.43,164040.97,155310.59,147345.52,144593.06,133716.78,118618.42,145545.03
Other Income,1912.8,2881.76,606.59,1618.78,2314.59,2807.3,-4782.58,3069.28,3232.99,4130.39
Depreciation,6230.43,6849.53,7380.32,6611.09,4442.76,6784.01,6719.19,7072.34,6698.06,7093.92
Interest,1376.56,1388.5,1490.92,1639.88,1992.94,2188.43,2068.11,2363.94,2603.34,2544.12
Profit before tax,12101.67,16011.1,15783.91,12220.59,9224.42,15701.97,5903.78,23739.81,22186.9,14516.38
Tax,-6647.49,4374.43,3722.47,3639.84,2394.26,4036.73,202.32,6356.84,5633.58,3767.92
Net profit,18055,10931.61,10550.29,11936.64,8299.37,11488.99,3715.48,14133.91,13734.11,10356.44
Operating Profit,17795.86,21367.37,24048.56,18852.78,13345.53,21867.11,19473.66,30106.81,28255.31,20024.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,4277.76,4277.76,4277.76,6416.63,6416.63,6290.15,6290.15,6290.14,6290.14,6290.14
Reserves,167873.77,176176.64,193535.88,187968.59,197602.3,210644.5,198814.45,214690.85,253212.77,274357.16
Borrowings,49112.75,53944.47,45500.17,80029.27,106549.94,107741.69,129472.52,133186.92,121985.86,142254.81
Other Liabilities,103711.43,103447.69,98458.57,170110.83,148663.53,167666.95,173786.92,187579.74,201770.75,190212.41
Total,324975.71,337846.56,341772.38,444525.32,459232.4,492343.29,508364.04,541747.65,583259.52,613114.52
Net Block,64655.28,88928.03,46385.25,81510.27,82969.91,86011.31,103847.82,104465.51,111049.81,119835.81
Capital Work in Progress,72033.68,63393.37,57668.48,59042.48,61511.87,69056.44,83832.4,100308.82,106719.23,113944.61
Investments,4745.9,4749.14,33386.85,70745.67,67334.61,66908.92,56755.18,60320.36,66642.14,78872.61
Other Assets,183540.85,180776.02,204331.8,233226.9,247416.01,270366.62,263928.64,276652.96,298848.34,300461.49
Total,324975.71,337846.56,341772.38,444525.32,459232.4,492343.29,508364.04,541747.65,583259.52,613114.52
Receivables,16029,18815.82,8331.71,12547.12,13899.17,15396.46,9173.41,16015.83,19187.28,18751.58
Inventory,15551.08,11354.86,10761.97,30555.38,31253.57,35949.41,34065.12,45735.85,55360.27,45238.45
Cash & Bank,24480.13,16096.92,24689.04,13212.64,5062.84,4819.66,9640.24,7192.26,6840.94,29140.33
No. of Equity Shares,8555528060,8555520120,8555520120,12833265180,12833265180,12580309206,12580309206,12580279206,12580279206,12580279206
New Bonus Shares,,,,4277745060,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
