COMPANY NAME,OLECTRA GREENTECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,4,,,,,,,,,
Current Price,1613.35,,,,,,,,,
Market Capitalization,13235.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,92.15,92.96,104.89,161.49,170.11,200.52,281.38,593.26,1090.76,1154.14
Raw Material Cost,58.35,56.08,66.8,157.84,114.91,119.89,156.72,414.1,845.94,854.79
Change in Inventory,0.22,-1.02,0.89,46.99,-13.36,12.23,-22.32,-7.87,27.05,30.57
Power and Fuel,2.64,2.22,2.95,3.17,4.2,5.12,3.66,3.7,4.78,8.64
Other Mfr. Exp,2.37,1.83,2.28,3.15,5.62,26.24,30.95,23.67,40.61,
Employee Cost,8.59,9.45,10.34,16.35,26.45,32.58,30.49,33.55,52.92,69.07
Selling and admin,3.23,3.31,2.65,12.87,20.15,21.67,11.22,15.1,20.46,
Other Expenses,0.5,0.65,0.64,1.19,0.59,2.21,5.82,10.63,11.82,86.31
Other Income,1.17,0.99,1.2,7.34,14.91,43.76,11.49,6.26,12.7,19.6
Depreciation,5.65,5.47,2.46,3.22,6.78,17.52,13.32,29.32,33.11,36.68
Interest,5.78,5.74,5.73,6.13,15,13.94,7.5,9.28,31.43,43.05
Profit before tax,6.43,8.18,13.13,11.9,-22.04,17.34,10.87,52.3,89.44,105.77
Tax,1.5,2.39,4.7,3,-6.23,3.81,2.8,16.95,22.54,27.12
Net profit,4.93,5.8,8.42,8.89,-15.81,13.53,8.08,35.35,65.59,76.83
Dividend Amount,,,,,,,,3.28,3.28,3.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,208.26,271.3,281.07,177.35,256.43,375.91,216.02,307.16,342.14,288.81
Expenses,179.66,239.25,244.94,157.35,221.27,325.93,175.71,266.62,293.29,254.35
Other Income,1.71,3.89,2.77,6.25,1.75,1.93,1.2,4.52,7.25,8.38
Depreciation,7.45,7.57,7.6,8.08,8.32,9.13,9.01,8.79,9.2,9.67
Interest,2.15,4.22,8.41,7.15,8.14,7.73,7.24,9.7,13.06,13.06
Profit before tax,20.71,24.15,22.89,11.02,20.45,35.05,25.26,26.57,33.84,20.11
Tax,8.07,6.35,6.21,3.61,5.16,7.57,7.18,7.99,6.72,5.22
Net profit,12.66,17.77,16.63,7.58,14.38,27.01,18.08,18.06,26.99,13.71
Operating Profit,28.6,32.05,36.13,20,35.16,49.98,40.31,40.54,48.85,34.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,14.43,14.43,14.43,20.07,31.75,32.83,32.83,32.83,32.83,32.83
Reserves,65.98,71.77,51.8,167.46,625.94,659.87,707.89,744.45,806.92,880.65
Borrowings,45.37,54.97,64.65,72.42,24.26,29.78,8.1,67.1,133.7,120.75
Other Liabilities,37.85,32.78,32.42,55.46,181.28,258.71,185.42,346.06,583.45,554.35
Total,163.63,173.95,163.3,315.41,863.23,981.19,934.24,1190.44,1556.9,1588.58
Net Block,78.94,75.86,61.03,71.61,172.68,150.61,289.54,325.04,355.5,329.7
Capital Work in Progress,18.79,18.82,10.83,6.49,,,,3.17,4.1,72.27
Investments,,,,,101.91,,,0.27,1.97,11.27
Other Assets,65.9,79.27,91.44,237.31,588.64,830.58,644.7,861.96,1195.33,1175.34
Total,163.63,173.95,163.3,315.41,863.23,981.19,934.24,1190.44,1556.9,1588.58
Receivables,34.59,44.51,36.24,88.02,90.75,361.74,263.6,365.59,630.48,513.22
Inventory,16.81,16.67,23.16,63.42,112.22,80.73,62.27,58.73,141.99,216.19
Cash & Bank,9.2,9.49,10.96,21.55,160.23,99.21,89.41,199.13,167.22,174.54
No. of Equity Shares,36080737,36080737,36080737,50180737,79380737,82080737,82080737,82080737,82080737,
New Bonus Shares,,,,,,,,,,
Face value,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,4.53,-14.06,-8.66,-106.82,-130.01,-218.55,208.71,121.41,-10.27,143
Cash from Investing Activity,5.2,4.76,-5.99,-19.07,-307.13,199.37,-176.97,-164.34,-37.83,-86.49
Cash from Financing Activity,-6.49,9.6,14.92,126.3,457.48,0.26,-21.65,49.73,35.17,-56
Net Cash Flow,3.24,0.3,0.27,0.42,20.34,-18.92,10.1,6.8,-12.94,0.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,16.05,16.65,75.3,182.35,244.25,49.2,217.3,669.55,619.25,1888.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.61,3.61,3.61,5.02,7.94,8.21,8.21,8.21,8.21,8.21
